Team,at bats,average batter age,average pitcher age,away losses,away record,away wins,balks,bases on balls,bases on walks given,bases on walks given per nine innings,batters faced,batting average,complete game shutouts,complete games,doubles,earned runs against,earned runs against plus,extra inning losses,extra inning record,extra inning wins,fielding independent pitching,games,games finished,grounded into double plays,hit pitcher,hits,hits allowed,hits per nine innings,home losses,home record,home runs,home runs against,home runs per nine innings,home wins,innings pitched,intentional bases on balls,interleague record,last ten games record,last thirty games record,last twenty games record,league,losses,losses last ten games,losses last thirty games,losses last twenty games,losses vs left handed pitchers,losses vs right handed pitchers,losses vs teams over 500,losses vs teams under 500,luck,name,number of pitchers,number players used,on base percentage,on base plus slugging percentage,on base plus slugging percentage plus,opposing runners left on base,plate appearances,pythagorean win loss,rank,record vs left handed pitchers,record vs right handed pitchers,record vs teams over 500,record vs teams under 500,run difference,runners left on base,runs,runs against,runs allowed per game,runs batted in,sacrifice flies,sacrifice hits,saves,shutouts,simple rating system,single run losses,single run record,single run wins,slugging percentage,stolen bases,streak,strength of schedule,strikeouts,strikeouts per base on balls,strikeouts per nine innings,times caught stealing,times hit by pitch,times struck out,total bases,total runs,triples,whip,wild pitches,win percentage,wins,wins last ten games,wins last thirty games,wins last twenty games,wins vs left handed pitchers,wins vs right handed pitchers,wins vs teams over 500,wins vs teams under 500
Los Angeles Dodgers,4344,28.0,29.1,28,34-28,34,5,502,298,2.4,4667,0.261,1,3,238,3.33,124,3,4-3,4,3.73,128,125,73,61,1135,963,7.6,16,50-16,225,145,1.1,50,1140.2,38,5-6,7-3,20-10,15-5,NL,44,3,10,5,16,28,25,19,-1,Los Angeles Dodgers,25,45,0.343,0.823,115,758,4994,85-43,1,25-16,59-28,40-25,44-19,1.8,918,5.6,3.8,3.8,691,39,47,32,13,1.9,16,22-16,22,0.479,39,W 2,0.1,1167,3.92,9.2,8,61,1047,2082,711,17,1.105,31,0.656,84,7,20,15,25,59,40,44
New York Yankees,4394,28.3,30.3,25,34-25,34,3,462,396,3.1,4864,0.272,1,1,228,4.52,100,2,6-2,6,4.68,128,127,92,38,1197,1111,8.8,20,49-20,230,210,1.7,49,1138.2,15,10-7,6-4,19-11,14-6,AL,45,4,11,6,14,31,26,19,7,New York Yankees,24,46,0.345,0.832,119,838,4934,76-52,2,24-14,59-31,36-26,47-19,1.1,836,5.9,4.8,4.77,717,29,10,48,6,0.8,13,15-13,15,0.487,44,L 3,-0.3,1169,2.95,9.2,18,38,1108,2141,753,13,1.323,42,0.648,83,6,19,14,24,59,36,47
Houston Astros,4420,29.2,29.8,31,36-31,36,4,492,354,2.8,4735,0.273,0,1,251,3.72,120,3,8-3,8,4.09,128,127,119,49,1207,958,7.5,16,45-16,216,187,1.5,45,1150.2,12,10-8,4-6,20-10,12-8,AL,47,6,10,8,9,38,23,24,0,Houston Astros,26,43,0.349,0.834,119,767,5022,81-47,3,26-9,55-38,31-23,50-24,1.4,917,5.4,4.0,4.03,678,51,8,33,9,1.2,16,20-16,20,0.486,52,L 1,-0.2,1291,3.65,10.1,21,49,914,2146,697,20,1.14,34,0.633,81,4,20,12,26,55,31,50
Minnesota Twins,4509,27.8,28.5,22,40-22,40,4,400,364,2.8,4903,0.271,0,0,261,4.15,111,6,4-6,4,4.15,127,127,76,67,1222,1128,8.8,28,37-28,244,159,1.2,37,1150.0,14,7-10,6-4,18-12,11-9,AL,50,4,12,9,14,36,31,19,1,Minnesota Twins,29,45,0.337,0.836,118,861,5021,76-51,4,15-14,62-36,26-31,51-19,1.2,871,5.8,4.7,4.66,714,34,8,37,8,0.8,11,17-11,17,0.499,26,L 1,-0.4,1105,3.04,8.6,20,67,1028,2249,740,17,1.297,47,0.606,77,6,18,11,15,62,26,51
Atlanta Braves,4421,27.9,27.2,25,38-25,38,2,466,465,3.7,4998,0.262,0,1,220,4.36,106,5,10-5,10,4.52,128,127,87,49,1160,1154,9.1,27,38-27,204,165,1.3,38,1145.2,30,6-5,7-3,18-12,13-7,NL,52,3,12,7,10,42,34,18,6,Atlanta Braves,30,47,0.338,0.799,101,944,4985,70-58,5,20-10,56-42,41-34,35-18,0.6,893,5.4,4.8,4.82,666,26,20,35,6,0.7,13,22-13,22,0.461,66,W 4,0.1,1101,2.37,8.6,24,49,1125,2040,688,24,1.413,54,0.594,76,7,18,13,20,56,41,35
Cleveland Indians,4265,27.9,28.5,27,35-27,35,2,437,351,2.8,4717,0.252,4,5,227,3.72,127,6,4-6,4,4.05,127,122,85,36,1073,1020,8.1,26,39-26,176,162,1.3,39,1129.2,23,6-7,4-6,18-12,11-9,AL,53,6,12,9,16,37,28,25,1,Cleveland Indians,28,49,0.324,0.759,96,818,4806,73-54,6,26-16,48-37,20-28,54-25,0.7,849,4.7,4.0,4.02,567,36,32,33,12,0.3,14,13-14,13,0.436,84,L 2,-0.4,1186,3.38,9.4,29,36,1030,1858,600,15,1.214,34,0.583,74,4,18,11,26,48,20,54
Oakland Athletics,4338,28.0,30.9,29,31-29,31,3,429,391,3.1,4849,0.246,1,1,222,4.02,109,7,5-7,5,4.36,127,125,109,65,1069,1059,8.3,24,42-24,201,150,1.2,42,1147.1,12,11-7,7-3,18-12,14-6,AL,53,3,12,6,10,43,24,29,0,Oakland Athletics,26,44,0.321,0.765,104,868,4867,73-53,7,22-10,51-43,30-24,43-29,0.8,824,5.0,4.2,4.24,599,31,4,31,8,0.7,15,20-15,20,0.444,39,W 2,-0.2,978,2.5,7.7,19,65,1026,1924,641,15,1.264,56,0.579,73,7,18,14,22,51,30,43
Tampa Bay Rays,4460,27.1,27.8,23,40-23,40,7,437,361,2.8,4795,0.252,0,0,230,3.53,128,8,5-8,5,3.61,128,128,89,58,1126,999,7.7,31,34-31,169,141,1.1,34,1166.1,18,13-5,6-4,18-12,14-6,AL,54,4,12,6,20,34,31,23,0,Tampa Bay Rays,29,51,0.326,0.754,99,793,4985,74-54,8,28-20,46-34,28-31,46-23,0.7,918,4.7,3.9,3.93,566,22,8,34,8,0.5,15,17-15,17,0.428,76,W 1,-0.2,1283,3.55,9.9,25,58,1181,1909,597,23,1.166,49,0.578,74,6,18,14,28,46,28,46
Washington Nationals,4292,28.8,30.7,31,33-31,33,4,452,397,3.2,4814,0.262,1,1,225,4.41,106,6,2-6,2,4.13,126,125,92,66,1125,1080,8.7,26,36-26,182,155,1.2,36,1119.1,26,8-4,8-2,18-12,12-8,NL,57,2,12,8,15,42,38,19,-2,Washington Nationals,30,48,0.339,0.791,99,876,4880,71-55,9,15-15,54-42,31-38,38-19,0.7,873,5.3,4.6,4.6,630,31,39,34,11,0.7,19,14-19,14,0.452,88,W 1,0.0,1162,2.93,9.3,25,66,1034,1940,668,22,1.32,45,0.548,69,8,18,12,15,54,31,38
Chicago Cubs,4246,27.8,31.3,39,25-39,25,1,462,394,3.2,4771,0.254,1,1,206,4.09,112,5,4-5,4,4.34,126,125,97,60,1077,1060,8.5,19,43-19,200,162,1.3,43,1121.0,28,10-8,5-5,16-14,12-8,NL,58,5,14,8,16,42,32,26,-2,Chicago Cubs,30,49,0.333,0.786,99,854,4823,70-56,10,12-16,56-42,32-32,36-26,0.6,849,5.0,4.4,4.4,605,30,25,33,9,0.7,20,18-20,18,0.453,36,W 4,0.2,1098,2.79,8.8,21,60,1133,1923,627,20,1.297,47,0.54,68,5,16,12,12,56,32,36
