Team,Games,Points/Game,Total Points,Total Plays,Yards/Game,Yards/Point,1st Downs/Game,3rd Downs Made,3rd Downs Attempted,3rd Down Percentage,4th Down Made,4th Down Attempted,4th Down Percentagect,Penalties,Penalty Yards,Fumbles,Lost Posession
Kansas City Chiefs,16,35.3,565,996,425.6,6.8,24.0,83,176,47,12,15,80,137,1152,18,6
Los Angeles Rams,16,32.9,527,1060,421.1,6.4,25.1,86,191,45,6,15,40,96,878,17,7
Tampa Bay Buccaneers,16,24.8,396,1055,415.5,6.3,24.2,86,187,46,9,13,69,117,975,23,9
Pittsburgh Steelers,16,26.8,428,1058,403.3,6.1,23.6,88,198,44,9,14,64,111,1026,21,9
New England Patriots,16,27.2,436,1073,393.4,5.9,22.8,82,201,41,7,14,50,93,744,11,7
Atlanta Falcons,16,25.9,414,1010,389.1,6.2,22.0,92,203,45,10,19,53,101,899,24,11
Indianapolis Colts,16,27.1,433,1070,386.2,5.8,23.2,104,214,49,7,15,47,120,953,17,9
New Orleans Saints,16,31.5,504,1010,379.2,6.0,23.6,82,184,45,13,16,81,94,939,18,9
Baltimore Ravens,16,24.3,389,1135,374.9,5.3,22.9,104,231,45,13,22,59,116,940,25,11
Carolina Panthers,16,23.5,376,1011,373.2,5.9,22.2,77,185,42,9,19,47,92,818,20,6
Los Angeles Chargers,16,26.8,428,945,372.6,6.3,21.1,70,177,40,7,8,88,113,967,17,7
Green Bay Packers,16,23.5,376,1026,369.1,5.8,20.8,75,204,37,10,20,50,108,937,22,11
Cleveland Browns,16,22.4,359,1023,368.8,5.8,19.6,73,208,35,9,21,43,112,894,19,7
Philadelphia Eagles,16,22.9,367,1037,365.3,5.6,21.6,84,205,41,14,23,61,100,852,29,12
Houston Texans,16,25.1,402,1040,362.6,5.6,20.8,77,208,37,8,12,67,105,787,19,7
San Francisco 49ers,16,21.4,342,1003,360.6,5.8,21.5,73,193,38,5,10,50,112,982,31,12
New York Giants,16,23.1,369,984,356.1,5.8,18.6,76,206,37,12,20,60,114,951,16,7
Seattle Seahawks,16,26.8,428,1012,353.3,5.6,20.6,81,208,39,11,14,79,111,959,18,4
Denver Broncos,16,20.6,329,1015,350.1,5.5,20.0,69,207,33,15,25,60,125,985,18,6
Minnesota Vikings,16,22.5,360,1003,345.6,5.5,19.4,73,204,36,9,21,43,92,779,15,10
Chicago Bears,16,26.3,421,1013,343.9,5.4,20.7,82,200,41,9,15,60,97,796,23,10
Dallas Cowboys,16,21.2,339,1022,343.8,5.4,20.1,89,215,41,12,21,57,104,885,23,9
Oakland Raiders,16,18.1,290,995,336.2,5.4,18.8,73,197,37,7,16,44,110,965,24,14
Detroit Lions,16,20.2,324,1019,327.2,5.1,20.3,75,208,36,11,18,61,94,852,14,7
Tennessee Titans,16,19.4,310,938,312.4,5.3,18.1,82,205,40,7,12,58,82,727,18,6
Cincinnati Bengals,16,23,368,938,310.8,5.3,19.0,69,187,37,9,17,53,114,957,11,4
Jacksonville Jaguars,16,15.3,245,1005,302.0,4.8,17.3,93,230,40,8,17,47,121,1112,26,16
Washington Redskins,16,17.6,281,967,299.7,5.0,17.5,75,206,36,10,18,56,115,1008,18,4
New York Jets,16,20.8,333,971,299.2,4.9,16.1,69,214,32,11,22,50,114,948,24,11
Buffalo Bills,16,16.8,269,1008,298.6,4.7,17.7,68,215,32,7,18,39,116,992,23,9
Miami Dolphins,16,19.9,319,878,289.9,5.3,15.8,56,186,30,8,13,62,108,978,17,10
Arizona Cardinals,16,14.1,225,902,241.6,4.3,14.9,58,199,29,6,16,38,101,786,23,10
