duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
169.0,0,33,5,9,5,5.0,0,10,35,0.273,0.257,0.5760000000000001,0.833,144,91,-0.203,0.38,0.051,-0.256,0.4,24,7,8.0,8,50,11,30,10,15,5,0,20,0,0,-0.297,-7.9,0,5,3,28,LAD,0
365.0,1,50,5,10,5,1.38,6,15,56,0.2,0.28600000000000003,0.32,0.606,262,142,-0.112,1.8,1.3969999999999998,-1.509,-1.6,39,14,13.0,1,79,23,40,22,13,4,0,53,1,0,0.611,2.6,0,6,3,29,LAD,1
194.0,1,32,5,7,5,5.0,3,7,35,0.219,0.28600000000000003,0.594,0.879,182,94,-0.109,0.43,0.233,-0.339,0.4,24,8,8.0,4,47,17,30,12,13,3,0,23,2,2,-0.392,-13.9,0,7,3,30,LAD,0
209.0,0,39,7,13,7,7.0,1,4,40,0.333,0.35,0.513,0.863,170,111,0.224,1.45,0.89,-0.667,2.4,24,7,8.0,1,81,9,21,15,20,9,0,34,1,0,-0.7240000000000001,-3.9,0,1,3,31,LAD,0
184.0,1,40,10,15,9,9.0,4,8,45,0.375,0.422,0.575,0.997,121,107,0.342,0.34,0.585,-0.246,5.4,27,9,9.0,1,64,14,29,13,20,11,0,51,0,0,0.159,1.6,0,2,4,1,SDP,1
201.0,1,41,8,14,7,8.0,4,8,45,0.341,0.4,0.78,1.18,159,99,0.434,0.81,0.942,-0.509,3.4,27,7,9.0,3,54,18,27,16,17,7,0,58,1,0,0.067,-0.4,0,3,4,2,SDP,1
179.0,0,33,1,7,1,1.0,1,11,34,0.212,0.235,0.364,0.599,125,91,-0.471,0.91,0.245,-0.715,-3.6,24,9,8.0,1,51,17,23,7,15,8,0,54,2,1,-0.028,0.1,0,4,4,3,SDP,0
203.0,0,40,15,18,14,16.88,4,8,45,0.45,0.5,0.925,1.425,173,109,0.34,0.45,0.677,-0.336,10.6,27,17,9.0,2,64,13,32,12,20,12,0,61,3,0,0.159,-3.1,1,6,4,5,BOS,1
199.0,1,34,5,11,5,5.19,1,6,35,0.324,0.343,0.382,0.725,152,84,0.245,1.72,1.041,-0.794,0.3,27,14,9.0,0,49,12,23,10,18,11,0,47,5,1,0.254,0.9,1,7,4,6,BOS,1
149.0,0,29,0,3,0,0.0,1,8,31,0.103,0.133,0.172,0.306,113,75,-0.8440000000000001,0.97,0.225,-1.069,-4.9,27,9,9.0,1,39,17,19,14,8,3,0,79,0,0,0.344,3.9,1,1,4,7,BOS,0
168.0,1,33,5,9,5,5.4,2,7,35,0.273,0.314,0.606,0.92,133,82,0.5670000000000001,0.71,1.483,-0.917,0.4,27,11,9.0,0,48,16,18,7,19,6,0,54,1,0,-0.067,0.9,1,3,4,9,TEX,1
215.0,1,33,2,6,1,2.0,3,12,39,0.182,0.308,0.212,0.52,187,97,-0.448,1.12,0.655,-1.102,-2.9,27,7,9.0,1,54,19,24,9,12,5,0,68,8,1,-0.051,-0.1,1,4,4,10,TEX,0
193.0,1,36,6,8,6,2.0,6,11,43,0.222,0.349,0.306,0.654,138,102,-0.11,1.05,1.065,-1.176,1.1,27,8,9.0,3,46,17,39,11,14,9,0,41,1,0,-0.391,-2.1,1,5,4,11,SDP,0
158.0,1,30,1,3,1,1.0,1,9,31,0.1,0.129,0.16699999999999998,0.29600000000000004,128,101,-0.735,0.97,0.218,-0.953,-3.9,27,7,9.0,1,58,16,27,13,8,4,0,63,1,0,0.236,2.9,1,6,4,12,SDP,0
221.0,1,35,4,10,4,4.0,4,9,41,0.28600000000000003,0.39,0.4,0.79,150,105,-0.315,0.69,1.306,-1.6230000000000002,-0.9,27,12,9.0,2,60,17,28,11,15,6,0,39,0,0,-0.185,-0.1,1,7,4,13,SDP,0
169.0,0,35,8,13,7,9.0,1,8,36,0.371,0.389,0.7140000000000001,1.103,130,91,0.327,0.71,0.907,-0.581,3.6,27,8,9.0,2,50,16,25,12,15,3,0,66,1,0,0.173,0.9,1,1,4,14,SDP,1
216.0,1,37,9,12,9,9.0,7,7,47,0.324,0.468,0.486,0.955,150,109,0.7509999999999999,1.18,1.6369999999999998,-0.8859999999999999,4.0,27,11,9.0,2,58,18,33,13,17,11,0,38,1,0,-0.25,-1.0,0,3,4,16,ATL,1
212.0,1,37,3,6,3,1.8,4,14,41,0.162,0.244,0.27,0.514,164,104,-0.165,1.55,1.052,-1.216,-2.6,30,7,10.0,0,54,28,22,9,14,7,0,56,1,0,0.667,3.6,0,4,4,17,ATL,1
205.0,0,39,4,10,4,3.0,3,9,44,0.256,0.341,0.436,0.777,161,111,-0.006,1.23,0.718,-0.7240000000000001,-1.0,27,6,9.0,1,58,23,30,15,15,11,0,67,2,0,0.507,4.0,0,5,4,18,ATL,1
204.0,0,33,1,7,1,1.0,2,14,35,0.212,0.257,0.242,0.5,182,92,-0.36,0.85,0.193,-0.5529999999999999,-3.9,24,9,8.0,0,39,14,39,11,8,6,0,35,3,0,-0.142,-0.6,0,6,4,19,CHC,0
188.0,0,35,6,13,5,5.0,4,11,42,0.371,0.425,0.6859999999999999,1.111,139,99,0.192,0.56,0.419,-0.226,1.1,27,14,9.0,0,54,21,24,15,12,7,0,68,0,0,0.307,4.9,0,7,4,20,CHC,1
148.0,0,28,1,3,1,1.0,2,6,30,0.107,0.16699999999999998,0.214,0.381,130,70,-0.412,1.03,0.466,-0.878,-3.9,24,7,8.0,0,35,12,23,12,10,4,0,63,0,0,-0.08900000000000001,1.4,0,1,4,21,CHC,0
215.0,1,44,12,17,12,12.0,4,6,48,0.386,0.438,0.614,1.051,162,121,0.631,0.84,1.208,-0.5770000000000001,7.3,27,8,9.0,0,76,17,28,17,21,8,0,30,1,0,-0.13,0.7,0,2,4,22,PIT,1
173.0,1,32,2,6,2,2.0,2,6,34,0.188,0.235,0.25,0.485,131,99,-0.218,1.92,0.473,-0.691,-2.7,27,9,9.0,0,63,13,23,15,11,6,0,63,1,0,0.718,3.7,0,3,4,23,PIT,1
169.0,1,39,11,15,10,10.0,1,8,42,0.385,0.39,0.769,1.159,136,99,0.343,0.62,0.573,-0.231,6.3,27,10,9.0,2,60,15,25,12,21,9,0,60,0,0,0.158,2.7,0,4,4,24,PIT,1
161.0,0,34,5,9,5,5.0,1,9,37,0.265,0.297,0.5,0.797,139,96,0.185,0.58,0.426,-0.24,0.3,27,10,9.0,0,55,23,18,11,15,8,0,79,0,0,0.314,4.7,0,5,4,25,PIT,1
184.0,1,35,8,11,8,9.0,6,6,41,0.314,0.415,0.486,0.9,149,102,0.392,0.64,0.809,-0.418,3.6,27,9,9.0,2,61,13,28,15,14,9,0,51,0,0,0.109,1.9,1,6,4,26,CHC,1
185.0,1,29,1,2,1,1.0,4,10,34,0.069,0.206,0.207,0.413,161,85,-0.189,0.41,0.206,-0.396,-3.9,27,13,9.0,3,36,23,26,11,8,3,0,29,1,0,-0.311,-4.1,1,7,4,27,CHC,0
336.0,0,54,5,12,5,3.0,7,13,61,0.222,0.311,0.407,0.7190000000000001,273,152,-1.099,2.02,1.108,-2.206,-3.2,45,11,15.0,2,78,24,51,24,17,10,0,43,1,0,0.599,2.2,1,1,4,28,CHC,0
153.0,1,29,3,7,3,3.38,3,7,33,0.241,0.303,0.448,0.7509999999999999,115,70,-0.065,1.15,0.53,-0.596,-1.4,27,10,9.0,0,40,14,16,9,14,4,0,71,0,0,0.565,3.9,1,3,4,30,NYY,1
192.0,0,29,3,5,2,3.38,2,10,31,0.172,0.226,0.31,0.536,156,83,-0.005,1.48,0.368,-0.373,-1.4,27,15,9.0,1,40,19,24,7,12,5,0,54,2,0,0.505,2.9,1,4,5,1,NYY,1
204.0,1,40,10,12,10,9.0,2,8,42,0.3,0.333,0.675,1.008,155,113,0.591,1.84,0.942,-0.35,4.3,27,11,9.0,2,67,18,28,17,15,4,0,49,1,1,-0.09,-3.3,0,6,5,3,COL,1
171.0,1,37,9,12,9,9.0,4,3,42,0.324,0.381,0.6759999999999999,1.057,142,100,0.312,0.33,0.488,-0.175,3.3,27,7,9.0,0,66,14,20,16,19,5,0,74,0,0,0.187,3.7,0,7,5,4,COL,1
189.0,0,38,7,11,7,7.0,2,10,41,0.289,0.317,0.5,0.8170000000000001,130,98,0.086,1.27,0.923,-0.836,1.3,24,8,8.0,0,57,19,22,14,15,9,0,52,2,1,-0.586,-2.9,0,1,5,5,COL,0
174.0,1,29,1,2,0,0.0,3,10,33,0.069,0.182,0.069,0.251,166,92,-0.165,0.4,0.013,-0.17800000000000002,-3.9,24,11,8.0,2,48,21,23,8,11,3,0,19,0,0,-0.335,-7.6,0,2,5,6,TBR,0
199.0,1,34,3,7,3,3.0,2,11,37,0.206,0.27,0.441,0.711,156,94,-0.394,0.75,0.446,-0.8390000000000001,-1.9,24,12,8.0,1,52,24,18,12,11,5,0,52,4,0,-0.106,-1.6,0,3,5,7,TBR,0
279.0,0,44,3,9,3,2.08,8,19,52,0.205,0.327,0.227,0.5539999999999999,224,121,-0.341,2.29,1.148,-1.489,-4.1,39,13,13.0,0,56,24,41,13,12,9,0,69,7,0,0.8440000000000001,5.1,0,4,5,8,TBR,1
193.0,1,37,3,11,3,3.0,6,6,45,0.297,0.422,0.486,0.909,152,99,0.175,1.36,1.461,-1.286,-0.9,30,7,10.0,1,62,14,23,16,15,6,0,71,0,0,0.325,3.5,1,5,5,9,ATL,1
180.0,1,32,1,4,1,1.0,2,8,34,0.125,0.17600000000000002,0.25,0.426,129,96,-0.6659999999999999,1.08,0.4370000000000001,-1.104,-3.9,27,13,9.0,1,55,22,19,10,14,3,0,70,0,0,0.165,2.9,1,6,5,10,ATL,0
189.0,1,34,4,8,4,4.0,3,8,39,0.235,0.308,0.441,0.7490000000000001,136,88,-0.246,0.89,0.945,-1.194,-0.9,27,12,9.0,2,56,12,20,10,17,8,0,54,2,0,-0.255,-1.1,1,7,5,11,ATL,0
201.0,0,40,3,14,3,3.0,1,11,41,0.35,0.366,0.475,0.841,149,113,-0.412,1.03,0.979,-1.39,-1.9,27,13,9.0,0,67,19,27,14,15,10,0,46,1,0,-0.08800000000000001,-0.1,1,1,5,12,ATL,0
207.0,1,35,9,13,8,10.12,4,7,41,0.371,0.436,0.7140000000000001,1.15,172,101,0.445,0.67,0.742,-0.29600000000000004,4.6,27,8,9.0,0,60,14,27,11,19,8,0,53,0,0,0.054000000000000006,1.9,1,2,5,13,PIT,1
