duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
184.0,0,30,4,7,4,4.0,6,9,36,0.233,0.361,0.3670000000000001,0.728,148,91,-0.229,0.72,0.26,-0.489,-0.9,24,8,8.0,3,38,17,36,13,8,3,0,52,0.0,0.0,-0.269,-5.7,0,5,3,28,PHI,0
207.0,0,36,6,10,6,6.0,4,9,40,0.278,0.35,0.556,0.906,164,100,-0.039,0.76,0.745,-0.784,1.1,24,7,8.0,3,57,16,27,12,15,10,0,33,0.0,0.0,-0.463,-3.7,0,7,3,30,PHI,0
197.0,1,29,1,4,0,1.0,6,8,36,0.138,0.306,0.138,0.443,156,81,-0.36,0.94,0.436,-0.7929999999999999,-3.9,24,8,8.0,2,34,12,35,8,13,5,0,46,3.0,3.0,-0.142,-0.7,0,1,3,31,PHI,0
192.0,1,36,8,12,6,2.25,7,9,43,0.333,0.442,0.583,1.025,150,106,0.304,0.61,0.417,-0.112,3.6,27,16,9.0,0,61,15,30,12,15,7,0,49,1.0,0.0,0.197,5.0,1,2,4,1,CHC,1
212.0,1,30,6,8,6,6.75,8,8,39,0.267,0.41,0.5,0.91,180,84,0.523,1.28,1.285,-0.765,1.6,27,6,9.0,1,46,13,25,11,12,7,0,55,2.0,0.0,-0.021,1.0,1,4,4,3,CHC,1
209.0,1,34,9,13,8,9.0,6,6,42,0.382,0.463,0.5,0.963,155,108,0.173,0.4,0.594,-0.421,4.6,27,13,9.0,2,64,21,22,14,15,13,0,75,1.0,1.0,0.326,1.0,1,5,4,4,CHC,1
155.0,1,31,4,7,4,4.5,2,8,34,0.226,0.294,0.419,0.713,126,83,0.125,0.81,0.426,-0.301,-0.4,27,7,9.0,0,47,16,20,10,13,5,0,78,0.0,0.0,0.375,5.0,1,6,4,5,MIA,1
196.0,1,34,2,6,2,2.0,8,7,43,0.17600000000000002,0.349,0.235,0.584,135,108,-0.442,1.33,0.8109999999999999,-1.254,-3.0,27,13,9.0,3,71,13,24,15,12,5,0,57,0.0,0.0,-0.057,1.0,1,7,4,6,MIA,0
153.0,0,29,4,7,4,4.5,3,8,33,0.241,0.313,0.483,0.795,127,79,0.261,1.67,0.8440000000000001,-0.583,1.4,27,11,9.0,1,48,13,17,6,15,7,0,61,2.0,0.0,0.239,2.0,1,1,4,7,MIA,1
179.0,1,34,8,9,7,8.0,6,8,42,0.265,0.381,0.412,0.7929999999999999,121,102,0.184,0.98,0.698,-0.514,2.3,27,10,9.0,2,67,14,21,14,13,7,0,33,2.0,0.0,0.316,-0.3,0,2,4,8,COL,1
192.0,1,37,7,12,7,7.0,0,5,38,0.324,0.324,0.568,0.892,140,109,0.153,0.77,0.459,-0.305,1.3,27,10,9.0,0,69,15,27,15,18,9,0,63,0.0,0.0,0.348,4.7,0,3,4,9,COL,1
194.0,1,36,3,9,3,3.0,3,14,39,0.25,0.308,0.528,0.835,166,104,-0.298,0.78,0.5479999999999999,-0.845,-2.0,27,11,9.0,2,56,19,29,11,11,3,0,47,3.0,1.0,-0.203,-1.0,1,5,4,11,NYM,0
187.0,1,33,2,7,2,2.0,3,10,37,0.212,0.27,0.273,0.5429999999999999,156,100,-0.235,0.63,0.302,-0.5379999999999999,-3.0,27,9,9.0,1,57,17,26,12,12,5,0,20,2.0,0.0,-0.265,-1.0,1,6,4,12,NYM,0
214.0,1,35,11,13,11,12.38,7,7,42,0.371,0.476,0.6,1.0759999999999998,155,112,0.584,0.67,0.785,-0.201,6.6,27,7,9.0,0,70,14,28,9,19,7,0,26,3.0,1.0,-0.083,-2.0,1,7,4,13,NYM,1
216.0,1,33,7,10,7,7.88,8,12,41,0.303,0.439,0.667,1.106,151,119,0.198,0.92,0.6609999999999999,-0.462,2.6,27,8,9.0,1,72,20,27,7,14,4,0,60,2.0,2.0,0.304,2.0,1,1,4,14,NYM,1
216.0,1,33,6,10,6,6.0,5,8,39,0.303,0.395,0.606,1.001,185,89,0.25,1.48,1.154,-0.901,1.0,27,11,9.0,1,43,20,27,10,16,7,0,52,8.0,6.0,-0.753,-4.0,1,3,4,16,ARI,0
212.0,1,36,2,7,2,1.8,4,10,41,0.194,0.275,0.25,0.525,159,98,-0.665,1.77,0.659,-1.325,-3.6,30,5,10.0,1,56,12,30,10,16,9,0,72,3.0,0.0,0.165,2.6,1,4,4,17,ARI,0
205.0,0,34,1,7,1,1.0,1,16,37,0.206,0.27,0.294,0.564,156,108,-0.507,0.99,0.409,-0.916,-4.0,27,9,9.0,1,56,22,30,12,6,4,0,59,2.0,0.0,0.008,1.0,1,5,4,18,ARI,0
184.0,1,32,4,6,4,4.0,2,9,36,0.188,0.25,0.406,0.6559999999999999,176,91,-0.13,0.93,0.343,-0.474,-1.1,24,3,8.0,1,50,15,26,12,12,4,0,32,3.0,1.0,-0.37,-3.4,0,7,4,20,CLE,0
234.0,1,35,8,9,8,8.0,7,13,42,0.257,0.381,0.457,0.838,189,117,0.595,0.59,1.038,-0.441,2.9,27,10,9.0,0,68,27,24,7,15,10,0,15,3.0,2.0,-0.096,-1.9,0,7,4,20,CLE,1
202.0,1,44,11,17,11,8.0,3,7,48,0.386,0.438,0.636,1.074,149,120,0.385,0.28,0.552,-0.16699999999999998,5.9,27,4,9.0,2,70,14,36,15,22,10,0,54,1.0,1.0,0.116,0.1,0,1,4,21,CLE,1
202.0,1,36,6,10,6,6.0,1,14,39,0.278,0.282,0.444,0.726,158,97,-0.002,0.97,1.251,-1.252,1.1,24,6,8.0,2,45,23,29,14,10,6,0,34,4.0,2.0,-0.499,-2.6,0,3,4,23,CIN,0
178.0,1,33,3,8,2,2.0,7,4,42,0.242,0.39,0.364,0.754,149,85,-0.153,1.54,0.713,-0.8640000000000001,-1.9,27,9,9.0,0,48,10,27,12,18,11,0,59,3.0,0.0,0.654,3.9,0,4,4,24,CIN,1
174.0,1,36,2,11,2,2.0,1,7,37,0.306,0.324,0.417,0.741,138,100,-0.415,0.85,0.679,-1.096,-2.9,24,10,8.0,0,68,16,16,14,15,10,0,54,0.0,0.0,-0.083,0.4,0,5,4,25,CIN,0
201.0,1,35,4,10,4,4.0,3,7,39,0.28600000000000003,0.359,0.514,0.873,153,96,-0.126,0.85,0.6990000000000001,-0.825,-1.0,27,9,9.0,2,61,12,23,16,12,7,0,46,4.0,1.0,-0.375,-3.0,1,6,4,26,COL,0
178.0,1,34,5,9,5,5.0,4,6,38,0.265,0.342,0.529,0.872,128,88,0.14800000000000002,1.85,0.778,-0.631,-0.0,27,10,9.0,3,58,13,17,8,20,12,0,48,4.0,3.0,-0.649,-4.0,1,7,4,27,COL,0
227.0,0,34,8,10,8,9.0,6,10,41,0.294,0.39,0.765,1.155,158,107,0.6779999999999999,1.57,1.63,-0.952,3.6,27,7,9.0,2,65,21,21,8,17,7,0,40,4.0,0.0,-0.179,-2.0,1,1,4,28,COL,1
153.0,1,32,3,6,2,1.12,4,3,36,0.188,0.278,0.281,0.5589999999999999,119,87,-0.001,1.34,0.508,-0.508,-1.4,27,8,9.0,0,53,16,18,18,11,5,0,67,0.0,0.0,0.5,4.0,1,2,4,29,SDP,1
