duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
186.0,0,34,2,8,2,1.0,1,9,35,0.235,0.257,0.265,0.522,164,86,-0.24,0.42,0.159,-0.398,-2.9,24,9,8.0,2,48,11,27,15,10,5,0,25,2,2,-0.26,-2.7,0,5,3,28,NYY,0
204.0,0,36,5,9,4,3.0,1,9,37,0.25,0.27,0.306,0.5760000000000001,182,103,0.068,1.35,0.732,-0.664,0.1,27,12,9.0,1,60,16,27,16,11,4,0,52,2,1,0.4320000000000001,1.9,0,7,3,30,NYY,1
228.0,0,34,7,8,7,6.0,7,11,41,0.235,0.366,0.529,0.895,226,107,0.35700000000000004,1.5,0.764,-0.407,2.1,27,6,9.0,1,46,24,37,13,10,3,0,47,5,3,0.142,-0.1,0,1,3,31,NYY,1
166.0,1,32,6,6,5,4.0,3,12,38,0.188,0.289,0.375,0.664,126,101,0.267,0.8,0.482,-0.214,1.2,27,7,9.0,2,51,19,31,6,15,5,0,80,1,1,0.232,-0.2,0,2,4,1,TOR,1
165.0,1,34,2,10,2,2.0,2,8,36,0.294,0.333,0.441,0.775,127,98,-0.146,1.37,0.5670000000000001,-0.711,-2.8,27,11,9.0,1,56,17,25,13,13,8,0,64,0,0,0.645,3.8,0,3,4,2,TOR,1
162.0,0,31,3,6,3,3.0,1,10,33,0.194,0.242,0.32299999999999995,0.565,123,95,-0.51,0.56,0.195,-0.706,-1.8,24,6,8.0,2,48,24,23,10,11,7,0,52,1,0,0.009000000000000001,-0.7,0,4,4,3,TOR,0
207.0,0,35,4,10,2,4.0,4,12,39,0.28600000000000003,0.359,0.4,0.759,174,103,-0.202,0.95,0.7070000000000001,-0.908,-0.9,27,11,9.0,4,58,26,19,10,13,7,0,54,5,2,-0.298,-3.1,1,5,4,4,NYY,0
222.0,1,36,4,8,4,4.0,3,9,42,0.222,0.31,0.361,0.6709999999999999,179,115,-0.002,1.02,1.211,-1.213,-0.9,27,15,9.0,3,68,24,23,12,16,6,0,37,4,0,-0.5,-1.1,1,7,4,6,NYY,0
185.0,0,33,3,5,1,3.0,3,6,36,0.152,0.222,0.182,0.404,199,96,-0.255,0.32,0.068,-0.322,-1.9,27,11,9.0,7,58,14,24,17,10,5,0,41,1,1,-0.246,-10.1,1,1,4,7,NYY,0
187.0,1,37,12,15,11,13.5,3,5,42,0.405,0.439,0.757,1.196,143,108,0.36,1.2,0.649,-0.289,7.7,27,15,9.0,2,72,10,26,11,23,12,0,36,5,1,0.141,0.9,1,2,4,8,OAK,1
173.0,1,32,2,7,2,2.0,1,6,33,0.219,0.242,0.25,0.4920000000000001,175,75,-0.19,0.41,0.168,-0.358,-2.9,27,10,9.0,2,46,13,16,12,14,4,0,39,3,3,-0.31,-8.1,1,3,4,9,OAK,0
155.0,1,31,3,4,3,3.0,3,4,34,0.129,0.206,0.355,0.561,168,76,-0.18600000000000005,0.36,0.157,-0.342,-1.9,27,10,9.0,5,54,10,12,12,15,4,0,24,0,0,-0.315,-5.1,1,4,4,10,OAK,0
170.0,0,32,5,4,4,5.0,5,7,38,0.125,0.263,0.25,0.513,146,82,-0.205,0.63,0.574,-0.78,0.1,27,7,9.0,5,43,14,25,10,15,6,0,37,2,0,-0.29600000000000004,-3.1,1,5,4,11,OAK,0
175.0,1,32,4,4,4,4.0,2,12,34,0.125,0.17600000000000002,0.344,0.52,129,91,-0.341,0.66,0.345,-0.6859999999999999,-1.3,24,7,8.0,1,42,22,27,11,9,4,0,48,4,1,-0.158,-1.3,0,6,4,12,BOS,0
219.0,0,39,9,13,8,7.0,8,8,48,0.333,0.447,0.41,0.857,142,110,0.358,0.73,0.991,-0.632,3.7,27,11,9.0,1,65,20,25,17,15,7,0,48,4,1,0.142,0.3,0,7,4,13,BOS,1
187.0,0,32,0,5,0,0.0,2,10,34,0.156,0.206,0.219,0.425,139,93,-0.637,0.96,0.471,-1.108,-5.3,24,11,8.0,1,49,21,23,5,17,7,0,57,1,1,0.136,0.7,0,1,4,14,BOS,0
197.0,0,34,8,10,8,8.0,7,9,41,0.294,0.415,0.5589999999999999,0.973,134,99,0.121,0.83,0.66,-0.54,2.7,27,11,9.0,0,56,13,30,13,12,7,0,60,2,0,0.38,4.3,0,2,4,15,BOS,1
161.0,1,33,2,7,2,2.0,0,4,33,0.212,0.212,0.242,0.455,149,76,-0.449,0.93,0.345,-0.7929999999999999,-2.9,24,7,8.0,1,44,9,23,13,16,9,0,52,1,0,-0.053,0.4,0,3,4,16,TBR,0
163.0,1,30,1,3,1,1.0,2,13,32,0.1,0.156,0.267,0.423,143,95,-0.184,0.33,0.059,-0.243,-3.9,24,8,8.0,3,49,22,24,6,11,6,0,16,0,0,-0.315,-3.6,0,4,4,17,TBR,0
255.0,1,45,6,15,6,4.91,5,7,51,0.333,0.392,0.511,0.903,212,133,0.24,1.88,1.275,-1.035,-0.0,33,13,11.0,2,84,23,26,18,21,10,0,54,3,1,0.262,1.0,0,5,4,18,TBR,1
196.0,1,38,5,13,5,5.0,3,10,42,0.342,0.405,0.6579999999999999,1.063,153,97,-0.224,0.86,1.228,-1.4509999999999998,0.1,27,6,9.0,3,48,19,30,6,22,8,0,44,1,1,-0.277,-1.1,1,7,4,20,MIN,0
170.0,1,36,7,11,6,7.0,1,2,37,0.306,0.324,0.583,0.908,162,96,-0.098,0.23,0.052000000000000005,-0.15,2.1,27,6,9.0,8,63,14,19,16,18,7,0,4,2,2,-0.402,-11.1,1,7,4,20,MIN,0
188.0,0,36,3,9,3,3.0,2,10,39,0.25,0.308,0.278,0.585,138,98,-0.461,0.81,1.03,-1.493,-1.9,27,7,9.0,0,46,24,28,10,16,9,0,49,0,0,-0.038,0.9,1,1,4,21,MIN,0
206.0,1,36,2,9,2,2.0,1,11,37,0.25,0.27,0.361,0.631,187,102,-0.275,0.51,0.318,-0.5920000000000001,-2.9,27,7,9.0,2,52,21,29,13,12,5,0,42,3,0,-0.226,-7.1,1,2,4,22,CHW,0
176.0,1,34,9,11,8,10.12,5,7,40,0.324,0.425,0.706,1.131,116,99,0.29100000000000004,0.55,0.649,-0.35700000000000004,4.7,27,11,9.0,0,62,15,22,11,16,7,0,67,0,0,0.209,3.9,1,3,4,23,CHW,1
