duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
214.0,0,38,4,11,4,3.0,1,8,40,0.289,0.3,0.368,0.6679999999999999,187,96,0.009000000000000001,0.42,0.438,-0.428,-0.7,24,8,8.0,5,56,15,25,14,17,10,0,21,3.0,2.0,-0.509,-7.8,0,5,3,28,SEA,0
200.0,1,34,7,8,6,6.0,3,8,38,0.235,0.316,0.618,0.933,146,88,0.552,0.61,1.499,-0.947,2.3,27,8,9.0,3,43,16,29,11,15,5,0,28,0.0,0.0,-0.053,-1.3,0,6,3,29,SEA,1
190.0,1,38,5,9,2,2.0,3,11,41,0.237,0.293,0.263,0.556,167,95,-0.185,0.76,0.613,-0.8,0.3,24,8,8.0,1,58,13,24,17,10,6,0,27,1.0,0.0,-0.314,-1.8,0,7,3,30,SEA,0
219.0,0,37,8,9,8,6.0,8,4,45,0.243,0.378,0.486,0.8640000000000001,175,96,0.085,0.72,0.916,-0.8320000000000001,3.3,24,2,8.0,2,53,14,29,13,20,9,0,19,2.0,2.0,-0.586,-5.8,0,1,3,31,SEA,0
162.0,1,29,0,4,0,0.0,2,11,31,0.138,0.194,0.172,0.366,126,92,-0.402,0.43,0.097,-0.499,-4.7,24,3,8.0,4,47,20,25,7,11,6,0,53,0.0,0.0,-0.099,-2.8,0,2,4,1,OAK,0
162.0,1,33,0,7,0,0.0,1,9,34,0.212,0.235,0.303,0.5379999999999999,117,89,-0.763,0.73,0.368,-1.132,-4.7,24,11,8.0,1,49,17,23,11,13,4,0,61,0.0,0.0,0.263,3.2,0,3,4,2,OAK,0
201.0,1,36,6,9,6,5.0,2,7,39,0.25,0.308,0.444,0.752,161,100,0.258,1.2,1.297,-1.038,1.3,27,14,9.0,1,62,17,21,11,18,5,0,46,1.0,0.0,0.242,1.7,0,4,4,3,OAK,1
196.0,0,34,3,10,3,3.0,5,7,40,0.294,0.385,0.382,0.767,147,97,-0.073,0.73,0.611,-0.684,-1.7,24,4,8.0,1,61,8,28,10,18,8,0,20,2.0,0.0,-0.4270000000000001,-2.8,0,5,4,4,OAK,0
203.0,0,38,8,12,8,8.0,3,5,41,0.316,0.366,0.5529999999999999,0.918,169,109,-0.162,0.59,0.194,-0.354,3.1,24,11,8.0,5,66,18,25,23,10,3,0,18,1.0,0.0,-0.341,-10.6,0,6,4,5,ARI,0
199.0,1,30,4,6,4,4.0,6,7,38,0.2,0.324,0.233,0.5579999999999999,125,93,-0.253,1.33,0.7609999999999999,-1.013,-0.9,26,11,8.2,0,46,15,32,16,9,4,0,45,0.0,0.0,-0.246,-0.3,0,7,4,6,ARI,0
149.0,0,31,1,5,1,1.0,2,10,33,0.161,0.212,0.258,0.47,115,82,-0.343,1.42,0.332,-0.6759999999999999,-3.9,27,11,9.0,0,50,9,23,8,13,4,0,60,0.0,0.0,0.8440000000000001,4.9,0,1,4,7,ARI,1
216.0,0,35,5,8,3,3.0,3,7,38,0.229,0.289,0.457,0.747,164,96,-0.159,0.95,0.961,-1.122,-0.3,27,8,9.0,0,52,11,33,13,15,8,0,31,2.0,1.0,-0.342,-1.7,1,3,4,9,TOR,0
201.0,1,33,7,8,6,4.32,8,9,42,0.242,0.405,0.424,0.8290000000000001,154,100,0.6629999999999999,1.02,1.763,-1.099,3.4,27,10,9.0,3,55,16,29,12,12,5,0,35,0.0,0.0,-0.163,-0.7,1,5,4,11,TOR,1
175.0,1,33,6,11,5,6.75,1,4,36,0.333,0.343,0.515,0.858,139,77,0.161,0.87,0.541,-0.382,1.3,27,11,9.0,2,51,8,18,11,20,8,0,68,0.0,0.0,0.341,1.3,1,6,4,12,BAL,1
219.0,0,31,5,6,4,5.0,5,6,36,0.194,0.306,0.355,0.66,189,82,-0.141,0.94,0.4320000000000001,-0.575,-0.3,27,8,9.0,0,44,15,23,11,14,4,0,35,4.0,2.0,-0.359,-3.7,1,7,4,13,BAL,0
187.0,0,30,4,7,4,4.5,1,9,34,0.233,0.294,0.4,0.6940000000000001,135,88,-0.13699999999999998,1.36,0.527,-0.6629999999999999,-0.7,27,4,9.0,0,47,18,23,10,12,4,0,78,0.0,0.0,0.636,5.3,1,1,4,14,BAL,1
197.0,0,29,1,4,1,1.0,3,4,32,0.138,0.219,0.172,0.391,172,79,-0.38,0.77,0.224,-0.603,-4.3,27,11,9.0,2,49,11,19,12,13,7,0,48,0.0,0.0,-0.119,-2.7,1,2,4,15,BAL,0
143.0,1,30,0,3,0,0.0,1,12,32,0.1,0.156,0.16699999999999998,0.32299999999999995,134,88,-0.298,0.47,0.18600000000000005,-0.484,-4.9,24,10,8.0,3,45,20,23,6,12,5,0,42,0.0,0.0,-0.203,-3.7,0,3,4,16,NYY,0
176.0,1,34,3,8,3,3.0,2,7,36,0.235,0.278,0.412,0.69,144,82,-0.158,1.32,0.5,-0.66,-1.9,24,9,8.0,1,48,15,19,12,15,4,0,69,3.0,3.0,-0.342,-0.7,0,4,4,17,NYY,0
184.0,1,34,6,10,6,6.0,2,9,36,0.294,0.333,0.618,0.951,141,90,0.386,1.34,1.01,-0.623,1.1,27,13,9.0,1,49,24,17,12,13,7,0,45,2.0,0.0,0.114,0.9,0,6,4,19,TBR,1
192.0,1,33,6,8,6,6.0,4,11,39,0.242,0.333,0.424,0.758,158,103,0.414,1.71,1.03,-0.618,1.1,27,10,9.0,2,57,20,26,11,12,3,0,53,3.0,1.0,0.086,-0.1,0,7,4,20,TBR,1
249.0,0,36,4,8,4,3.27,8,12,46,0.222,0.35600000000000004,0.306,0.6609999999999999,180,105,-0.071,1.56,1.2009999999999998,-1.274,-2.0,33,13,11.0,1,48,24,33,11,15,7,0,57,0.0,0.0,0.5720000000000001,3.0,0,1,4,21,TBR,1
175.0,0,30,4,5,4,4.0,2,6,33,0.16699999999999998,0.219,0.4,0.619,176,79,-0.171,1.12,0.652,-0.823,-1.3,27,7,9.0,2,44,17,18,9,15,4,0,57,1.0,0.0,-0.329,-1.7,1,3,4,23,DET,0
209.0,1,34,2,9,2,2.0,6,7,42,0.265,0.405,0.353,0.758,144,97,-0.46,0.84,0.8690000000000001,-1.33,-3.3,27,12,9.0,0,57,16,24,12,15,7,0,45,5.0,3.0,-0.04,1.3,1,3,4,23,DET,0
204.0,1,34,11,12,11,12.38,10,7,45,0.353,0.511,0.441,0.952,158,99,0.108,0.91,0.475,-0.364,6.3,27,6,9.0,0,65,11,23,13,14,6,0,68,0.0,0.0,0.391,1.3,1,4,4,24,DET,1
159.0,1,33,7,10,7,7.88,3,6,36,0.303,0.361,0.5760000000000001,0.937,131,87,0.39,0.84,0.7659999999999999,-0.376,2.3,27,7,9.0,1,54,15,18,12,15,7,0,51,0.0,0.0,0.109,2.3,1,5,4,25,DET,1
201.0,0,31,1,5,1,1.0,7,11,39,0.161,0.333,0.29,0.624,142,98,-0.7240000000000001,0.87,0.962,-1.686,-4.3,27,12,9.0,1,53,17,28,9,11,3,0,60,3.0,0.0,0.224,3.3,1,7,4,27,TBR,0
151.0,0,32,2,7,2,2.0,1,10,34,0.219,0.235,0.375,0.61,134,81,-0.379,0.56,0.35600000000000004,-0.7340000000000001,-3.3,27,12,9.0,1,43,11,27,9,14,4,0,62,0.0,0.0,-0.122,0.3,1,1,4,28,TBR,0
203.0,1,35,9,12,9,3.38,5,6,41,0.343,0.415,0.429,0.843,160,88,0.446,0.99,0.9,-0.453,4.3,27,12,9.0,0,52,8,28,16,14,7,0,39,7.0,0.0,0.054000000000000006,1.3,1,2,4,29,OAK,1
154.0,1,32,5,7,5,4.5,3,7,35,0.219,0.28600000000000003,0.438,0.723,138,84,0.166,0.62,0.422,-0.257,0.3,27,7,9.0,1,48,16,20,13,12,3,0,84,0.0,0.0,0.335,4.3,1,3,4,30,OAK,1
174.0,0,29,7,9,7,7.88,4,5,38,0.31,0.405,0.552,0.957,129,85,0.187,0.72,0.636,-0.45,2.3,27,8,9.0,0,56,9,20,9,18,4,0,51,0.0,0.0,0.315,2.3,1,4,5,1,OAK,1
213.0,1,33,4,8,4,4.0,7,10,41,0.242,0.366,0.333,0.6990000000000001,141,98,0.02,1.82,0.73,-0.708,-0.9,25,8,8.1,2,53,23,22,12,12,7,0,49,0.0,0.0,-0.519,-1.4,0,5,5,2,CHW,0
195.0,1,36,6,11,6,6.0,6,7,42,0.306,0.405,0.5,0.905,156,104,0.197,0.66,0.474,-0.275,1.1,27,9,9.0,0,53,23,28,12,17,9,0,75,0.0,0.0,0.302,3.9,0,6,5,3,CHW,1
214.0,1,48,15,21,14,13.0,5,8,53,0.438,0.491,0.792,1.2819999999999998,152,129,0.489,0.38,0.642,-0.154,10.1,27,13,9.0,1,79,19,31,14,26,12,0,60,0.0,0.0,0.012,2.9,0,7,5,4,CHW,1
213.0,0,33,9,9,9,9.0,9,10,43,0.273,0.429,0.394,0.823,156,101,0.312,0.91,1.052,-0.74,4.1,27,6,9.0,2,62,18,21,7,17,8,0,61,0.0,0.0,0.187,2.9,0,1,5,5,CHW,1
159.0,1,30,1,3,1,1.0,0,6,31,0.1,0.097,0.133,0.23,129,82,-0.35200000000000004,0.65,0.114,-0.466,-3.9,24,6,8.0,1,46,12,24,15,10,5,0,35,2.0,0.0,-0.149,0.3,0,2,5,6,BAL,0
201.0,1,30,8,7,8,8.0,8,11,41,0.233,0.4,0.5329999999999999,0.933,142,111,0.453,0.95,0.944,-0.489,3.1,27,10,9.0,2,65,18,28,7,14,7,0,44,1.0,0.0,0.046,-0.1,0,3,5,7,BAL,1
241.0,1,43,2,8,2,1.5,5,11,48,0.18600000000000005,0.271,0.326,0.596,167,128,-0.564,1.74,1.09,-1.654,-4.5,36,8,12.0,0,72,25,31,14,18,7,0,86,0.0,0.0,1.063,5.5,0,4,5,8,BAL,1
182.0,1,41,14,15,14,14.62,3,7,44,0.366,0.409,0.7070000000000001,1.116,138,102,0.252,0.45,0.485,-0.233,9.3,27,9,9.0,0,61,18,23,15,19,9,0,71,0.0,0.0,0.248,4.3,1,6,5,10,SEA,1
195.0,0,33,9,10,9,10.12,11,8,44,0.303,0.477,0.485,0.962,143,112,0.591,0.44,0.916,-0.327,4.3,27,6,9.0,2,66,23,23,14,11,4,0,52,1.0,0.0,-0.08800000000000001,0.3,1,7,5,11,SEA,1
203.0,0,34,11,12,9,10.12,8,7,42,0.353,0.476,0.618,1.094,133,112,0.33,0.61,0.616,-0.28600000000000003,6.3,27,8,9.0,1,68,18,28,12,15,6,0,56,0.0,0.0,0.171,3.3,1,1,5,12,SEA,1
222.0,1,42,4,9,4,2.45,4,10,46,0.214,0.28300000000000003,0.452,0.735,180,115,-0.37,1.47,1.079,-1.4480000000000002,-2.4,33,9,11.0,2,68,22,25,9,23,9,0,80,0.0,0.0,-0.131,1.4,1,3,5,14,COL,0
224.0,1,38,6,13,5,6.0,5,8,43,0.342,0.419,0.526,0.945,175,88,0.151,1.54,1.078,-0.928,1.8,30,5,10.0,0,55,12,21,12,18,9,0,43,6.0,3.0,0.349,0.9,1,4,5,15,COL,1
180.0,1,36,1,9,1,1.0,2,12,38,0.25,0.289,0.361,0.6509999999999999,128,104,-0.466,1.16,0.648,-1.114,-4.3,27,7,9.0,1,60,22,22,11,13,9,0,59,0.0,0.0,-0.033,2.3,1,6,5,17,HOU,0
211.0,1,31,3,5,2,2.0,5,3,36,0.161,0.278,0.29,0.568,186,84,-0.189,0.54,0.3720000000000001,-0.5579999999999999,-2.3,27,16,9.0,1,52,7,25,12,16,4,0,23,2.0,2.0,-0.312,-1.7,1,7,5,18,HOU,0
182.0,0,34,4,11,4,3.38,0,3,34,0.324,0.324,0.471,0.794,160,83,0.065,1.5,0.77,-0.705,-0.7,27,5,9.0,1,54,11,18,16,15,8,0,53,3.0,0.0,0.435,2.3,1,1,5,19,HOU,1
176.0,0,41,12,16,11,11.0,4,6,46,0.39,0.435,0.7559999999999999,1.1909999999999998,129,110,0.455,0.54,0.6920000000000001,-0.239,7.2,27,11,9.0,1,72,18,20,13,23,11,0,61,0.0,0.0,0.046,2.8,0,2,5,20,TOR,1
197.0,1,32,3,7,3,3.0,8,10,40,0.219,0.375,0.5,0.875,166,92,-0.278,0.43,0.378,-0.654,-1.8,24,5,8.0,3,47,21,24,12,10,3,0,33,0.0,0.0,-0.223,-5.7,0,3,5,21,TOR,0
270.0,1,46,6,10,6,4.15,5,9,53,0.217,0.321,0.435,0.7559999999999999,207,133,0.328,2.12,1.5619999999999998,-1.233,-1.0,39,10,13.0,3,76,24,34,23,14,7,0,66,0.0,0.0,0.173,2.0,0,4,5,22,TOR,1
181.0,0,41,8,15,8,8.0,2,7,44,0.366,0.409,0.537,0.946,134,102,0.153,0.93,0.769,-0.62,3.2,27,13,9.0,1,68,18,16,13,21,11,0,66,0.0,0.0,0.348,2.8,0,5,5,23,TOR,1
168.0,1,33,3,7,3,3.0,3,14,36,0.212,0.278,0.515,0.7929999999999999,127,94,-0.395,0.61,0.414,-0.8109999999999999,-1.9,24,4,8.0,1,49,19,26,5,14,5,0,57,0.0,0.0,-0.104,0.4,0,6,5,24,HOU,0
208.0,1,35,3,9,3,3.0,3,10,39,0.257,0.333,0.314,0.648,150,94,-0.152,1.24,1.21,-1.362,-1.9,24,11,8.0,0,54,15,25,10,15,5,0,51,3.0,1.0,-0.348,-1.5,0,7,5,25,HOU,0
186.0,0,34,4,6,3,2.0,2,8,37,0.17600000000000002,0.21600000000000005,0.294,0.51,147,93,0.001,1.09,0.547,-0.545,-0.9,27,8,9.0,0,52,19,22,9,18,6,0,64,0.0,0.0,0.5,3.9,0,1,5,26,HOU,1
212.0,0,37,12,13,11,12.38,4,10,42,0.35100000000000003,0.429,0.703,1.131,154,120,0.485,0.87,0.955,-0.468,7.3,27,10,9.0,0,76,12,32,13,14,8,0,43,2.0,1.0,0.014,0.3,1,2,5,27,CLE,1
243.0,1,37,5,10,3,3.0,2,7,40,0.27,0.325,0.4320000000000001,0.757,183,110,-0.024,1.72,0.907,-0.933,-0.3,27,13,9.0,2,74,13,23,10,20,8,0,71,1.0,0.0,-0.475,-1.7,1,3,5,28,CLE,0
222.0,1,42,9,14,9,7.0,1,12,43,0.333,0.349,0.7140000000000001,1.063,189,112,0.201,0.78,0.7340000000000001,-0.5329999999999999,3.7,27,9,9.0,1,62,15,35,10,20,5,0,18,0.0,0.0,-0.7020000000000001,-8.7,1,4,5,29,CLE,0
171.0,1,30,1,5,1,1.0,3,9,33,0.16699999999999998,0.242,0.267,0.509,146,83,-0.353,0.7,0.254,-0.606,-3.9,24,7,8.0,1,51,14,19,13,8,4,0,51,0.0,0.0,-0.147,0.3,0,6,5,31,NYY,0
198.0,1,36,3,11,3,3.0,4,14,40,0.306,0.375,0.417,0.792,151,107,-0.261,0.9,1.039,-1.2990000000000002,-1.9,24,8,8.0,1,53,29,25,8,14,8,0,30,2.0,0.0,-0.239,-0.7,0,7,6,1,NYY,0
210.0,1,38,8,13,7,8.0,1,8,39,0.342,0.359,0.579,0.938,157,102,0.252,1.09,0.7090000000000001,-0.457,3.1,27,8,9.0,1,62,17,23,13,17,7,0,58,2.0,0.0,0.249,-0.1,0,1,6,2,NYY,1
188.0,1,36,8,10,8,8.0,4,6,41,0.278,0.341,0.528,0.8690000000000001,138,103,0.245,0.96,0.858,-0.613,3.0,27,11,9.0,1,62,13,28,14,17,5,0,56,1.0,0.0,0.256,2.0,0,3,6,4,KCR,1
159.0,1,37,8,11,8,7.0,5,8,43,0.297,0.3720000000000001,0.486,0.8590000000000001,102,98,0.223,0.45,0.598,-0.374,3.0,27,10,9.0,0,54,12,32,14,16,8,0,93,,,0.277,5.0,0,4,6,5,KCR,1
206.0,0,34,7,9,6,7.0,6,8,41,0.265,0.39,0.441,0.831,157,95,0.319,1.38,0.934,-0.613,2.0,27,9,9.0,3,62,12,21,13,13,9,0,37,6.0,0.0,0.179,0.0,0,5,6,6,KCR,1
163.0,1,31,1,4,1,1.0,2,7,33,0.129,0.182,0.194,0.375,150,75,-0.425,0.64,0.226,-0.6509999999999999,-4.3,27,10,9.0,2,45,9,21,15,9,3,0,43,0.0,0.0,-0.076,0.3,1,6,6,7,TBR,0
213.0,0,33,2,6,2,1.0,0,8,33,0.182,0.182,0.303,0.485,201,89,-0.295,0.57,0.256,-0.552,-3.3,27,9,9.0,1,53,17,19,17,8,2,0,34,0.0,0.0,-0.207,-3.7,1,7,6,8,TBR,0
201.0,1,28,5,6,5,5.62,6,10,36,0.214,0.343,0.321,0.664,159,89,0.157,1.08,0.57,-0.415,0.3,27,9,9.0,0,44,25,20,12,8,2,0,66,0.0,0.0,0.345,4.3,1,7,6,8,TBR,1
212.0,0,35,1,8,1,1.0,2,12,37,0.229,0.27,0.257,0.527,165,97,-0.343,0.52,0.487,-0.831,-4.3,27,10,9.0,4,45,22,30,10,13,6,0,44,3.0,0.0,-0.156,-0.7,1,1,6,9,TBR,0
205.0,1,38,3,9,3,2.45,4,9,43,0.237,0.31,0.368,0.6779999999999999,170,99,-0.278,1.45,1.175,-1.455,-3.4,33,12,11.0,0,48,17,34,16,14,8,0,78,2.0,0.0,-0.219,2.4,1,2,6,10,TEX,0
220.0,1,36,5,9,5,5.0,4,12,40,0.25,0.325,0.556,0.8809999999999999,195,111,-0.037000000000000005,0.95,0.542,-0.579,-0.3,27,5,9.0,1,66,18,27,10,14,7,0,41,2.0,1.0,-0.463,-3.7,1,3,6,11,TEX,0
174.0,0,33,4,10,4,4.5,4,11,37,0.303,0.378,0.545,0.924,136,85,0.165,1.52,0.952,-0.7859999999999999,1.2,27,6,9.0,0,40,19,28,9,13,6,0,62,1.0,0.0,0.336,2.3,1,4,6,12,TEX,1
246.0,1,34,7,9,7,7.88,2,8,36,0.265,0.306,0.735,1.041,212,93,0.239,1.71,0.91,-0.6709999999999999,2.3,27,10,9.0,0,58,19,16,7,19,6,0,21,3.0,0.0,0.259,-0.7,1,5,6,13,TEX,1
204.0,1,41,13,16,13,13.0,7,6,50,0.39,0.5,0.8540000000000001,1.354,149,124,0.397,0.43,0.7,-0.305,8.1,27,9,9.0,1,80,13,31,11,24,10,0,65,0.0,0.0,0.102,2.9,0,6,6,14,BAL,1
199.0,0,38,7,12,5,5.0,4,12,43,0.316,0.3720000000000001,0.421,0.7929999999999999,158,108,0.162,1.45,0.8009999999999999,-0.638,2.1,27,3,9.0,0,58,21,29,17,10,3,0,61,0.0,0.0,0.338,2.9,0,7,6,15,BAL,1
284.0,0,43,8,14,8,3.6,5,6,48,0.326,0.396,0.5579999999999999,0.954,236,120,0.47,1.71,1.683,-1.214,2.6,30,15,10.0,2,80,18,22,12,25,12,0,45,5.0,0.0,0.031,-0.6,0,1,6,16,BAL,1
163.0,1,33,2,7,2,2.0,0,10,33,0.212,0.212,0.273,0.485,125,95,-0.272,1.68,0.29100000000000004,-0.56,-3.0,27,8,9.0,0,50,22,23,8,15,10,0,76,0.0,0.0,0.772,5.0,0,2,6,17,MIN,1
345.0,1,64,3,17,3,1.59,2,17,68,0.266,0.299,0.391,0.6890000000000001,259,168,-1.077,2.01,1.7919999999999998,-2.869,-6.4,49,12,16.1,1,97,33,39,22,26,9,0,57,0.0,0.0,0.579,3.8,0,3,6,18,MIN,0
202.0,1,35,9,12,9,9.0,10,6,46,0.343,0.478,0.514,0.993,145,94,0.469,1.01,1.073,-0.606,4.0,27,11,9.0,2,49,17,28,14,16,9,0,51,0.0,0.0,0.032,1.0,0,4,6,19,MIN,1
238.0,1,41,7,14,7,6.52,2,13,45,0.341,0.378,0.537,0.914,190,113,0.272,1.12,1.4780000000000002,-1.206,1.3,30,7,10.0,1,63,20,30,9,20,10,0,45,1.0,0.0,0.229,0.9,1,6,6,21,TOR,1
