duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
187.0,0,37,12,13,11,12.0,8,7,46,0.35100000000000003,0.478,0.6759999999999999,1.154,132,96,0.435,0.43,0.802,-0.37,6.5,27,8,9.0,2,55,14,29,17,13,4,0,57,1.0,1.0,0.066,1.5,0,5,3,28,TEX,1
227.0,1,34,6,9,6,6.0,7,5,42,0.265,0.381,0.441,0.8220000000000001,186,98,0.093,1.55,0.6890000000000001,-0.593,0.5,24,9,8.0,2,58,14,26,12,18,8,0,39,1.0,0.0,-0.594,-3.1,0,7,3,30,TEX,0
226.0,0,43,10,17,10,10.0,3,9,47,0.395,0.435,0.581,1.016,171,108,0.5579999999999999,1.24,1.575,-1.017,4.5,25,12,8.1,3,61,17,30,19,16,6,0,36,3.0,2.0,-1.057,-5.9,0,1,3,31,TEX,0
192.0,1,33,0,9,0,0.0,4,5,37,0.273,0.35100000000000003,0.364,0.715,169,88,-0.197,0.29,0.259,-0.455,-5.0,24,8,8.0,2,51,10,27,15,13,7,0,26,2.0,0.0,-0.304,-3.6,0,2,4,1,ATL,0
212.0,1,35,4,12,3,4.0,6,13,41,0.343,0.439,0.429,0.868,154,103,0.021,1.31,1.009,-0.99,-1.0,24,8,8.0,2,47,23,33,7,15,9,0,56,7.0,4.0,-0.522,-1.6,0,4,4,3,ATL,0
209.0,1,33,4,6,4,4.0,3,7,37,0.182,0.27,0.364,0.634,170,103,-0.325,0.69,0.032,-0.36,-1.0,24,13,8.0,0,56,15,32,16,10,5,0,38,5.0,4.0,-0.174,-4.6,0,5,4,4,ATL,0
216.0,1,39,10,12,10,10.0,2,14,43,0.308,0.3720000000000001,0.564,0.936,177,105,-0.084,0.41,0.326,-0.41,5.1,24,11,8.0,5,53,19,33,14,11,6,0,11,1.0,1.0,-0.417,-8.7,0,6,4,5,MIL,0
234.0,1,39,14,12,14,14.0,9,11,49,0.308,0.429,0.667,1.095,173,114,0.487,0.76,0.845,-0.359,9.1,27,13,9.0,3,65,24,25,17,12,7,0,57,2.0,2.0,0.013,-3.1,0,7,4,6,MIL,1
184.0,0,33,2,6,2,0.0,3,5,36,0.182,0.25,0.273,0.523,142,88,-0.401,0.58,0.458,-0.861,-2.9,24,6,8.0,1,54,10,24,13,15,2,0,33,2.0,0.0,-0.098,0.3,0,1,4,7,MIL,0
192.0,0,34,10,8,8,4.5,4,11,40,0.235,0.333,0.412,0.745,158,110,0.362,0.29,0.508,-0.145,5.6,27,12,9.0,0,54,23,33,13,11,8,0,53,2.0,0.0,0.13699999999999998,4.9,1,2,4,8,PIT,1
190.0,1,34,2,6,2,2.0,3,15,37,0.17600000000000002,0.243,0.294,0.537,146,100,-0.327,0.48,0.53,-0.856,-2.9,27,11,9.0,2,52,23,25,7,12,6,0,44,2.0,2.0,-0.174,-0.1,1,4,4,10,PIT,0
158.0,1,29,2,5,2,0.0,3,9,32,0.172,0.25,0.241,0.491,134,74,-0.12,1.09,0.613,-0.733,-2.4,27,8,9.0,0,44,12,18,7,13,7,0,79,0.0,0.0,0.621,4.9,1,5,4,11,PIT,1
