duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
192.0,0,31,3,4,3,3.0,4,5,36,0.129,0.25,0.129,0.379,156,79,-0.451,0.72,0.28,-0.733,-2.0,24,6,8.0,0,49,13,17,14,12,8,0,57,3.0,1.0,-0.047,-0.5,0,5,3,28,KCR,0
196.0,0,36,6,10,6,6.0,2,10,38,0.278,0.316,0.472,0.7879999999999999,153,101,-0.166,0.87,0.662,-0.828,1.0,24,8,8.0,0,58,16,27,11,15,4,0,32,4.0,3.0,-0.334,-3.5,0,7,3,30,KCR,0
177.0,0,36,6,11,6,6.0,5,7,41,0.306,0.39,0.556,0.946,125,93,0.116,0.83,0.585,-0.468,1.0,27,7,9.0,0,54,18,21,11,18,11,0,67,1.0,0.0,0.383,2.0,0,1,3,31,KCR,1
182.0,0,30,3,3,3,2.0,4,14,36,0.1,0.229,0.233,0.462,127,87,-0.012,1.56,0.833,-0.8440000000000001,-2.1,24,11,8.0,0,39,22,26,7,10,5,0,64,5.0,3.0,-0.486,-0.4,0,2,4,1,CLE,0
181.0,0,40,8,13,8,6.0,4,10,44,0.325,0.386,0.475,0.861,147,103,0.3,0.63,0.614,-0.315,2.9,27,11,9.0,1,59,19,25,16,14,5,0,74,0.0,0.0,0.202,2.1,0,4,4,3,CLE,1
216.0,0,34,10,9,8,9.0,5,6,40,0.265,0.375,0.441,0.816,162,98,0.7929999999999999,1.07,1.3259999999999998,-0.5329999999999999,5.7,27,6,9.0,4,58,17,23,17,11,7,0,32,0.0,0.0,-0.293,-3.1,1,6,4,5,SEA,1
211.0,0,37,2,10,2,2.0,1,10,38,0.27,0.289,0.459,0.7490000000000001,193,110,-0.188,0.47,0.208,-0.398,-2.9,27,11,9.0,3,68,18,24,9,18,7,0,31,4.0,2.0,-0.312,-4.1,1,7,4,6,SEA,0
229.0,0,38,5,10,5,5.0,3,9,41,0.263,0.317,0.421,0.738,202,99,-0.02,0.55,0.251,-0.27,0.1,27,8,9.0,3,53,18,28,12,17,8,0,16,3.0,0.0,-0.481,-7.1,1,1,4,7,SEA,0
205.0,0,34,1,9,1,1.0,0,14,34,0.265,0.265,0.382,0.647,184,95,-0.335,0.72,0.42,-0.755,-3.9,27,8,9.0,0,42,27,26,9,11,6,0,36,5.0,0.0,-0.166,-0.1,1,2,4,8,TBR,0
236.0,0,33,5,7,5,5.0,6,11,39,0.212,0.333,0.303,0.636,209,115,-0.113,0.55,0.387,-0.502,0.1,27,11,9.0,3,58,24,33,11,11,4,0,17,3.0,1.0,-0.387,-5.1,1,3,4,9,TBR,0
