duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
174.0,0,31,5,6,5,5.62,3,8,34,0.194,0.265,0.484,0.7490000000000001,167,83,0.298,1.42,0.833,-0.535,0.6,27,8,9.0,1,49,16,18,9,14,7,0,66,5,1,0.203,1.9,1,5,3,28,PIT,1
195.0,0,30,0,4,0,0.0,2,9,32,0.133,0.188,0.16699999999999998,0.354,181,93,-0.418,0.73,0.156,-0.574,-4.9,27,16,9.0,0,58,13,22,10,11,3,0,34,3,0,-0.084,-0.1,1,1,3,31,PIT,0
211.0,1,34,3,8,3,3.0,4,9,39,0.235,0.333,0.294,0.627,165,94,-0.382,1.11,0.982,-1.365,-1.9,27,9,9.0,0,49,21,24,16,9,5,0,42,0,0,-0.119,0.9,1,2,4,1,MIL,0
187.0,1,31,3,4,3,3.0,5,9,36,0.129,0.25,0.258,0.508,151,85,-0.454,1.04,0.732,-1.188,-1.9,27,6,9.0,1,49,17,19,8,14,2,0,62,2,2,-0.045,0.9,1,3,4,2,MIL,0
153.0,0,30,0,3,0,0.0,1,12,31,0.1,0.129,0.1,0.229,134,85,-0.879,0.92,0.317,-1.196,-4.9,27,9,9.0,0,47,18,20,2,16,8,0,76,0,0,0.377,3.9,1,4,4,3,MIL,0
160.0,1,33,0,6,0,0.0,4,8,37,0.182,0.27,0.273,0.5429999999999999,116,92,-0.654,1.04,0.474,-1.126,-4.7,24,12,8.0,0,53,18,21,11,14,6,0,67,1,0,0.151,2.2,0,5,4,4,PIT,0
145.0,1,28,0,3,0,0.0,1,10,30,0.107,0.16699999999999998,0.179,0.345,103,80,-0.653,0.97,0.179,-0.831,-4.7,24,8,8.0,0,39,22,19,9,9,5,0,71,5,1,0.151,2.2,0,6,4,5,PIT,0
191.0,0,38,5,8,5,3.6,0,9,38,0.211,0.211,0.421,0.632,158,94,-0.103,1.46,0.8140000000000001,-0.919,-0.2,28,12,9.1,1,57,18,19,14,15,6,0,43,3,2,-0.398,-1.5,0,7,4,6,PIT,0
174.0,0,34,5,7,5,5.0,2,10,36,0.206,0.25,0.471,0.721,123,91,-0.069,0.71,0.573,-0.643,0.3,24,8,8.0,2,53,19,19,8,16,6,0,29,4,2,-0.4320000000000001,-2.8,0,1,4,7,PIT,0
167.0,1,38,14,16,13,15.75,6,9,45,0.421,0.511,0.895,1.406,127,105,0.207,0.57,0.532,-0.326,9.6,27,9,9.0,0,62,13,30,10,19,7,0,80,0,0,0.294,4.9,1,3,4,9,MIA,1
167.0,1,24,2,3,2,2.25,5,8,30,0.125,0.276,0.375,0.6509999999999999,155,81,-0.004,1.12,0.769,-0.773,-2.4,27,6,9.0,1,40,22,21,7,10,0,0,62,1,0,0.504,3.9,1,4,4,10,MIA,1
171.0,0,32,5,10,5,5.62,2,11,35,0.312,0.371,0.469,0.84,144,95,0.106,0.68,0.511,-0.407,0.6,27,10,9.0,0,54,19,24,11,10,5,0,64,0,0,0.395,4.9,1,5,4,11,MIA,1
188.0,1,34,2,9,2,2.0,3,9,39,0.265,0.359,0.471,0.83,121,108,-0.452,0.96,0.6409999999999999,-1.091,-2.9,24,8,8.0,2,71,10,27,8,17,9,0,60,2,2,-0.049,-0.6,0,7,4,13,STL,1
199.0,0,37,9,11,9,9.0,6,8,43,0.297,0.395,0.703,1.098,133,102,0.5710000000000001,0.92,1.043,-0.473,4.1,27,14,9.0,2,59,16,27,14,15,6,0,41,2,0,-0.071,-0.1,0,1,4,14,STL,0
169.0,1,32,3,7,3,3.0,0,10,32,0.219,0.219,0.344,0.563,146,81,-0.024,1.75,0.818,-0.8420000000000001,-1.6,24,11,8.0,1,49,15,18,14,8,3,0,53,1,0,-0.476,0.1,0,2,4,15,LAD,0
171.0,1,31,1,4,1,1.0,3,6,34,0.129,0.206,0.226,0.4320000000000001,138,85,-0.28800000000000003,0.53,0.221,-0.509,-3.6,24,12,8.0,1,50,19,16,10,15,5,0,37,0,0,-0.211,-1.9,0,3,4,16,LAD,0
157.0,0,29,2,3,2,0.0,1,10,32,0.103,0.156,0.103,0.26,116,79,-0.5,0.9,0.311,-0.8109999999999999,-2.6,24,10,8.0,1,42,18,20,6,14,6,0,63,0,0,0.0,1.1,0,4,4,17,LAD,0
165.0,1,31,4,5,4,4.0,1,7,32,0.161,0.188,0.452,0.639,138,91,0.022,1.37,0.407,-0.384,-0.6,27,7,9.0,0,48,21,24,6,18,6,0,59,4,1,0.476,3.6,0,5,4,18,SDP,1
184.0,1,38,3,4,3,1.64,0,7,38,0.105,0.105,0.263,0.368,151,89,-0.311,1.52,0.6509999999999999,-0.962,-2.6,33,12,11.0,1,53,13,23,17,14,1,0,69,0,0,0.81,3.6,0,6,4,19,SDP,1
184.0,1,32,4,7,4,3.0,4,11,37,0.219,0.297,0.344,0.6409999999999999,139,91,0.085,1.31,0.57,-0.487,-0.6,27,4,9.0,1,51,16,24,11,11,3,0,68,4,1,0.416,2.6,0,7,4,20,SDP,1
170.0,0,35,3,9,3,3.0,2,10,37,0.257,0.297,0.457,0.754,114,87,-0.361,0.64,0.5579999999999999,-0.919,-1.6,24,6,8.0,1,46,17,24,15,10,5,0,51,1,0,-0.14,0.1,0,1,4,21,SDP,0
202.0,1,30,7,9,7,5.62,9,11,42,0.3,0.45,0.5329999999999999,0.983,147,92,0.498,1.64,0.993,-0.496,2.6,27,6,9.0,0,47,15,30,10,12,4,0,49,3,0,0.001,-1.1,1,3,4,23,ATL,1
178.0,1,31,1,5,1,1.0,4,10,35,0.161,0.257,0.161,0.418,152,93,-0.654,1.15,0.4,-1.052,-3.9,27,9,9.0,1,51,16,26,14,7,6,0,50,1,0,0.154,1.9,1,4,4,24,ATL,0
174.0,1,23,4,5,4,4.5,6,7,32,0.217,0.387,0.261,0.648,156,79,0.083,1.41,0.4970000000000001,-0.411,-0.4,27,11,9.0,1,51,9,19,8,10,5,0,58,3,0,0.418,2.9,1,5,4,25,ATL,1
175.0,1,40,12,14,12,12.0,3,11,44,0.35,0.395,0.75,1.145,128,99,0.185,0.91,0.466,-0.28300000000000003,7.3,27,11,9.0,0,63,18,18,11,19,8,0,67,1,1,0.315,3.7,0,6,4,26,STL,1
152.0,0,30,3,7,3,3.0,2,7,34,0.233,0.273,0.267,0.539,118,82,-0.175,0.76,0.406,-0.58,-1.7,24,11,8.0,1,45,10,27,11,14,9,0,32,2,0,-0.327,-1.8,0,7,4,27,STL,0
173.0,0,34,2,8,2,2.0,1,6,35,0.235,0.257,0.294,0.551,144,86,-0.502,0.73,0.297,-0.799,-2.7,24,9,8.0,0,52,16,18,11,17,9,0,56,0,0,0.001,-0.8,0,1,4,28,STL,0
195.0,1,32,5,9,5,5.0,6,6,41,0.281,0.4,0.469,0.8690000000000001,161,96,0.173,1.53,1.209,-1.038,0.6,27,6,9.0,0,65,9,22,11,17,7,0,36,5,1,0.327,0.4,0,2,4,29,NYM,1
