duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
138.0,0,29,0,2,0,0.0,1,13,30,0.069,0.1,0.103,0.203,92,77,-0.626,0.99,0.105,-0.731,-5.0,24,4,8.0,0,37,19,21,5,11,2,0,65,2.0,0.0,0.125,2.4,0,5,3,28,MIN,0
180.0,0,30,2,4,2,2.0,3,13,34,0.133,0.206,0.233,0.439,136,86,-0.165,2.08,0.6409999999999999,-0.8059999999999999,-3.0,27,5,9.0,0,45,18,23,8,10,1,0,79,0.0,0.0,0.667,4.0,0,7,3,30,MIN,1
159.0,0,31,3,6,3,3.0,6,13,37,0.194,0.324,0.226,0.55,109,97,-0.284,0.52,0.136,-0.419,-2.0,24,11,8.0,1,48,20,29,9,9,4,0,22,1.0,1.0,-0.215,-4.6,0,1,3,31,MIN,0
182.0,0,32,5,8,4,4.5,5,6,37,0.25,0.35100000000000003,0.344,0.695,148,75,0.488,1.33,1.212,-0.726,0.4,27,6,9.0,1,48,12,15,12,14,10,0,84,2.0,2.0,0.013,2.1,1,2,4,1,CHW,1
181.0,0,34,3,5,3,2.0,1,13,35,0.147,0.171,0.235,0.407,159,93,-0.2,0.62,0.236,-0.436,-2.1,27,11,9.0,1,42,22,29,13,8,3,0,25,1.0,0.0,-0.299,-2.9,1,4,4,3,CHW,0
186.0,1,28,4,7,4,3.38,5,7,36,0.25,0.343,0.28600000000000003,0.629,166,80,0.017,1.19,0.388,-0.37,-0.6,27,6,9.0,0,49,15,17,11,13,4,0,79,3.0,0.0,0.484,4.1,1,5,4,4,TOR,1
162.0,1,28,3,4,3,3.24,3,10,31,0.14300000000000002,0.226,0.393,0.619,139,75,0.034,1.29,0.866,-0.831,-1.8,27,5,9.0,1,41,17,17,7,11,5,0,67,0.0,0.0,0.466,3.1,1,6,4,5,TOR,1
200.0,0,33,7,8,5,6.75,6,13,39,0.242,0.359,0.333,0.6920000000000001,158,99,0.29600000000000004,0.7,0.6509999999999999,-0.354,2.4,27,7,9.0,1,54,20,25,11,9,5,0,58,1.0,0.0,0.204,3.1,1,7,4,6,TOR,1
156.0,0,30,3,6,3,3.38,1,9,31,0.2,0.226,0.3,0.526,124,80,0.011,1.09,0.329,-0.319,-1.6,27,6,9.0,0,43,15,22,11,10,3,0,74,4.0,1.0,0.488,4.1,1,1,4,7,TOR,1
152.0,0,32,8,8,7,6.0,4,8,37,0.25,0.324,0.688,1.012,129,85,0.309,0.98,0.588,-0.278,3.0,27,10,9.0,0,43,13,29,8,17,8,0,59,0.0,0.0,0.191,3.0,0,3,4,9,DET,1
