duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
175.0,0,36,6,9,5,5.0,3,7,39,0.25,0.308,0.472,0.78,121,98,0.241,0.48,0.662,-0.42,1.4,27,12,9.0,3,61,14,23,10,19,9,0,73,0.0,0.0,0.258,1.6,0,5,3,28,MIA,1
184.0,1,38,6,11,6,6.0,4,5,42,0.289,0.35700000000000004,0.395,0.752,135,90,0.04,1.14,0.7829999999999999,-0.741,1.4,27,17,9.0,1,53,19,18,11,22,12,0,68,0.0,0.0,0.459,3.6,0,6,3,29,MIA,1
180.0,1,34,3,8,3,3.0,0,14,36,0.235,0.25,0.294,0.544,139,100,-0.14,0.78,0.502,-0.6409999999999999,-1.6,24,9,8.0,0,50,28,22,7,14,8,0,32,2.0,1.0,-0.36,-2.9,0,7,3,30,MIA,0
152.0,0,30,0,5,0,0.0,1,7,32,0.16699999999999998,0.194,0.233,0.4270000000000001,112,77,-0.489,0.69,0.24,-0.7290000000000001,-4.6,24,10,8.0,1,45,17,15,14,10,4,0,61,0.0,0.0,-0.01,1.1,0,1,3,31,MIA,0
174.0,1,32,1,6,1,1.0,1,12,34,0.188,0.235,0.219,0.454,137,84,-0.287,0.52,0.335,-0.622,-3.9,24,12,8.0,2,43,24,17,8,12,5,0,34,4.0,1.0,-0.214,-2.6,0,2,4,1,TBR,0
170.0,1,27,0,2,0,0.0,2,14,29,0.07400000000000001,0.138,0.07400000000000001,0.212,171,84,-0.369,0.5,0.1,-0.469,-4.9,24,5,8.0,0,39,26,19,8,5,1,0,54,2.0,0.0,-0.132,0.4,0,3,4,2,TBR,0
199.0,0,36,1,5,1,0.82,2,13,38,0.139,0.184,0.222,0.406,158,102,-0.58,2.14,0.589,-1.169,-5.0,33,9,11.0,0,51,21,30,11,12,6,0,75,0.0,0.0,1.081,6.0,0,4,4,3,TBR,1
232.0,0,34,6,10,6,6.0,6,7,41,0.294,0.39,0.5589999999999999,0.949,170,102,-0.21,0.56,0.4370000000000001,-0.647,0.3,27,8,9.0,3,64,16,22,11,17,9,0,19,3.0,0.0,-0.28800000000000003,-4.3,1,6,4,5,LAD,0
199.0,1,32,2,6,2,2.0,4,6,36,0.188,0.278,0.313,0.59,149,96,-0.361,0.73,0.41,-0.77,-3.7,27,11,9.0,1,55,19,22,11,15,6,0,38,0.0,0.0,-0.139,-1.3,1,7,4,6,LAD,0
232.0,1,34,6,10,6,6.0,5,8,43,0.294,0.395,0.5,0.895,199,99,-0.08900000000000001,0.55,0.383,-0.474,0.3,27,13,9.0,2,56,20,23,10,18,9,0,18,3.0,2.0,-0.41,-6.3,1,1,4,7,LAD,0
179.0,1,33,6,8,6,6.0,3,6,37,0.242,0.297,0.485,0.782,156,79,-0.315,0.74,0.544,-0.86,0.3,27,12,9.0,1,48,12,19,12,16,6,0,24,2.0,1.0,-0.185,-2.3,1,2,4,8,ATL,0
192.0,1,32,1,6,1,0.0,3,10,35,0.188,0.257,0.219,0.476,165,91,-0.348,0.47,0.344,-0.69,-4.7,27,13,9.0,2,54,19,18,13,9,3,0,35,0.0,0.0,-0.153,-1.3,1,3,4,9,ATL,0
154.0,1,29,0,3,0,0.0,1,8,30,0.103,0.133,0.103,0.237,128,73,-0.728,1.03,0.08800000000000001,-0.8170000000000001,-4.5,24,12,8.0,1,33,19,21,10,11,4,0,63,4.0,0.0,0.227,3.0,0,5,4,11,SFG,0
335.0,1,62,2,11,1,1.0,3,24,67,0.177,0.215,0.226,0.441,238,178,-1.642,1.77,1.197,-2.84,-7.0,52,15,17.1,0,94,37,49,19,21,11,0,49,4.0,1.0,1.141,4.5,0,6,4,12,SFG,0
168.0,0,32,2,6,2,2.0,0,10,32,0.188,0.188,0.344,0.531,115,88,-0.378,0.93,0.473,-0.8540000000000001,-2.5,24,7,8.0,1,53,16,19,11,11,6,0,41,3.0,2.0,-0.12,-1.0,0,7,4,13,SFG,0
145.0,0,30,4,5,4,4.0,4,9,35,0.16699999999999998,0.265,0.3,0.565,105,90,0.118,0.63,0.507,-0.388,-0.5,27,8,9.0,0,50,17,25,10,12,5,0,94,,,0.381,4.5,0,1,4,14,SFG,1
158.0,1,33,5,8,5,5.0,2,7,36,0.242,0.28600000000000003,0.545,0.831,134,80,0.165,0.9,0.5529999999999999,-0.389,0.4,27,11,9.0,2,46,9,25,14,13,7,0,61,2.0,0.0,0.338,2.6,0,2,4,15,SDP,1
181.0,1,39,8,12,8,8.0,3,13,43,0.308,0.349,0.615,0.964,125,106,0.277,0.56,0.541,-0.267,3.4,27,15,9.0,1,52,24,30,9,18,9,0,69,2.0,1.0,0.223,2.6,0,3,4,16,SDP,1
183.0,1,32,6,11,6,5.62,4,4,37,0.344,0.405,0.563,0.968,155,79,0.151,0.8,0.74,-0.589,0.9,27,11,9.0,1,52,12,16,17,12,3,0,75,1.0,0.0,0.35,3.7,1,5,4,18,PHI,1
266.0,1,42,4,8,4,3.09,4,16,46,0.19,0.261,0.452,0.713,210,121,-0.087,1.83,1.655,-1.74,-3.5,36,10,12.0,0,66,31,24,8,18,5,0,42,0.0,0.0,0.584,4.6,1,6,4,19,PHI,1
205.0,1,39,5,14,5,5.0,1,13,42,0.359,0.381,0.564,0.945,153,101,-0.202,0.86,0.81,-1.01,-0.7,27,12,9.0,2,51,19,31,11,16,8,0,44,2.0,1.0,-0.3,-2.3,1,7,4,20,PHI,0
178.0,0,31,4,10,4,4.5,6,11,39,0.32299999999999995,0.447,0.419,0.867,160,82,0.006,0.99,0.512,-0.507,-1.1,27,14,9.0,0,40,15,27,8,13,5,0,69,0.0,0.0,0.494,4.7,1,1,4,21,PHI,1
180.0,1,33,7,11,7,7.88,3,5,37,0.333,0.389,0.6970000000000001,1.086,162,77,0.302,1.29,0.991,-0.6890000000000001,1.9,27,15,9.0,1,44,11,22,9,20,9,0,32,0.0,0.0,0.198,0.7,1,2,4,22,WSN,1
194.0,1,34,3,6,2,2.0,1,11,35,0.17600000000000002,0.2,0.294,0.494,175,94,-0.451,1.0,0.578,-1.028,-2.7,27,7,9.0,0,55,19,20,12,11,5,0,45,4.0,2.0,-0.048,-0.3,1,3,4,23,WSN,0
168.0,0,35,9,12,8,10.12,6,5,43,0.343,0.442,0.629,1.07,140,93,0.313,0.82,0.708,-0.395,3.9,27,7,9.0,1,62,15,16,9,22,9,0,54,2.0,0.0,0.187,0.7,1,4,4,24,WSN,1
201.0,1,39,8,12,8,6.0,0,10,40,0.308,0.308,0.59,0.897,157,102,0.376,1.02,0.989,-0.613,3.0,27,12,9.0,2,60,17,25,14,16,9,0,44,2.0,0.0,0.125,1.0,0,6,4,26,ATL,1
178.0,1,35,9,9,9,9.0,3,7,39,0.257,0.316,0.6859999999999999,1.002,141,82,0.649,0.86,1.736,-1.088,4.0,27,7,9.0,2,51,15,16,12,17,5,0,29,1.0,0.0,-0.14800000000000002,0.0,0,7,4,27,ATL,1
227.0,0,34,7,9,6,6.0,4,9,41,0.265,0.35,0.529,0.879,175,106,0.179,1.39,1.297,-1.117,2.0,24,6,8.0,4,67,18,21,12,15,3,0,41,5.0,0.0,-0.6779999999999999,-3.6,0,1,4,28,ATL,0
158.0,1,31,1,4,1,0.0,3,7,35,0.129,0.206,0.129,0.335,107,88,-0.249,0.36,0.174,-0.424,-3.9,24,8,8.0,2,54,16,18,15,10,5,0,41,0.0,0.0,-0.25,-0.7,0,2,4,29,MIL,0
142.0,1,30,3,4,3,3.0,4,9,34,0.133,0.235,0.3,0.535,96,88,-0.508,0.74,0.16899999999999998,-0.677,-1.9,24,12,8.0,1,49,12,27,5,16,5,0,55,0.0,0.0,0.006999999999999999,0.3,0,3,4,30,MIL,0
224.0,1,34,11,10,10,11.0,7,11,43,0.294,0.419,0.618,1.036,194,105,0.499,1.21,1.102,-0.603,6.1,27,12,9.0,1,55,23,27,14,10,3,0,45,2.0,2.0,0.003,0.9,0,4,5,1,MIL,1
204.0,0,43,11,14,11,8.0,3,6,46,0.326,0.37,0.605,0.974,162,111,0.463,0.38,0.662,-0.204,6.1,27,6,9.0,1,70,19,22,18,19,10,0,42,5.0,1.0,0.039,-1.1,0,5,5,2,MIL,1
204.0,1,38,9,10,9,5.0,5,11,43,0.263,0.349,0.474,0.823,159,91,0.091,0.62,1.435,-1.3430000000000002,3.3,27,11,9.0,4,51,21,19,16,11,5,0,28,1.0,1.0,-0.591,-4.3,1,6,5,3,ARI,0
171.0,1,32,2,5,2,2.0,1,11,33,0.156,0.182,0.281,0.463,147,98,-0.187,0.28,0.08,-0.268,-3.7,27,10,9.0,3,52,21,25,10,11,4,0,21,0.0,0.0,-0.313,-3.3,1,7,5,4,ARI,0
189.0,0,32,8,10,8,7.88,2,4,36,0.312,0.343,0.438,0.78,155,84,0.586,1.18,1.25,-0.6629999999999999,2.9,27,9,9.0,2,52,9,23,16,14,8,0,45,0.0,0.0,-0.087,-1.3,1,1,5,5,ARI,1
203.0,1,36,4,10,4,4.0,3,11,39,0.278,0.333,0.611,0.944,202,96,-0.177,0.48,0.391,-0.568,-1.7,27,15,9.0,3,53,16,27,10,15,5,0,22,1.0,1.0,-0.32299999999999995,-8.3,1,3,5,7,SFG,0
236.0,0,37,12,14,12,13.5,9,11,48,0.378,0.511,0.757,1.267,191,121,0.622,1.1,1.055,-0.435,6.9,27,11,9.0,2,59,27,35,12,15,3,0,42,1.0,0.0,-0.119,-5.3,1,5,5,9,SFG,1
190.0,1,40,12,17,12,13.5,3,9,43,0.425,0.465,0.6,1.065,130,102,0.248,0.54,0.465,-0.217,6.9,27,12,9.0,0,65,17,20,15,16,12,0,48,1.0,0.0,0.253,3.7,1,6,5,10,SDP,1
185.0,1,32,3,6,3,3.0,1,8,34,0.188,0.206,0.375,0.581,145,84,-0.364,1.37,0.602,-0.966,-2.7,27,10,9.0,2,45,19,20,9,16,3,0,51,2.0,0.0,-0.136,1.7,1,7,5,11,SDP,0
186.0,0,35,10,13,10,11.25,3,9,40,0.371,0.436,0.743,1.179,148,104,0.309,0.66,0.5539999999999999,-0.242,4.9,27,8,9.0,1,59,25,20,6,21,9,0,59,2.0,2.0,0.191,-1.3,1,1,5,12,SDP,1
222.0,1,39,5,6,5,4.09,2,24,41,0.154,0.195,0.359,0.5539999999999999,180,120,0.129,1.46,1.287,-1.157,-1.4,33,6,11.0,3,47,37,36,7,8,2,0,54,1.0,0.0,0.369,2.4,0,3,5,14,BOS,1
224.0,1,39,5,11,5,4.5,2,16,43,0.282,0.326,0.385,0.71,134,112,-0.348,1.5,0.911,-1.26,-0.9,27,11,9.0,1,65,28,21,9,15,9,0,39,4.0,0.0,-0.15,-1.8,0,4,5,15,BOS,0
165.0,1,33,4,5,4,3.0,1,4,34,0.152,0.17600000000000002,0.303,0.48,140,82,-0.349,0.83,0.568,-0.918,-0.9,24,7,8.0,1,60,8,14,11,18,5,0,39,2.0,2.0,-0.151,-0.7,0,6,5,17,PHI,0
198.0,0,36,1,9,1,1.0,2,13,38,0.25,0.289,0.361,0.6509999999999999,152,95,-0.623,0.77,0.532,-1.155,-3.9,24,10,8.0,1,45,20,30,13,10,6,0,49,1.0,0.0,0.123,2.3,0,7,5,18,PHI,0
210.0,0,34,5,7,5,5.0,1,9,38,0.206,0.27,0.5589999999999999,0.8290000000000001,179,90,0.041,1.18,0.807,-0.7659999999999999,0.1,24,6,8.0,2,51,20,19,10,16,6,0,34,4.0,1.0,-0.542,-2.7,0,1,5,19,PHI,0
161.0,1,35,5,10,4,4.0,4,5,40,0.28600000000000003,0.359,0.457,0.816,124,91,0.157,0.64,0.53,-0.375,0.3,27,12,9.0,0,59,16,16,9,22,10,0,82,0.0,0.0,0.344,4.7,0,3,5,21,PIT,1
205.0,1,40,9,16,9,9.0,6,10,47,0.4,0.478,0.625,1.103,137,112,0.471,0.45,0.7659999999999999,-0.29600000000000004,4.3,27,14,9.0,1,69,19,24,12,19,8,0,57,0.0,0.0,0.03,1.7,0,4,5,22,PIT,1
181.0,0,37,6,11,6,6.0,2,10,39,0.297,0.333,0.35100000000000003,0.685,153,93,-0.067,0.36,0.443,-0.51,1.3,24,12,8.0,4,53,16,24,13,14,9,0,9,1.0,0.0,-0.433,-9.8,0,5,5,23,PIT,0
197.0,1,36,8,14,8,8.64,2,8,38,0.389,0.421,0.833,1.254,155,96,0.41,1.08,1.327,-0.917,2.6,27,11,9.0,3,64,15,20,9,19,10,0,34,0.0,0.0,0.091,-0.3,1,6,5,24,BAL,1
192.0,1,37,6,10,6,6.0,1,9,38,0.27,0.289,0.514,0.8029999999999999,159,98,0.013,0.97,0.74,-0.726,0.3,27,17,9.0,2,52,19,27,15,13,7,0,15,3.0,2.0,-0.514,-3.3,1,7,5,25,BAL,0
208.0,0,35,8,12,7,6.23,6,9,44,0.343,0.429,0.5429999999999999,0.971,134,97,0.8059999999999999,1.44,1.955,-1.15,2.8,27,17,9.0,0,63,18,16,16,13,7,0,46,6.0,3.0,-0.305,-1.3,1,1,5,26,BAL,1
263.0,0,38,4,8,4,3.48,8,8,46,0.211,0.348,0.342,0.69,174,117,-0.165,1.72,1.41,-1.5759999999999998,-2.4,33,15,11.0,1,67,18,32,13,17,10,0,50,2.0,0.0,0.6659999999999999,4.0,1,2,5,27,ARI,1
182.0,1,29,6,8,5,6.75,4,5,34,0.276,0.364,0.483,0.846,135,85,0.127,1.36,0.8029999999999999,-0.675,0.9,27,13,9.0,1,59,11,15,15,10,6,0,46,0.0,0.0,0.373,3.7,1,3,5,28,ARI,1
191.0,1,28,5,10,4,4.5,6,9,34,0.35700000000000004,0.471,0.429,0.899,162,82,0.084,1.39,0.77,-0.6859999999999999,-0.1,27,11,9.0,2,45,23,14,9,10,7,0,45,0.0,0.0,0.416,1.7,1,4,5,29,ARI,1
231.0,0,44,11,18,11,10.24,4,11,50,0.409,0.46,0.727,1.187,182,123,0.901,1.34,1.843,-0.943,5.2,30,12,10.0,3,73,18,32,14,20,13,0,26,1.0,0.0,-0.401,-3.6,1,5,5,30,ARI,1
