duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
145.0,0,32,2,4,2,1.8,4,15,37,0.125,0.243,0.25,0.493,108,85,-0.309,1.17,0.66,-0.971,-3.4,30,8,10.0,0,32,28,25,7,10,3,0,79,0,0,0.81,5.4,0,5,3,28,TOR,1
148.0,1,29,0,2,0,0.0,2,9,31,0.069,0.129,0.172,0.301,138,77,-0.333,0.71,0.14,-0.473,-4.8,24,7,8.0,0,45,17,15,10,10,3,0,52,0,0,-0.168,-1.7,0,6,3,29,TOR,0
180.0,0,31,0,5,0,0.0,4,13,36,0.161,0.278,0.161,0.439,135,101,-0.452,0.51,0.299,-0.7509999999999999,-4.8,24,8,8.0,1,57,25,19,8,10,3,0,50,2,0,-0.047,1.3,0,7,3,30,TOR,0
197.0,0,43,4,10,4,3.27,4,13,48,0.233,0.313,0.302,0.615,139,113,-0.016,1.76,1.249,-1.268,-1.9,33,13,11.0,1,68,20,25,11,19,7,0,78,0,0,0.516,2.9,0,1,3,31,TOR,1
163.0,1,29,1,2,0,0.0,7,9,36,0.069,0.25,0.103,0.353,134,77,-0.494,0.7,0.488,-0.981,-3.9,24,9,8.0,2,34,20,23,6,14,4,0,49,0,0,-0.006,1.3,0,2,4,1,NYY,0
161.0,1,37,3,11,3,3.0,1,12,38,0.297,0.316,0.4320000000000001,0.748,121,91,-0.021,1.09,1.029,-1.048,-1.9,27,6,9.0,0,45,21,25,15,10,4,0,63,1,0,0.523,3.9,0,3,4,2,NYY,1
157.0,0,29,2,3,2,2.0,3,8,33,0.103,0.182,0.241,0.423,136,80,-0.201,1.44,0.494,-0.695,-2.9,27,4,9.0,0,40,19,21,12,10,4,0,69,0,0,0.7,3.9,0,4,4,3,NYY,1
167.0,0,29,5,6,5,5.62,7,10,37,0.207,0.35100000000000003,0.31,0.662,126,84,0.196,1.36,0.861,-0.6659999999999999,0.5,27,6,9.0,1,46,15,23,5,15,5,0,58,0,0,0.303,1.0,1,5,4,4,KCR,1
165.0,0,33,7,10,6,6.75,6,3,40,0.303,0.425,0.485,0.91,128,85,0.594,0.98,1.3090000000000002,-0.715,2.5,27,7,9.0,3,52,10,23,12,18,7,0,60,1,1,-0.094,1.0,1,7,4,6,KCR,1
144.0,0,28,3,5,2,3.38,4,7,33,0.179,0.303,0.321,0.624,127,92,-0.023,1.2,0.504,-0.527,-1.5,27,7,9.0,0,54,14,24,8,13,7,0,70,0,0,0.522,4.0,1,1,4,7,KCR,1
152.0,0,36,2,8,2,1.0,1,8,37,0.222,0.243,0.306,0.5489999999999999,143,82,-0.189,0.44,0.5329999999999999,-0.722,-3.0,27,7,9.0,4,45,14,23,10,18,8,0,39,0,0,-0.309,-3.0,1,3,4,9,CLE,0
194.0,0,36,4,12,4,4.5,2,13,38,0.333,0.368,0.556,0.924,151,111,0.115,1.16,0.503,-0.387,-0.5,27,9,9.0,0,62,21,28,6,17,10,0,64,4,0,0.384,4.0,1,4,4,10,CLE,1
167.0,0,31,0,3,0,0.0,1,7,32,0.097,0.125,0.097,0.222,180,81,-0.439,0.64,0.195,-0.635,-5.0,27,7,9.0,1,44,14,23,11,13,7,0,37,0,0,-0.061,1.0,1,5,4,11,CLE,0
187.0,0,35,3,10,3,3.0,1,9,37,0.28600000000000003,0.297,0.457,0.754,143,106,-0.43,1.15,0.93,-1.361,-2.0,24,9,8.0,0,66,16,24,7,20,13,0,45,5,0,-0.07,0.4,0,7,4,13,MIN,0
199.0,0,35,4,8,4,4.0,4,13,41,0.229,0.341,0.371,0.713,143,118,-0.232,0.65,1.008,-1.24,-1.0,24,11,8.0,2,64,28,26,11,11,5,0,23,0,0,-0.267,-1.6,0,1,4,14,MIN,0
183.0,1,38,3,9,2,2.7,1,10,39,0.237,0.256,0.342,0.599,147,114,-0.284,1.17,1.086,-1.37,-2.6,30,10,10.0,2,64,21,29,9,19,10,0,59,0,0,-0.214,0.6,1,3,4,16,PIT,0
201.0,1,35,2,7,2,1.8,1,9,39,0.2,0.256,0.257,0.514,162,102,-0.603,1.7,0.604,-1.207,-3.6,30,14,10.0,0,67,19,16,15,12,5,0,69,5,1,0.102,2.6,1,4,4,17,PIT,0
190.0,0,34,9,14,8,10.12,1,4,40,0.412,0.45,0.5589999999999999,1.009,157,89,0.964,1.31,1.484,-0.52,4.5,27,9,9.0,3,55,14,20,12,20,10,0,46,3,1,-0.464,-2.0,1,5,4,18,CHW,1
170.0,1,32,3,7,3,3.0,3,8,35,0.219,0.28600000000000003,0.563,0.848,147,95,-0.317,0.93,0.31,-0.627,-2.0,27,9,9.0,1,57,16,22,8,16,7,0,41,2,1,-0.183,-2.0,1,6,4,19,CHW,0
169.0,0,32,4,9,4,3.38,0,9,32,0.281,0.281,0.531,0.813,145,89,0.01,1.06,0.406,-0.396,-0.5,27,6,9.0,0,56,15,18,5,18,5,0,68,2,2,0.49,2.0,1,1,4,21,CHW,1
175.0,0,36,7,12,7,7.0,5,12,41,0.333,0.415,0.611,1.026,112,120,0.329,1.09,1.127,-0.799,1.7,27,10,9.0,2,69,20,31,5,19,8,0,60,1,0,0.172,1.3,0,3,4,23,BOS,1
209.0,1,34,4,12,4,4.0,3,11,37,0.353,0.405,0.5,0.905,171,96,0.039,1.65,0.635,-0.594,-1.3,27,12,9.0,1,57,19,20,8,15,9,0,59,3,0,0.461,3.3,0,3,4,23,BOS,1
204.0,1,32,4,6,4,4.0,7,14,40,0.188,0.325,0.25,0.575,175,95,-0.391,0.49,0.312,-0.7020000000000001,-1.3,24,10,8.0,0,44,24,27,6,13,7,0,39,8,5,-0.109,-6.3,0,4,4,24,BOS,0
159.0,1,34,3,7,3,3.0,3,6,37,0.206,0.27,0.324,0.594,147,87,-0.109,0.71,0.491,-0.6,-2.3,24,11,8.0,1,52,18,17,9,19,6,0,28,0,0,-0.39,-2.3,0,5,4,25,BOS,0
242.0,1,40,11,15,11,11.0,7,12,48,0.375,0.458,0.8,1.258,166,130,0.353,1.28,1.116,-0.7609999999999999,6.1,26,9,8.2,4,81,25,24,16,13,8,0,34,2,1,-0.855,-7.2,0,6,4,26,CHW,0
178.0,0,29,1,2,1,0.0,4,20,33,0.069,0.182,0.103,0.285,141,87,-0.505,0.86,0.332,-0.836,-3.9,24,6,8.0,0,32,27,28,3,6,2,0,62,0,0,0.002,0.3,0,1,4,28,CHW,0
190.0,1,34,3,7,3,3.0,4,11,38,0.206,0.289,0.382,0.672,133,116,-0.046,1.37,0.552,-0.6,-1.9,27,11,9.0,0,73,19,24,13,10,4,0,65,0,0,0.547,3.9,0,3,4,30,PHI,1
196.0,1,38,3,12,3,3.0,3,11,41,0.316,0.366,0.421,0.787,131,107,-0.122,1.01,0.92,-1.04,-1.9,24,10,8.0,1,61,19,27,10,17,10,0,56,7,3,-0.379,-2.7,0,4,5,1,PHI,0
153.0,1,31,4,8,3,4.5,2,7,34,0.258,0.324,0.29,0.614,139,76,0.071,1.12,0.421,-0.35100000000000003,-0.5,27,7,9.0,1,47,8,21,7,17,11,0,67,0,0,0.43,2.0,1,6,5,3,KCR,1
180.0,0,35,3,8,3,3.0,2,6,37,0.229,0.27,0.4,0.67,188,91,-0.106,0.27,0.19,-0.29600000000000004,-2.0,27,13,9.0,2,50,19,22,17,12,4,0,19,6,0,-0.394,-10.0,1,7,5,4,KCR,0
194.0,0,37,5,9,5,4.66,5,12,42,0.243,0.333,0.405,0.7390000000000001,157,106,-0.046,1.5,1.159,-1.204,-0.5,30,10,10.0,1,51,28,27,14,11,6,0,67,0,0,0.545,3.6,1,1,5,5,KCR,1
179.0,1,32,2,5,2,2.0,1,11,33,0.156,0.182,0.25,0.4320000000000001,165,87,-0.418,0.7,0.305,-0.7240000000000001,-3.0,27,9,9.0,0,37,24,26,7,14,6,0,45,2,1,-0.081,0.0,1,3,5,7,LAA,0
173.0,1,34,10,10,9,10.12,3,8,39,0.294,0.359,0.5589999999999999,0.918,148,90,0.311,0.48,0.599,-0.28600000000000003,5.5,27,7,9.0,2,52,16,22,7,20,7,0,68,0,0,0.188,2.0,1,4,5,8,LAA,1
164.0,0,32,0,5,0,0.0,0,8,32,0.156,0.156,0.25,0.406,173,74,-0.16899999999999998,0.28,0.075,-0.244,-5.0,27,14,9.0,5,41,9,24,10,14,6,0,30,1,0,-0.331,-8.0,1,5,5,9,LAA,0
156.0,1,30,0,3,0,0.0,0,8,30,0.1,0.1,0.133,0.233,145,83,-0.302,0.58,0.05,-0.35200000000000004,-5.0,24,6,8.0,2,53,13,17,5,17,6,0,29,2,1,-0.197,-1.6,0,6,5,10,MIN,0
204.0,0,38,5,10,5,5.0,1,8,39,0.263,0.282,0.632,0.914,169,104,0.3,1.38,0.99,-0.6890000000000001,0.0,27,9,9.0,2,68,20,16,7,23,7,0,55,0,0,0.199,2.0,0,7,5,11,MIN,1
165.0,1,33,3,7,3,3.0,3,7,36,0.212,0.278,0.394,0.672,160,84,-0.08800000000000001,0.65,0.53,-0.621,-2.0,24,10,8.0,2,50,17,17,14,12,6,0,15,0,0,-0.411,-3.6,0,7,5,11,MIN,0
187.0,0,33,5,8,5,5.0,2,10,38,0.242,0.316,0.485,0.8009999999999999,162,95,0.076,1.34,0.448,-0.37,0.0,27,6,9.0,1,48,18,29,11,13,6,0,57,6,2,0.425,2.0,0,1,5,12,MIN,1
183.0,1,30,1,5,1,1.0,6,7,37,0.16699999999999998,0.297,0.2,0.4970000000000001,178,81,-0.35,0.46,0.4370000000000001,-0.7859999999999999,-4.0,27,13,9.0,4,47,15,19,11,13,5,0,40,0,0,-0.151,-3.0,1,2,5,13,HOU,0
169.0,1,31,4,7,4,4.0,4,9,36,0.226,0.306,0.419,0.725,169,90,-0.097,0.33,0.152,-0.245,-1.0,27,5,9.0,3,49,18,23,12,11,4,0,16,0,0,-0.405,-6.0,1,3,5,14,HOU,0
156.0,1,30,1,2,1,1.0,2,14,32,0.067,0.125,0.233,0.358,157,91,-0.377,0.76,0.226,-0.605,-4.0,27,13,9.0,1,39,27,25,6,10,2,0,43,0,0,-0.122,0.0,1,4,5,15,HOU,0
175.0,0,33,3,7,3,3.0,2,9,35,0.212,0.257,0.364,0.621,185,83,-0.17800000000000002,0.44,0.134,-0.312,-2.0,27,11,9.0,5,48,10,26,12,12,1,0,42,0,0,-0.32299999999999995,-12.0,1,5,5,16,OAK,0
148.0,1,31,2,4,2,2.0,0,11,32,0.129,0.156,0.226,0.382,149,77,-0.269,0.67,0.208,-0.478,-3.0,27,11,9.0,2,45,19,13,13,7,5,0,31,0,0,-0.23,-2.0,1,6,5,17,OAK,0
160.0,0,31,1,5,0,1.0,2,6,33,0.161,0.212,0.194,0.406,141,78,-0.438,0.67,0.332,-0.7709999999999999,-4.0,27,9,9.0,2,52,10,16,12,13,5,0,51,1,0,-0.062,1.0,1,7,5,18,OAK,0
139.0,0,20,3,4,2,4.5,3,3,24,0.2,0.292,0.45,0.742,128,51,-0.056,1.33,0.404,-0.461,-0.3,21,7,7.0,0,34,5,12,5,13,5,0,43,4,0,-0.209,-1.1,1,1,5,19,OAK,0
209.0,1,38,4,5,4,1.64,2,17,41,0.132,0.171,0.237,0.408,170,118,-0.34700000000000003,1.04,1.064,-1.411,-2.1,33,8,11.0,2,59,27,32,5,17,5,0,43,0,0,-0.153,1.1,1,3,5,21,MIA,0
181.0,1,35,3,10,3,2.0,2,7,38,0.28600000000000003,0.342,0.343,0.685,156,105,-0.162,0.95,0.58,-0.741,-2.0,27,16,9.0,2,69,20,16,17,11,4,0,57,2,1,-0.338,-1.0,1,4,5,22,MIA,0
178.0,0,33,2,11,2,2.0,1,8,35,0.333,0.343,0.394,0.737,143,90,-0.23,2.05,0.452,-0.6829999999999999,-3.0,27,9,9.0,1,58,14,18,11,15,11,0,68,1,0,-0.272,0.0,1,5,5,23,MIA,0
192.0,1,40,9,14,9,9.0,3,11,45,0.35,0.378,0.6,0.978,149,109,0.816,1.21,1.4880000000000002,-0.672,4.6,27,14,9.0,5,61,24,24,10,21,12,0,32,0,0,-0.317,-3.6,0,6,5,24,NYM,1
251.0,0,49,4,14,4,2.77,7,11,57,0.28600000000000003,0.368,0.3670000000000001,0.736,164,145,-0.525,1.67,1.771,-2.296,-2.4,36,13,12.0,3,82,22,41,19,20,6,0,62,0,0,0.027000000000000003,0.9,0,7,5,25,NYM,0
153.0,0,33,3,6,3,3.0,2,13,35,0.182,0.229,0.273,0.501,107,101,-0.384,1.07,0.8690000000000001,-1.255,-1.4,24,10,8.0,1,57,20,24,10,10,5,0,54,1,0,-0.116,-0.1,0,1,5,26,NYM,0
175.0,0,35,3,8,3,3.0,3,9,38,0.229,0.289,0.314,0.604,132,105,-0.345,0.81,0.784,-1.13,-1.9,24,11,8.0,2,67,17,21,6,20,8,0,47,1,0,-0.155,-0.7,0,2,5,27,BAL,0
180.0,1,35,3,8,3,3.0,2,9,37,0.229,0.27,0.457,0.727,160,86,-0.009000000000000001,1.13,0.425,-0.43,-1.9,27,8,9.0,0,44,20,22,10,16,5,0,67,4,0,0.507,4.9,0,3,5,28,BAL,1
155.0,1,32,4,6,4,4.0,1,11,34,0.188,0.212,0.406,0.618,131,95,0.168,1.0,1.042,-0.873,-0.9,27,9,9.0,1,57,21,17,6,16,6,0,52,0,0,0.331,2.9,0,4,5,29,BAL,1
172.0,1,39,8,11,8,7.0,3,15,42,0.282,0.333,0.667,1.0,127,101,0.266,0.82,0.669,-0.405,3.0,27,13,9.0,0,46,33,22,9,15,5,0,57,3,1,0.234,3.0,0,6,5,31,ATL,1
