duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
158.0,0,35,5,10,5,5.0,2,8,37,0.28600000000000003,0.324,0.629,0.953,124,92,0.215,0.83,0.585,-0.3720000000000001,0.1,27,9,9.0,1,50,17,26,8,19,8,0,75,0.0,0.0,0.28600000000000003,3.9,0,5,3,28,TBR,1
158.0,1,31,2,6,2,2.0,4,10,36,0.194,0.306,0.226,0.531,133,84,-0.395,0.85,0.569,-0.963,-2.9,24,3,8.0,1,39,14,31,11,10,5,0,62,0.0,0.0,-0.106,0.4,0,6,3,29,TBR,0
160.0,1,33,1,8,1,1.0,3,7,36,0.242,0.306,0.333,0.639,123,83,-0.551,0.99,0.441,-0.992,-3.9,24,8,8.0,0,46,14,23,14,12,7,0,61,0.0,0.0,0.049,1.4,0,7,3,30,TBR,0
132.0,0,28,1,3,1,1.0,1,6,29,0.107,0.138,0.214,0.35200000000000004,110,79,-0.482,0.8,0.239,-0.721,-3.9,24,10,8.0,1,46,13,20,11,11,4,0,48,0.0,0.0,-0.02,1.4,0,1,3,31,TBR,0
159.0,1,33,2,8,2,2.0,4,5,37,0.242,0.324,0.424,0.7490000000000001,113,90,-0.309,1.31,0.517,-0.8270000000000001,-3.5,27,9,9.0,1,49,13,28,11,17,6,0,71,0.0,0.0,0.809,4.5,0,2,4,1,TEX,1
203.0,1,34,4,12,4,4.0,5,5,42,0.353,0.439,0.412,0.851,152,98,-0.194,1.14,0.833,-1.027,-1.5,24,11,8.0,1,60,8,30,17,14,7,0,35,2.0,0.0,-0.305,-1.1,0,3,4,2,TEX,0
159.0,1,32,0,6,0,0.0,2,9,34,0.188,0.235,0.25,0.485,142,74,-0.477,0.56,0.299,-0.7759999999999999,-5.5,24,4,8.0,1,37,11,26,9,14,6,0,58,0.0,0.0,-0.023,0.9,0,4,4,3,TEX,0
183.0,1,32,3,9,3,3.38,4,9,36,0.281,0.361,0.406,0.767,137,95,-0.018000000000000002,1.44,0.59,-0.608,-1.4,27,11,9.0,0,55,18,22,12,11,6,0,63,0.0,0.0,0.518,2.9,1,6,4,5,OAK,1
167.0,1,34,6,11,6,6.75,2,4,36,0.324,0.361,0.6759999999999999,1.038,150,93,0.163,0.68,0.589,-0.425,1.6,27,11,9.0,0,52,11,30,11,19,6,0,63,2.0,0.0,0.338,4.9,1,7,4,6,OAK,1
219.0,0,38,9,14,9,9.35,8,8,47,0.368,0.468,0.579,1.047,148,109,0.795,1.0,1.97,-1.178,4.9,27,13,9.0,3,71,14,24,17,14,5,0,35,0.0,0.0,-0.29600000000000004,-3.1,1,1,4,7,OAK,1
179.0,1,30,4,7,4,4.5,4,7,34,0.233,0.324,0.4,0.7240000000000001,150,77,0.228,1.16,1.082,-0.8540000000000001,-0.4,27,7,9.0,1,42,12,23,14,9,5,0,50,0.0,0.0,0.271,1.9,1,2,4,8,NYY,1
195.0,1,33,6,11,6,6.75,5,10,40,0.333,0.4,0.545,0.945,131,97,0.344,1.21,1.267,-0.922,1.6,27,9,9.0,1,50,23,24,6,19,11,0,60,0.0,0.0,0.156,1.9,1,3,4,9,NYY,1
210.0,1,36,8,16,8,9.0,5,9,41,0.444,0.512,0.8059999999999999,1.318,168,103,0.397,1.21,0.826,-0.429,3.6,27,6,9.0,2,66,14,25,12,15,8,0,64,3.0,2.0,0.102,-1.1,1,4,4,10,NYY,1
202.0,1,42,10,16,10,10.0,3,9,45,0.381,0.422,0.69,1.113,157,105,0.596,0.95,1.2919999999999998,-0.696,5.3,27,5,9.0,1,60,18,27,12,21,8,0,39,2.0,0.0,-0.096,-1.3,0,6,4,12,SEA,1
166.0,1,32,3,6,3,3.0,1,8,34,0.188,0.235,0.406,0.642,155,83,-0.021,1.1,0.515,-0.536,-1.7,27,7,9.0,1,42,13,28,11,13,5,0,75,0.0,0.0,0.522,3.7,0,7,4,13,SEA,1
160.0,0,32,3,7,3,3.0,3,7,35,0.219,0.28600000000000003,0.344,0.629,144,77,-0.036000000000000004,1.08,0.8320000000000001,-0.8690000000000001,-1.7,27,6,9.0,1,43,9,25,8,17,8,0,67,0.0,0.0,0.536,2.7,0,1,4,14,SEA,1
183.0,1,35,9,9,9,9.0,8,7,46,0.257,0.413,0.514,0.927,141,101,0.325,0.27,0.5539999999999999,-0.227,4.3,27,8,9.0,0,58,13,30,5,24,8,0,71,2.0,0.0,0.175,3.7,0,3,4,16,OAK,1
149.0,1,31,1,4,1,1.0,3,10,35,0.129,0.229,0.129,0.358,120,91,-0.599,0.85,0.626,-1.227,-3.7,24,13,8.0,1,50,18,23,12,9,4,0,56,0.0,0.0,0.1,2.2,0,4,4,17,OAK,0
196.0,1,37,7,11,7,7.0,5,13,42,0.297,0.381,0.595,0.976,134,115,0.259,0.44,0.528,-0.269,1.5,27,5,9.0,2,55,24,36,12,12,8,0,72,1.0,0.0,0.241,3.5,0,6,4,19,TEX,1
171.0,1,36,4,11,4,4.0,1,4,38,0.306,0.342,0.583,0.925,165,79,-0.139,0.42,0.306,-0.445,-1.5,24,6,8.0,1,49,7,23,14,18,9,0,16,2.0,2.0,-0.362,-4.1,0,7,4,20,TEX,0
196.0,0,36,10,11,10,8.0,6,6,44,0.306,0.386,0.8059999999999999,1.192,134,102,-0.109,0.39,0.617,-0.726,4.5,24,4,8.0,2,61,16,25,9,23,12,0,6,3.0,1.0,-0.391,-6.1,0,1,4,21,TEX,0
205.0,1,37,5,11,5,5.0,3,3,41,0.297,0.366,0.486,0.852,154,103,-0.145,0.62,0.486,-0.632,0.1,27,11,9.0,2,61,11,31,14,20,9,0,42,0.0,0.0,-0.35600000000000004,-4.1,1,2,4,22,MIN,0
184.0,1,34,10,12,10,6.75,5,6,40,0.353,0.425,0.529,0.954,130,92,0.499,0.96,1.251,-0.7509999999999999,5.6,27,12,9.0,1,56,10,27,13,16,10,0,60,0.0,0.0,-0.0,0.9,1,3,4,23,MIN,1
148.0,1,32,7,10,6,7.88,3,3,35,0.312,0.371,0.6559999999999999,1.028,113,78,0.23,0.54,0.531,-0.301,2.6,27,4,9.0,1,47,8,23,16,13,5,0,78,0.0,0.0,0.271,3.9,1,4,4,24,MIN,1
160.0,1,27,1,4,1,1.0,6,4,33,0.14800000000000002,0.303,0.259,0.562,133,75,-0.754,0.85,0.496,-1.248,-3.9,27,10,9.0,2,41,7,27,10,13,6,0,70,0.0,0.0,0.252,2.9,1,5,4,25,CLE,0
199.0,1,36,3,9,3,3.0,4,12,41,0.25,0.325,0.333,0.6579999999999999,163,101,-0.33,0.91,0.807,-1.136,-1.9,27,6,9.0,4,60,16,25,7,18,9,0,56,1.0,0.0,-0.17,-1.1,1,6,4,26,CLE,0
192.0,0,32,4,5,4,4.0,4,12,36,0.156,0.25,0.375,0.625,150,90,0.057,1.53,0.996,-0.938,-0.9,30,6,10.0,0,48,15,27,8,12,7,0,66,2.0,2.0,0.442,2.5,1,7,4,27,CLE,1
168.0,1,29,4,6,4,4.5,4,8,34,0.207,0.303,0.345,0.648,144,68,0.146,1.06,0.768,-0.624,-0.4,27,12,9.0,1,40,11,17,8,14,5,0,54,1.0,0.0,0.355,3.9,1,1,4,28,CLE,1
151.0,1,31,0,5,0,0.0,2,9,33,0.161,0.212,0.161,0.373,116,77,-0.7809999999999999,0.78,0.336,-1.117,-5.0,24,8,8.0,1,40,16,21,5,17,5,0,69,0.0,0.0,0.279,3.4,0,2,4,29,MIN,0
198.0,1,42,11,15,10,10.0,5,8,50,0.35700000000000004,0.42,0.667,1.087,135,123,0.192,0.47,0.614,-0.424,6.0,27,5,9.0,0,77,13,33,15,21,10,0,83,0.0,0.0,0.309,5.0,0,3,4,30,MIN,1
148.0,1,33,2,7,2,2.0,2,8,35,0.212,0.257,0.273,0.53,129,81,-0.359,0.48,0.16699999999999998,-0.527,-3.0,24,9,8.0,1,43,9,29,9,16,8,0,47,0.0,0.0,-0.14,-1.6,0,4,5,1,MIN,0
152.0,0,34,2,8,2,2.0,0,7,36,0.235,0.25,0.353,0.603,126,89,-0.155,0.51,0.241,-0.396,-3.0,24,9,8.0,1,55,8,26,8,20,5,0,17,1.0,0.0,-0.345,-3.6,0,5,5,2,MIN,0
195.0,1,38,14,14,14,14.0,5,5,45,0.368,0.422,0.921,1.3430000000000002,148,106,0.35100000000000003,0.38,0.531,-0.17800000000000002,9.1,27,12,9.0,1,75,11,20,9,26,11,0,52,0.0,0.0,0.14800000000000002,2.9,0,7,5,4,LAA,1
184.0,0,38,10,13,10,10.0,3,5,42,0.342,0.405,0.684,1.089,127,86,0.442,0.77,0.985,-0.544,5.1,27,12,9.0,3,56,7,24,11,22,14,0,53,0.0,0.0,0.06,0.9,0,1,5,5,LAA,1
177.0,1,33,6,11,6,6.75,3,5,37,0.333,0.405,0.636,1.042,151,87,0.309,1.51,0.923,-0.614,1.6,27,9,9.0,2,44,18,25,13,15,9,0,52,3.0,0.0,0.191,0.9,1,2,5,6,KCR,1
165.0,1,31,2,7,2,2.0,3,8,35,0.226,0.314,0.387,0.701,152,79,-0.15,0.36,0.181,-0.331,-2.9,27,7,9.0,3,48,12,19,11,12,4,0,13,1.0,1.0,-0.349,-7.1,1,3,5,7,KCR,0
165.0,1,32,9,11,9,10.12,4,6,39,0.344,0.385,0.75,1.135,139,86,0.302,0.38,0.473,-0.171,4.6,27,3,9.0,0,47,13,26,12,17,5,0,82,0.0,0.0,0.198,4.9,1,4,5,8,KCR,1
178.0,1,30,4,9,4,4.5,6,9,37,0.3,0.405,0.4,0.805,144,100,0.085,1.45,0.835,-0.75,-0.4,27,13,9.0,1,51,19,30,10,12,6,0,65,0.0,0.0,0.417,2.9,1,5,5,9,TEX,1
149.0,1,29,3,6,3,3.38,2,8,31,0.207,0.258,0.552,0.81,124,74,-0.062,0.97,0.381,-0.443,-1.4,27,6,9.0,0,44,11,19,10,11,6,0,81,0.0,0.0,0.561,4.9,1,6,5,10,TEX,1
195.0,1,38,11,13,11,9.0,5,4,43,0.342,0.419,0.526,0.945,146,101,0.316,0.86,0.853,-0.5379999999999999,6.6,27,4,9.0,2,61,12,28,11,23,11,0,72,1.0,0.0,0.187,0.9,1,7,5,11,TEX,1
