duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
192.0,0,31,5,5,4,4.5,3,7,36,0.161,0.25,0.32299999999999995,0.573,136,91,0.046,1.01,0.477,-0.43,0.5,27,10,9.0,0,56,10,25,10,15,7,0,77,7.0,3.0,0.453,2.0,1,5,3,28,CHW,1
196.0,0,32,8,10,8,9.0,5,4,39,0.312,0.421,0.406,0.8270000000000001,154,91,0.334,1.12,0.753,-0.418,3.5,27,8,9.0,2,56,13,22,11,18,6,0,50,1.0,0.0,0.168,-1.0,1,7,3,30,CHW,1
177.0,0,33,3,6,3,3.0,1,9,34,0.182,0.206,0.242,0.448,155,87,-0.385,0.57,0.226,-0.609,-2.0,27,11,9.0,2,47,15,25,11,13,5,0,43,5.0,2.0,-0.117,-1.0,1,1,3,31,CHW,0
210.0,1,37,4,10,4,3.6,1,7,40,0.27,0.3,0.541,0.841,179,92,-0.21600000000000005,2.06,0.935,-1.148,-1.6,30,11,10.0,0,52,14,26,13,18,7,0,51,2.0,0.0,-0.285,0.6,1,3,4,2,MIN,0
212.0,0,36,6,9,6,5.0,3,5,39,0.25,0.308,0.389,0.6970000000000001,174,93,0.026,1.42,0.857,-0.8320000000000001,1.0,27,9,9.0,0,58,13,23,18,13,2,0,51,5.0,0.0,-0.527,-2.0,1,4,4,3,MIN,0
167.0,0,34,4,8,3,3.0,2,12,37,0.235,0.27,0.412,0.682,147,88,-0.304,1.31,0.67,-0.972,-1.0,24,5,8.0,0,46,19,23,9,14,6,0,53,3.0,2.0,-0.196,-0.5,0,5,4,4,DET,0
165.0,0,33,4,6,4,4.0,2,8,35,0.182,0.229,0.455,0.6829999999999999,146,83,0.094,1.37,0.7559999999999999,-0.662,-1.0,24,9,8.0,1,46,15,22,12,13,3,0,56,2.0,2.0,-0.593,-2.5,0,7,4,6,DET,0
144.0,0,31,1,7,1,1.0,2,10,33,0.226,0.273,0.258,0.531,146,83,-0.524,0.78,0.401,-0.924,-4.0,24,8,8.0,0,37,20,26,10,11,10,0,50,0.0,0.0,0.023,1.5,0,1,4,7,DET,0
197.0,1,37,5,10,5,5.0,3,9,41,0.27,0.341,0.324,0.6659999999999999,191,92,0.125,0.82,0.581,-0.456,-0.0,27,9,9.0,5,51,15,26,14,14,9,0,28,6.0,4.0,-0.627,-8.0,1,2,4,8,SEA,0
197.0,1,33,3,8,3,2.0,3,6,38,0.242,0.289,0.394,0.6829999999999999,171,93,-0.278,0.87,0.616,-0.895,-2.0,27,6,9.0,1,57,10,26,15,14,7,0,35,2.0,0.0,-0.223,-1.0,1,3,4,9,SEA,0
197.0,1,35,5,10,5,5.0,4,5,39,0.28600000000000003,0.359,0.5710000000000001,0.93,176,85,-0.13,1.23,1.17,-1.3,-0.0,27,9,9.0,1,55,5,25,12,18,7,0,27,3.0,2.0,-0.369,-1.0,1,4,4,10,SEA,0
207.0,0,40,6,8,6,5.4,4,14,46,0.2,0.304,0.525,0.8290000000000001,171,108,-0.132,1.41,0.6920000000000001,-0.823,0.4,30,13,10.0,2,50,27,31,8,18,8,0,61,1.0,1.0,-0.368,-1.4,1,5,4,11,SEA,0
190.0,1,35,8,13,7,7.88,5,9,42,0.371,0.452,0.629,1.081,154,97,0.35600000000000004,0.48,0.468,-0.112,3.5,27,6,9.0,1,59,16,22,11,16,11,0,69,1.0,0.0,0.145,4.0,1,6,4,12,CLE,1
146.0,1,29,3,7,3,3.38,1,5,31,0.241,0.267,0.379,0.6459999999999999,134,79,-0.023,0.91,0.3670000000000001,-0.389,-1.5,27,12,9.0,0,54,11,14,13,12,5,0,77,0.0,0.0,0.523,5.0,1,7,4,13,CLE,1
207.0,0,34,9,11,9,10.12,8,6,42,0.324,0.452,0.588,1.041,159,113,0.636,1.26,1.371,-0.7340000000000001,4.9,27,10,9.0,1,68,18,27,12,16,3,0,40,3.0,3.0,-0.136,-3.0,1,1,4,14,CLE,1
182.0,1,29,4,6,4,4.0,7,6,37,0.207,0.35100000000000003,0.517,0.8690000000000001,136,84,-0.084,1.31,0.8140000000000001,-0.898,-0.9,24,9,8.0,1,46,15,23,9,15,3,0,46,0.0,0.0,-0.417,-0.7,0,2,4,15,CHW,0
159.0,1,30,1,5,1,1.0,3,7,33,0.16699999999999998,0.242,0.267,0.509,133,94,-0.342,0.76,0.318,-0.66,-3.9,24,8,8.0,4,55,14,25,8,15,5,0,48,0.0,0.0,-0.157,-0.7,0,3,4,16,CHW,0
244.0,0,36,4,7,4,1.8,7,11,44,0.194,0.341,0.278,0.619,183,104,0.087,2.17,1.226,-1.139,-1.4,30,17,10.0,1,54,20,30,12,13,3,0,50,6.0,1.0,0.412,2.4,0,4,4,17,CHW,1
186.0,1,36,6,11,6,6.0,1,14,39,0.306,0.308,0.556,0.863,142,114,0.14300000000000002,0.84,0.518,-0.375,1.1,27,7,9.0,0,60,28,26,7,17,9,0,67,0.0,0.0,0.359,3.9,0,5,4,18,NYY,1
171.0,1,31,2,5,2,1.0,6,11,37,0.161,0.297,0.226,0.523,128,89,-0.235,0.62,0.639,-0.8759999999999999,-2.9,24,16,8.0,2,44,14,31,13,7,1,0,38,2.0,0.0,-0.264,-1.7,0,6,4,19,NYY,0
180.0,0,31,2,6,2,2.0,4,8,35,0.194,0.28600000000000003,0.484,0.77,173,82,-0.241,0.39,0.215,-0.456,-2.9,24,5,8.0,4,41,14,27,11,12,7,0,25,0.0,0.0,-0.258,-4.7,0,7,4,20,NYY,0
209.0,0,39,6,10,6,5.4,3,20,42,0.256,0.31,0.462,0.7709999999999999,167,115,0.052000000000000005,1.19,1.286,-1.235,0.6,28,7,9.1,1,58,25,32,7,12,2,0,48,2.0,1.0,-0.551,-2.8,0,1,4,21,NYY,0
157.0,1,32,3,6,3,3.0,3,7,35,0.188,0.257,0.469,0.726,138,84,-0.152,1.24,0.486,-0.636,-1.9,24,9,8.0,2,49,13,22,7,18,5,0,39,1.0,0.0,-0.349,-1.6,0,2,4,22,TBR,0
174.0,1,33,2,6,1,2.0,2,10,36,0.182,0.25,0.364,0.614,149,96,-0.302,0.52,0.241,-0.542,-2.9,24,8,8.0,1,46,24,26,13,10,2,0,27,3.0,2.0,-0.196,-0.6,0,3,4,23,TBR,0
186.0,0,37,10,14,9,9.0,5,7,43,0.378,0.442,0.6759999999999999,1.118,136,101,0.31,0.6,0.763,-0.455,5.1,27,10,9.0,0,59,15,28,12,19,10,0,59,1.0,0.0,0.192,2.9,0,4,4,24,TBR,1
186.0,1,27,1,5,1,1.0,3,8,31,0.185,0.258,0.259,0.517,167,79,-0.399,0.95,0.221,-0.621,-4.0,27,17,9.0,2,47,7,26,11,9,4,0,43,2.0,0.0,-0.1,0.0,1,6,4,26,LAA,0
220.0,1,38,9,15,9,10.12,4,7,42,0.395,0.452,0.5529999999999999,1.005,170,108,0.415,0.81,0.789,-0.375,4.5,27,8,9.0,0,58,17,33,12,19,12,0,32,5.0,1.0,0.086,1.0,1,7,4,27,LAA,1
