duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
138.0,0,28,0,3,0,0.0,4,3,33,0.107,0.242,0.14300000000000002,0.385,103,72,-0.385,0.56,0.242,-0.626,-4.7,24,5,8.0,2,43,10,19,6,19,4,0,46,0,0,-0.115,0.2,0,5,3,28,OAK,0
172.0,1,35,6,10,6,6.0,4,3,39,0.28600000000000003,0.359,0.343,0.7020000000000001,139,85,0.313,1.05,1.018,-0.7040000000000001,1.3,27,10,9.0,1,50,12,23,13,19,5,0,54,0,0,0.187,2.7,0,6,3,29,OAK,1
162.0,1,33,2,6,2,1.0,2,7,36,0.182,0.222,0.242,0.465,123,87,-0.3670000000000001,0.56,0.425,-0.792,-2.7,24,7,8.0,1,45,13,29,15,12,5,0,39,2,0,-0.134,0.2,0,7,3,30,OAK,0
160.0,0,29,1,3,1,1.0,1,8,31,0.103,0.161,0.276,0.4370000000000001,146,76,-0.639,0.9,0.429,-1.067,-3.7,24,6,8.0,1,43,10,23,13,8,2,0,47,1,1,0.139,2.2,0,1,3,31,OAK,0
200.0,1,35,3,8,3,1.0,1,5,37,0.229,0.27,0.257,0.527,158,88,-0.273,0.87,0.56,-0.833,-1.7,24,10,8.0,1,51,7,30,14,16,8,0,32,5,0,-0.227,-1.8,0,2,4,1,SEA,0
136.0,1,31,1,4,1,1.0,1,4,32,0.129,0.156,0.161,0.318,110,75,-0.568,1.15,0.413,-0.981,-3.7,24,9,8.0,1,44,4,27,14,13,5,0,67,0,0,0.068,2.2,0,3,4,2,SEA,0
229.0,1,35,4,8,4,3.0,7,9,42,0.229,0.35700000000000004,0.429,0.7859999999999999,188,110,-0.087,0.38,0.408,-0.495,-0.9,27,9,9.0,2,56,17,37,11,15,7,0,13,2,2,-0.414,-6.1,1,5,4,4,TEX,0
172.0,1,29,3,6,3,3.38,1,7,30,0.207,0.233,0.448,0.682,155,75,-0.057,1.29,0.516,-0.573,-1.4,27,7,9.0,1,36,8,31,9,13,5,0,57,1,0,0.556,3.9,1,6,4,5,TEX,1
202.0,0,33,5,10,5,5.62,5,7,40,0.303,0.425,0.545,0.97,146,104,0.14400000000000002,0.86,0.732,-0.591,0.6,27,9,9.0,0,60,12,32,10,16,8,0,63,0,0,0.35700000000000004,3.9,1,7,4,6,TEX,1
210.0,0,32,7,9,7,7.88,6,5,40,0.281,0.425,0.469,0.894,158,103,0.302,1.1,0.6940000000000001,-0.393,2.6,27,11,9.0,1,57,12,34,9,18,8,0,43,6,0,0.198,2.9,1,1,4,7,TEX,1
160.0,1,27,5,5,5,5.62,5,2,32,0.185,0.313,0.519,0.831,137,74,0.084,1.18,0.657,-0.574,0.6,27,5,9.0,1,44,5,25,10,15,5,0,61,0,0,0.417,2.9,1,2,4,8,MIL,1
230.0,1,35,11,12,11,12.38,6,8,42,0.343,0.429,0.5710000000000001,1.0,165,99,0.62,1.04,1.253,-0.631,6.6,27,7,9.0,3,54,10,35,16,12,6,0,28,1,1,-0.119,-3.1,1,3,4,9,MIL,1
180.0,1,28,4,5,3,4.5,1,10,30,0.179,0.233,0.214,0.448,145,82,0.14800000000000002,1.21,0.443,-0.29600000000000004,-0.4,27,10,9.0,0,40,14,28,7,11,7,0,54,1,0,0.353,2.9,1,4,4,10,MIL,1
149.0,0,31,1,4,1,1.0,0,6,31,0.129,0.129,0.258,0.387,138,81,-0.294,0.38,0.15,-0.444,-3.9,24,6,8.0,4,41,9,31,14,11,5,0,39,2,0,-0.207,-0.6,0,6,4,12,CHC,0
236.0,0,33,6,9,5,5.0,8,5,43,0.273,0.405,0.303,0.708,179,106,0.228,1.67,0.74,-0.513,1.1,27,8,9.0,0,53,12,41,10,19,10,0,47,3,0,0.272,-0.1,0,7,4,13,CHC,1
206.0,1,33,7,8,7,7.0,8,1,44,0.242,0.386,0.485,0.871,188,93,0.023,0.75,0.465,-0.44,1.5,24,11,8.0,3,58,4,31,13,21,8,0,36,2,0,-0.524,-7.1,0,2,4,15,TEX,0
