duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
169.0,0,35,12,12,12,13.5,3,3,39,0.343,0.395,1.057,1.452,125,92,0.29600000000000004,0.31,0.422,-0.127,7.9,27,8,9.0,2,59,9,24,9,24,7,0,68,0.0,0.0,0.203,-0.4,1,5,3,28,ARI,1
365.0,1,45,4,11,4,2.77,12,14,60,0.244,0.414,0.333,0.747,232,148,-0.609,1.71,1.243,-1.853,-2.6,39,15,13.0,1,80,26,44,15,18,11,0,66,2.0,2.0,0.111,1.6,1,6,3,29,ARI,0
194.0,1,41,18,19,18,19.12,6,4,51,0.463,0.56,0.8290000000000001,1.389,146,108,0.392,0.38,0.652,-0.261,13.9,27,10,9.0,4,65,12,31,8,30,16,0,56,1.0,0.0,0.109,-0.4,1,7,3,30,ARI,1
209.0,0,32,8,8,7,5.62,6,8,41,0.25,0.366,0.406,0.772,160,105,0.722,1.01,1.461,-0.737,3.9,27,7,9.0,1,64,14,27,12,14,7,0,28,2.0,2.0,-0.223,-2.4,1,1,3,31,ARI,1
179.0,1,32,2,7,2,2.0,2,8,34,0.219,0.265,0.406,0.6709999999999999,145,87,-0.313,1.12,0.512,-0.825,-2.6,27,6,9.0,1,44,12,31,11,13,6,0,68,3.0,2.0,-0.187,0.6,1,2,4,1,SFG,0
170.0,1,30,6,7,6,1.12,3,5,34,0.233,0.294,0.3670000000000001,0.6609999999999999,131,79,0.251,1.15,0.573,-0.322,1.9,27,12,9.0,1,45,10,24,12,14,6,0,62,2.0,2.0,0.248,-0.4,1,3,4,2,SFG,1
179.0,1,31,5,7,5,5.62,5,10,36,0.226,0.333,0.452,0.785,115,100,0.294,0.99,1.016,-0.722,0.9,27,11,9.0,2,53,14,33,9,12,3,0,51,0.0,0.0,0.207,1.6,1,4,4,3,SFG,1
232.0,0,37,10,13,10,9.0,6,5,45,0.35100000000000003,0.4320000000000001,0.703,1.135,174,102,0.289,0.79,0.675,-0.388,4.3,27,10,9.0,3,62,11,29,11,23,12,0,55,1.0,0.0,0.211,-0.3,0,6,4,5,COL,1
199.0,1,31,7,11,7,7.0,3,9,39,0.355,0.395,0.613,1.008,149,85,0.139,0.99,0.6509999999999999,-0.511,1.3,27,7,9.0,1,48,13,27,12,14,7,0,59,5.0,1.0,0.361,3.7,0,7,4,6,COL,1
232.0,1,35,12,12,9,10.0,10,4,48,0.343,0.478,0.657,1.135,156,110,0.412,0.63,0.77,-0.358,6.3,27,8,9.0,0,66,17,27,17,17,8,0,39,3.0,2.0,0.09,-0.3,0,1,4,7,COL,1
161.0,1,30,3,5,3,3.0,3,5,36,0.16699999999999998,0.306,0.233,0.539,111,75,-0.38,0.99,0.75,-1.131,-1.7,24,10,8.0,1,43,12,20,10,15,3,0,43,1.0,1.0,-0.12,0.2,0,2,4,8,STL,0
197.0,1,32,0,7,0,0.0,8,11,40,0.219,0.375,0.281,0.6559999999999999,145,104,-0.36,0.52,0.448,-0.8059999999999999,-4.7,24,4,8.0,1,39,25,40,10,11,6,0,45,0.0,0.0,-0.142,0.2,0,3,4,9,STL,0
172.0,1,31,2,5,2,2.0,1,11,33,0.161,0.212,0.355,0.5670000000000001,118,100,-0.295,0.63,0.274,-0.5710000000000001,-2.7,24,11,8.0,2,63,13,24,5,15,4,0,38,0.0,0.0,-0.204,-2.8,0,4,4,10,STL,0
192.0,0,35,7,10,7,7.0,1,11,39,0.28600000000000003,0.308,0.629,0.936,174,113,0.35200000000000004,1.29,0.792,-0.44,2.3,24,5,8.0,0,57,20,36,9,17,11,0,35,0.0,0.0,-0.851,-6.8,0,5,4,11,STL,0
234.0,1,37,5,12,5,5.0,4,6,43,0.324,0.39,0.649,1.039,152,109,0.016,0.88,1.228,-1.214,0.4,27,7,9.0,2,73,13,23,13,20,7,0,36,1.0,0.0,-0.515,-3.4,1,6,4,12,MIL,0
174.0,1,32,1,8,1,1.0,0,6,32,0.25,0.25,0.344,0.594,153,76,-0.37,0.82,0.359,-0.7290000000000001,-3.6,27,11,9.0,2,42,11,23,16,10,7,0,46,4.0,0.0,-0.131,0.6,1,7,4,13,MIL,0
154.0,0,35,7,11,7,7.88,5,8,40,0.314,0.4,0.5429999999999999,0.943,109,81,0.31,0.32,0.445,-0.136,2.9,27,7,9.0,0,47,13,21,8,19,8,0,72,0.0,0.0,0.192,3.6,1,1,4,14,MIL,1
169.0,1,29,4,5,4,4.5,6,10,37,0.172,0.333,0.31,0.644,121,83,0.479,1.26,1.484,-1.006,-0.1,27,14,9.0,1,40,21,22,14,6,4,0,65,0.0,0.0,0.024,1.6,1,2,4,15,CIN,1
171.0,1,35,6,13,6,6.75,1,5,36,0.371,0.389,0.5429999999999999,0.932,131,94,0.212,0.74,0.496,-0.28300000000000003,1.9,27,9,9.0,0,61,10,23,16,14,8,0,64,0.0,0.0,0.28800000000000003,3.6,1,3,4,16,CIN,1
157.0,0,27,3,3,3,3.38,2,11,29,0.111,0.172,0.222,0.395,127,73,-0.001,1.2,0.479,-0.48,-1.1,27,4,9.0,0,32,14,27,8,8,3,0,72,3.0,1.0,0.5,2.6,1,4,4,17,CIN,1
182.0,1,30,3,6,3,3.0,4,5,35,0.2,0.294,0.5,0.794,143,96,-0.009000000000000001,0.92,0.5579999999999999,-0.568,-1.9,27,3,9.0,1,57,5,34,13,13,7,0,77,1.0,0.0,0.51,3.9,0,5,4,18,MIL,1
227.0,1,32,5,7,5,5.0,9,10,42,0.219,0.381,0.344,0.725,160,108,0.128,1.06,1.142,-1.015,0.1,27,7,9.0,2,60,14,34,9,14,7,0,53,4.0,0.0,0.371,1.9,0,6,4,19,MIL,1
171.0,1,29,0,2,0,0.0,5,8,34,0.069,0.206,0.069,0.275,125,96,-0.472,0.67,0.102,-0.575,-4.9,24,5,8.0,3,53,11,32,12,9,1,0,57,2.0,0.0,-0.028,-0.7,0,7,4,20,MIL,0
193.0,0,36,6,10,6,6.0,5,12,41,0.278,0.366,0.583,0.949,146,104,0.472,1.17,0.904,-0.431,1.1,27,7,9.0,2,56,19,29,11,13,6,0,63,2.0,2.0,0.029,-0.1,0,1,4,21,MIL,1
176.0,1,33,2,7,2,2.0,2,11,36,0.212,0.257,0.273,0.53,131,94,-0.183,0.46,0.187,-0.37,-2.9,24,10,8.0,2,48,15,31,13,10,6,0,26,0.0,0.0,-0.317,-2.6,0,3,4,23,CHC,0
168.0,1,31,6,6,6,6.0,7,10,38,0.194,0.342,0.387,0.7290000000000001,130,101,-0.101,0.82,0.7929999999999999,-0.893,1.1,24,10,8.0,2,51,20,30,10,11,4,0,48,0.0,0.0,-0.398,-2.6,0,4,4,24,CHC,0
188.0,0,30,2,4,1,2.0,3,10,35,0.133,0.229,0.233,0.462,143,90,-0.199,1.38,0.425,-0.622,-2.9,27,10,9.0,1,48,19,23,11,10,6,0,59,1.0,0.0,0.698,3.9,0,5,4,25,CHC,1
172.0,1,31,6,9,6,6.75,5,10,37,0.29,0.389,0.516,0.905,119,99,0.358,0.73,0.598,-0.239,1.9,27,11,9.0,1,54,16,29,9,13,6,0,63,1.0,0.0,0.142,2.6,1,6,4,26,PIT,1
178.0,1,29,3,6,3,1.12,2,7,33,0.207,0.273,0.276,0.5489999999999999,139,80,0.099,1.4,0.831,-0.731,-1.1,27,9,9.0,0,46,11,23,14,9,3,0,73,3.0,0.0,0.401,3.6,1,7,4,27,PIT,1
187.0,0,32,7,10,7,6.75,2,7,36,0.312,0.343,0.5,0.843,152,102,0.476,1.51,1.114,-0.642,2.9,27,6,9.0,2,65,13,24,8,19,8,0,56,0.0,0.0,0.026,-1.4,1,1,4,28,PIT,1
194.0,1,34,2,9,2,2.0,3,4,37,0.265,0.324,0.294,0.618,125,102,-0.353,1.55,0.7070000000000001,-1.06,-2.5,24,8,8.0,0,64,11,27,11,19,9,0,54,4.0,3.0,-0.145,1.0,0,2,4,29,SFG,0
165.0,1,37,10,10,10,10.0,5,6,42,0.27,0.35700000000000004,0.568,0.925,142,97,0.338,0.63,0.636,-0.298,5.5,27,11,9.0,0,56,6,35,12,19,7,0,49,1.0,0.0,0.16399999999999998,1.5,0,3,4,30,SFG,1
181.0,1,34,1,6,1,1.0,2,12,36,0.17600000000000002,0.222,0.206,0.428,123,111,-0.535,1.36,0.767,-1.3019999999999998,-3.5,26,11,8.2,0,65,21,25,8,14,5,0,76,2.0,1.0,0.035,2.1,0,4,5,1,SFG,0
193.0,1,35,4,9,4,4.0,2,13,38,0.257,0.289,0.486,0.775,142,105,0.163,1.22,1.139,-0.977,-0.6,27,11,9.0,2,53,17,35,8,15,6,0,53,0.0,0.0,0.338,1.6,0,6,5,3,SDP,1
