duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
175.0,0,32,3,4,3,3.0,1,7,34,0.125,0.17600000000000002,0.406,0.583,149,84,-0.258,0.62,0.101,-0.36,-1.6,27,7,9.0,1,56,9,19,14,11,3,0,25,1.0,0.0,-0.242,-1.4,1,5,3,28,COL,0
184.0,1,27,1,2,1,1.0,3,9,31,0.07400000000000001,0.194,0.185,0.379,147,85,-0.458,0.88,0.284,-0.742,-3.6,27,8,9.0,0,42,19,24,13,5,1,0,62,2.0,2.0,-0.04,-1.4,1,6,3,29,COL,0
180.0,1,38,7,16,7,7.88,1,3,40,0.421,0.425,0.526,0.951,147,98,0.36,1.07,0.83,-0.47,2.9,27,1,9.0,0,64,12,22,13,23,14,0,53,2.0,1.0,0.141,1.6,1,7,3,30,COL,1
152.0,0,28,3,5,3,3.38,2,11,31,0.179,0.258,0.28600000000000003,0.544,112,78,0.01,1.01,0.413,-0.403,-1.1,27,13,9.0,0,40,18,20,10,7,4,0,80,2.0,0.0,0.49,4.6,1,1,3,31,COL,1
190.0,1,35,3,9,3,1.0,1,7,36,0.257,0.278,0.343,0.621,166,92,-0.162,1.47,0.77,-0.935,-1.6,27,6,9.0,2,50,21,21,12,16,8,0,58,0.0,0.0,-0.338,-2.4,1,2,4,1,NYM,0
203.0,1,41,5,16,5,5.0,2,5,46,0.39,0.444,0.561,1.005,167,90,-0.279,0.69,1.048,-1.328,0.4,27,12,9.0,0,59,8,23,14,23,14,0,31,0.0,0.0,-0.222,-1.4,1,3,4,2,NYM,0
187.0,1,34,4,7,4,4.0,3,15,37,0.206,0.27,0.294,0.564,159,109,-0.36,0.48,0.209,-0.5670000000000001,-0.6,27,5,9.0,1,58,31,20,4,15,8,0,54,0.0,0.0,-0.142,-1.4,1,4,4,3,NYM,0
155.0,1,27,0,3,0,0.0,4,10,31,0.111,0.226,0.14800000000000002,0.374,137,76,-0.376,0.51,0.238,-0.613,-5.0,24,6,8.0,2,39,18,19,6,11,4,0,41,0.0,0.0,-0.125,0.4,0,6,4,5,ATL,0
196.0,1,32,4,8,4,4.0,3,7,35,0.25,0.314,0.531,0.846,170,80,0.057,1.6,1.048,-0.991,-1.0,27,11,9.0,0,48,9,23,13,12,3,0,41,0.0,0.0,0.443,3.0,0,7,4,6,ATL,1
153.0,0,33,3,7,3,3.0,2,4,35,0.212,0.257,0.333,0.59,124,85,-0.239,1.11,0.921,-1.161,-2.0,24,6,8.0,2,55,7,23,14,15,4,0,57,0.0,0.0,-0.261,-1.4,0,1,4,7,ATL,0
167.0,1,29,0,4,0,0.0,2,12,31,0.138,0.194,0.207,0.4,176,79,-0.295,0.51,0.142,-0.4370000000000001,-4.9,24,8,8.0,5,34,25,22,8,9,5,0,36,0.0,0.0,-0.206,-9.6,0,3,4,9,CIN,0
167.0,1,29,1,3,1,1.0,5,14,34,0.103,0.235,0.207,0.442,138,94,-0.503,1.2,0.345,-0.85,-3.9,24,8,8.0,2,43,27,24,8,7,2,0,72,0.0,0.0,0.004,2.4,0,4,4,10,CIN,0
171.0,0,29,0,5,0,0.0,3,10,32,0.172,0.25,0.172,0.422,148,86,-0.395,0.74,0.153,-0.547,-4.9,24,10,8.0,1,43,11,32,11,8,3,0,38,1.0,0.0,-0.105,-0.6,0,5,4,11,CIN,0
166.0,1,29,1,5,1,1.0,2,9,33,0.172,0.242,0.207,0.449,150,90,-0.198,0.54,0.135,-0.332,-3.6,27,7,9.0,1,51,11,28,8,13,8,0,25,0.0,0.0,-0.304,-4.4,1,6,4,12,PHI,0
181.0,1,40,10,18,10,11.25,0,7,41,0.45,0.439,0.75,1.189,158,100,0.303,0.34,0.516,-0.214,5.9,27,7,9.0,0,54,16,30,11,23,8,0,73,0.0,0.0,0.197,1.6,1,7,4,13,PHI,1
278.0,0,45,1,5,1,0.64,5,18,50,0.111,0.2,0.17800000000000002,0.378,231,122,-1.1740000000000002,1.97,0.612,-1.785,-6.1,42,16,14.0,2,57,31,34,10,17,6,0,66,1.0,0.0,0.674,4.1,1,1,4,14,PHI,0
207.0,1,32,2,6,1,2.0,5,13,38,0.188,0.316,0.281,0.597,159,89,-0.194,0.76,0.396,-0.59,-2.6,27,9,9.0,1,39,21,29,12,7,3,0,35,3.0,0.0,-0.306,-2.4,1,2,4,15,CHC,0
169.0,1,33,0,7,0,0.0,1,7,34,0.212,0.235,0.242,0.478,155,78,-0.515,0.77,0.265,-0.7809999999999999,-4.6,27,11,9.0,1,33,16,29,14,12,7,0,54,0.0,0.0,0.016,0.6,1,3,4,16,CHC,0
145.0,1,31,0,5,0,0.0,0,11,31,0.161,0.161,0.194,0.355,125,86,-0.246,0.44,0.119,-0.365,-4.6,27,11,9.0,1,45,19,22,14,6,5,0,44,0.0,0.0,-0.254,-1.4,1,4,4,17,CHC,0
172.0,1,32,3,6,3,3.38,4,8,37,0.188,0.297,0.219,0.516,132,78,-0.008,1.31,0.679,-0.687,-1.1,27,10,9.0,1,43,14,21,12,12,6,0,66,1.0,0.0,0.508,2.6,1,6,4,19,WSN,1
192.0,1,35,9,11,7,9.0,4,12,41,0.314,0.39,0.514,0.905,138,104,0.447,0.89,0.87,-0.423,4.9,27,12,9.0,0,52,21,31,8,16,9,0,49,0.0,0.0,0.053,1.6,1,7,4,20,WSN,1
165.0,0,29,0,3,0,0.0,4,13,33,0.103,0.212,0.103,0.316,134,84,-0.485,0.67,0.118,-0.604,-4.6,27,8,9.0,3,31,23,30,11,5,2,0,54,3.0,1.0,-0.015,-0.4,1,1,4,21,WSN,0
162.0,1,35,3,9,3,3.0,1,8,37,0.257,0.27,0.4,0.67,118,92,-0.045,1.26,0.472,-0.519,-2.1,27,11,9.0,0,47,17,28,13,15,9,0,71,2.0,1.0,0.547,4.1,0,3,4,23,CLE,1
173.0,0,31,2,5,2,2.0,2,7,34,0.161,0.206,0.29,0.496,149,88,-0.275,1.08,0.477,-0.752,-3.1,24,6,8.0,1,50,9,29,17,8,4,0,51,4.0,2.0,-0.226,-1.4,0,4,4,24,CLE,0
215.0,1,37,3,12,3,2.7,2,7,42,0.324,0.375,0.459,0.8340000000000001,145,106,-0.206,1.24,1.036,-1.243,-2.4,30,5,10.0,1,62,16,30,14,18,10,0,69,1.0,0.0,0.705,4.4,0,5,4,25,PHI,1
167.0,1,31,0,5,0,0.0,2,7,33,0.161,0.212,0.194,0.406,151,86,-0.527,0.55,0.253,-0.78,-4.9,24,15,8.0,3,51,13,22,8,16,6,0,62,2.0,0.0,0.027000000000000003,0.3,0,6,4,26,PHI,0
