duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
156.0,0,30,5,7,5,5.62,2,5,32,0.233,0.281,0.5329999999999999,0.815,145,83,0.171,1.21,0.598,-0.4270000000000001,0.7,27,5,9.0,3,46,9,28,14,11,3,0,55,1,0,0.327,0.9,1,5,3,28,STL,1
221.0,1,31,5,8,5,5.0,2,8,35,0.258,0.314,0.484,0.7979999999999999,190,92,0.0,0.97,0.672,-0.67,0.1,27,8,9.0,3,48,19,25,10,14,7,0,31,2,1,-0.501,-4.1,1,6,3,29,STL,0
187.0,1,33,4,8,4,3.38,5,9,38,0.242,0.342,0.515,0.857,145,81,0.11,1.17,0.564,-0.456,-0.3,27,2,9.0,0,45,14,22,10,14,6,0,51,1,0,0.391,2.9,1,7,3,30,STL,1
174.0,0,32,5,9,5,5.62,6,9,38,0.281,0.395,0.469,0.863,140,92,0.54,0.78,1.4409999999999998,-0.901,1.3,27,7,9.0,3,54,12,26,14,9,2,0,50,0,0,-0.04,0.9,1,1,3,31,STL,1
211.0,1,36,4,11,4,4.0,5,9,41,0.306,0.39,0.417,0.807,155,103,0.118,1.84,0.921,-0.8009999999999999,-0.9,27,12,9.0,0,55,23,25,9,18,12,0,53,0,0,0.382,1.9,0,2,4,1,CIN,1
187.0,1,33,4,7,4,4.0,7,11,40,0.212,0.35,0.333,0.6829999999999999,141,94,0.046,1.72,0.792,-0.7440000000000001,-0.9,27,3,9.0,1,45,22,27,7,15,7,0,57,5,1,0.455,1.9,0,3,4,2,CIN,1
153.0,0,28,1,2,1,1.0,5,10,34,0.071,0.235,0.107,0.342,125,78,-0.378,1.78,0.33,-0.7070000000000001,-3.9,27,1,9.0,0,27,21,30,10,8,1,0,89,0,0,0.877,4.9,0,4,4,3,CIN,1
216.0,1,36,13,15,13,14.62,5,8,42,0.417,0.488,0.889,1.3769999999999998,168,110,0.418,0.5,0.594,-0.17800000000000002,8.7,27,10,9.0,3,65,19,26,14,14,10,0,40,0,0,0.083,-5.1,1,6,4,5,CHC,1
234.0,1,35,8,10,8,8.0,3,7,41,0.28600000000000003,0.333,0.6,0.933,203,113,-0.013,0.52,0.551,-0.5660000000000001,3.1,27,11,9.0,4,65,17,31,18,12,5,0,30,4,4,-0.486,-9.1,1,7,4,6,CHC,0
184.0,0,34,4,10,4,4.5,4,10,39,0.294,0.359,0.382,0.741,145,87,0.099,1.11,0.43,-0.332,-0.3,27,10,9.0,1,47,17,23,11,14,6,0,54,2,0,0.402,2.9,1,1,4,7,CHC,1
160.0,1,32,2,6,2,2.0,1,10,34,0.188,0.235,0.281,0.517,125,85,-0.417,0.81,0.464,-0.883,-2.9,24,12,8.0,3,48,15,22,7,15,5,0,53,0,0,-0.084,-0.6,0,2,4,8,LAA,0
230.0,1,36,8,10,8,8.0,3,11,41,0.278,0.35,0.611,0.961,174,108,0.12,1.16,0.981,-0.861,3.1,24,8,8.0,2,54,25,29,10,15,7,0,20,3,1,-0.62,-6.6,0,3,4,9,LAA,0
180.0,1,32,2,7,2,1.0,3,5,37,0.219,0.324,0.25,0.574,126,92,-0.353,0.68,0.5489999999999999,-0.901,-2.9,24,9,8.0,0,48,16,28,9,18,11,0,54,1,0,-0.146,0.4,0,4,4,10,LAA,0
234.0,1,38,8,12,8,7.0,2,7,42,0.316,0.35700000000000004,0.5,0.857,175,97,0.515,1.53,1.135,-0.62,3.4,27,8,9.0,3,55,18,24,13,19,8,0,26,2,0,-0.015,-0.4,0,6,4,12,LAD,1
174.0,1,35,4,9,4,4.0,5,10,41,0.257,0.366,0.457,0.823,123,100,0.13,1.07,0.605,-0.477,-0.6,27,14,9.0,1,59,15,26,12,13,7,0,63,0,0,0.369,3.6,0,7,4,13,LAD,1
154.0,0,29,1,4,1,1.0,2,5,32,0.138,0.188,0.207,0.394,144,71,-0.193,0.35,0.063,-0.256,-3.6,24,6,8.0,2,41,13,17,10,15,6,0,21,1,0,-0.308,-2.9,0,1,4,14,LAD,0
231.0,1,36,10,13,10,11.25,7,9,43,0.361,0.465,0.75,1.215,156,102,0.6859999999999999,1.2,1.054,-0.3670000000000001,5.7,27,5,9.0,3,58,19,25,11,16,9,0,40,5,3,-0.18600000000000005,-2.1,1,2,4,15,STL,1
193.0,1,36,8,12,8,9.0,3,14,39,0.333,0.385,0.639,1.024,145,107,0.272,0.49,0.5479999999999999,-0.277,3.7,27,5,9.0,1,48,32,27,10,12,6,0,51,2,0,0.229,0.9,1,3,4,16,STL,1
175.0,0,32,3,7,3,3.0,2,10,34,0.219,0.265,0.406,0.6709999999999999,160,78,-0.292,0.57,0.366,-0.6579999999999999,-1.9,27,11,9.0,2,40,13,25,9,13,4,0,23,2,0,-0.21,-1.1,1,4,4,17,STL,0
182.0,1,31,1,5,1,1.0,2,12,33,0.161,0.212,0.258,0.47,164,91,-0.511,0.83,0.18600000000000005,-0.6970000000000001,-3.9,27,13,9.0,2,46,26,19,5,14,6,0,60,0,0,0.009000000000000001,1.9,1,5,4,18,LAD,0
227.0,1,32,3,7,3,3.0,4,14,37,0.219,0.324,0.406,0.731,185,97,-0.371,1.54,0.477,-0.848,-1.9,27,6,9.0,1,42,21,34,10,8,1,0,51,4,0,-0.129,-0.1,1,6,4,19,LAD,0
171.0,1,32,5,8,5,5.62,2,11,34,0.25,0.294,0.594,0.888,155,85,0.029,0.72,0.472,-0.445,0.7,27,8,9.0,0,39,23,23,6,15,4,0,68,0,0,0.472,4.9,1,7,4,20,LAD,1
193.0,0,32,5,6,5,5.0,4,11,37,0.188,0.297,0.438,0.735,161,94,-0.029,0.64,0.838,-0.866,0.1,27,7,9.0,3,50,21,23,10,11,3,0,38,0,0,-0.472,-1.1,1,1,4,21,LAD,0
192.0,1,33,5,5,5,5.0,1,14,34,0.152,0.17600000000000002,0.515,0.6920000000000001,179,94,-0.014,0.69,0.459,-0.472,0.3,24,9,8.0,2,43,22,29,7,12,5,0,26,2,2,-0.487,-8.8,0,2,4,22,STL,0
180.0,1,31,3,5,3,3.0,4,12,35,0.161,0.257,0.452,0.7090000000000001,157,100,-0.343,0.97,0.632,-0.976,-1.7,24,9,8.0,1,51,21,28,6,13,3,0,45,1,0,-0.158,0.2,0,3,4,23,STL,0
171.0,0,30,2,5,2,2.0,3,8,34,0.16699999999999998,0.265,0.3,0.565,145,89,-0.279,0.6,0.29100000000000004,-0.5710000000000001,-2.7,24,9,8.0,2,49,13,27,8,14,4,0,38,0,0,-0.219,-0.8,0,4,4,24,STL,0
200.0,1,37,10,10,10,10.0,6,14,45,0.27,0.4,0.378,0.778,150,112,0.3670000000000001,0.35,0.753,-0.385,5.6,27,7,9.0,0,60,22,30,10,13,9,0,47,2,0,0.132,2.4,0,6,4,26,NYM,1
237.0,1,38,8,14,7,8.0,6,11,44,0.368,0.455,0.5529999999999999,1.007,164,109,0.447,1.35,0.932,-0.483,3.6,27,9,9.0,2,64,19,26,14,13,7,0,56,3,1,0.051,-1.6,0,7,4,27,NYM,1
172.0,0,30,2,5,2,2.0,0,8,30,0.16699999999999998,0.16699999999999998,0.267,0.433,157,80,-0.249,0.98,0.463,-0.7120000000000001,-2.4,24,10,8.0,0,42,9,29,12,10,3,0,48,5,1,-0.252,-1.1,0,1,4,28,NYM,0
158.0,1,32,5,8,5,5.62,2,4,34,0.25,0.294,0.469,0.763,136,70,0.251,0.6,0.414,-0.165,0.7,27,12,9.0,0,40,8,22,11,17,8,0,59,2,0,0.25,3.9,1,2,4,29,COL,1
142.0,1,29,4,6,3,4.5,0,7,29,0.207,0.207,0.345,0.552,141,72,-0.009000000000000001,0.89,0.388,-0.397,-0.3,27,6,9.0,1,37,15,20,16,6,3,0,66,1,1,0.508,1.9,1,3,4,30,COL,1
224.0,1,33,4,8,4,4.0,8,7,41,0.242,0.39,0.364,0.754,172,109,-0.002,0.99,0.841,-0.845,-0.9,27,11,9.0,3,64,17,28,14,12,6,0,37,0,0,-0.499,-6.1,1,4,5,1,COL,0
204.0,0,37,6,10,6,6.0,3,14,40,0.27,0.325,0.405,0.73,162,104,-0.039,0.4,0.243,-0.28,1.1,27,11,9.0,3,49,30,25,9,14,7,0,16,0,0,-0.462,-6.1,1,5,5,2,COL,0
181.0,1,33,3,10,3,3.38,2,4,35,0.303,0.343,0.545,0.888,154,89,0.006,1.37,0.617,-0.613,-1.3,27,11,9.0,0,53,9,27,14,15,5,0,56,0,0,0.493,3.9,1,6,5,3,NYM,1
322.0,1,62,4,11,4,2.08,7,18,69,0.177,0.261,0.226,0.487,253,162,-0.68,1.66,1.9,-2.58,-4.8,54,27,18.0,1,85,36,41,19,25,8,0,65,2,0,1.179,6.7,1,7,5,4,NYM,1
159.0,0,27,3,5,3,3.38,1,8,30,0.185,0.233,0.407,0.6409999999999999,136,71,-0.026,1.17,0.422,-0.447,-1.3,27,10,9.0,1,40,14,17,6,14,5,0,63,0,0,0.526,2.9,1,1,5,5,NYM,1
213.0,1,36,5,11,4,3.38,3,13,41,0.306,0.35,0.389,0.7390000000000001,170,107,0.253,1.27,1.172,-0.923,0.7,27,9,9.0,2,65,21,21,15,9,3,0,54,0,0,0.25,1.9,1,2,5,6,WSN,1
180.0,1,31,6,8,6,6.75,5,12,37,0.258,0.378,0.29,0.669,134,86,0.033,1.12,0.7040000000000001,-0.6709999999999999,1.7,27,8,9.0,0,39,25,22,10,9,4,0,55,0,0,0.467,4.9,1,3,5,7,WSN,1
204.0,0,36,7,11,7,4.5,6,7,42,0.306,0.405,0.611,1.016,160,100,0.326,0.55,0.493,-0.168,2.7,27,1,9.0,0,59,15,26,13,16,5,0,69,3,0,0.175,1.9,1,4,5,8,WSN,1
198.0,0,33,7,8,7,6.0,7,8,42,0.242,0.35700000000000004,0.394,0.7509999999999999,148,91,0.027000000000000003,1.09,0.518,-0.49,2.1,27,15,9.0,0,49,18,24,16,11,6,0,65,5,0,0.473,4.9,0,6,5,10,CHC,1
296.0,0,43,1,4,1,0.6,9,17,52,0.093,0.25,0.18600000000000005,0.436,229,151,-1.449,2.17,0.8759999999999999,-2.325,-7.2,43,16,14.1,1,78,20,53,13,13,5,0,61,4,0,0.95,5.9,0,7,5,11,CHC,0
175.0,1,35,1,9,1,0.0,2,7,37,0.257,0.297,0.28600000000000003,0.583,130,91,-0.441,0.95,0.5920000000000001,-1.033,-3.9,24,9,8.0,1,61,10,20,15,13,8,0,57,0,0,-0.059,0.4,0,1,5,12,CHC,0
237.0,1,38,4,12,4,4.0,8,9,46,0.316,0.435,0.526,0.961,148,128,-0.073,1.28,0.884,-0.958,-0.9,24,7,8.0,1,72,22,34,10,19,9,0,47,2,1,-0.4270000000000001,-2.7,0,2,5,13,PHI,0
191.0,1,36,6,12,6,6.0,5,5,41,0.333,0.415,0.528,0.942,150,106,0.245,0.63,0.495,-0.255,1.1,27,7,9.0,0,62,14,30,9,22,8,0,70,0,0,0.257,3.9,0,3,5,14,PHI,1
200.0,1,33,5,7,4,4.0,7,9,43,0.212,0.381,0.212,0.593,136,106,0.203,0.93,0.698,-0.494,0.1,27,9,9.0,1,59,18,29,17,8,5,0,52,2,0,0.29600000000000004,2.9,0,4,5,15,PHI,1
198.0,0,39,11,13,11,11.0,7,14,50,0.333,0.46,0.718,1.178,129,120,0.397,0.86,1.008,-0.612,6.1,27,11,9.0,1,52,32,38,9,17,6,0,60,0,0,0.103,1.9,0,5,5,16,PHI,1
205.0,1,37,8,10,8,4.0,5,8,42,0.27,0.35700000000000004,0.378,0.736,183,95,-0.314,0.47,0.123,-0.438,3.0,24,8,8.0,4,51,15,29,16,13,7,0,41,0,0,-0.188,-7.6,0,6,5,17,ATL,0
214.0,1,38,3,8,3,2.7,4,10,43,0.211,0.302,0.316,0.618,149,106,-0.316,1.28,1.145,-1.461,-2.6,27,8,9.0,2,59,18,29,20,8,5,0,55,2,1,-0.18600000000000005,1.0,0,7,5,18,ATL,0
164.0,0,37,3,9,3,2.7,0,6,37,0.243,0.243,0.486,0.73,117,86,-0.156,1.34,0.88,-1.035,-2.6,30,9,10.0,2,54,15,19,12,19,10,0,70,0,0,0.655,3.6,0,1,5,19,ATL,1
159.0,1,30,0,6,0,0.0,5,14,35,0.2,0.314,0.233,0.5479999999999999,147,86,-0.478,0.52,0.375,-0.8540000000000001,-4.9,27,12,9.0,0,38,23,25,10,6,4,0,50,0,0,-0.021,1.9,1,3,5,21,CIN,0
