duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
138.0,0,28,2,4,2,2.25,1,6,31,0.14300000000000002,0.226,0.214,0.44,111,64,-0.123,1.0,0.445,-0.5720000000000001,-2.4,27,4,9.0,0,31,17,16,5,17,5,0,84,1,0,0.625,5.0,1,5,3,28,CLE,1
180.0,0,28,1,2,1,1.0,3,10,32,0.071,0.188,0.179,0.366,141,87,-0.6679999999999999,1.47,0.598,-1.265,-4.0,27,5,9.0,1,42,21,24,4,14,3,0,75,1,0,0.16699999999999998,3.0,1,7,3,30,CLE,0
159.0,0,35,9,15,7,9.0,2,7,39,0.429,0.462,0.6859999999999999,1.147,155,75,0.214,0.47,0.5710000000000001,-0.35700000000000004,4.6,27,6,9.0,0,45,16,14,8,21,11,0,64,1,0,0.285,2.0,1,1,3,31,CLE,1
210.0,1,41,5,12,5,4.5,6,10,49,0.293,0.408,0.366,0.774,136,100,0.285,1.42,1.877,-1.589,-0.6,30,12,10.0,2,61,17,24,15,16,5,0,55,2,0,0.21600000000000005,1.6,0,3,4,2,KCR,1
212.0,0,34,7,11,7,7.0,5,10,42,0.324,0.429,0.471,0.899,159,102,0.526,1.13,1.372,-0.8440000000000001,2.0,27,12,9.0,1,57,22,23,7,18,13,0,26,2,0,-0.028,-1.0,0,4,4,3,KCR,1
211.0,1,38,4,11,4,3.0,1,10,39,0.289,0.308,0.526,0.8340000000000001,192,95,-0.079,0.55,0.529,-0.607,-0.9,24,10,8.0,0,54,16,25,14,14,8,0,28,5,3,-0.421,-5.7,0,6,4,5,PHI,0
170.0,0,33,6,7,5,6.0,5,1,39,0.212,0.333,0.485,0.818,136,79,0.07200000000000001,1.59,0.667,-0.594,1.1,27,10,9.0,1,53,9,17,12,20,8,0,55,1,1,0.429,2.9,0,7,4,6,PHI,1
167.0,0,33,1,7,1,1.0,0,7,33,0.212,0.212,0.303,0.515,133,88,-0.615,1.0,0.25,-0.865,-3.9,24,8,8.0,1,50,17,21,10,16,8,0,64,2,0,0.112,2.3,0,1,4,7,PHI,0
248.0,1,43,14,17,12,11.0,2,7,46,0.395,0.422,0.93,1.352,219,117,0.478,0.82,0.792,-0.314,9.6,27,8,9.0,4,74,18,29,14,23,11,0,43,4,0,0.022,-3.6,0,3,4,9,NYM,1
195.0,1,34,6,9,5,6.0,1,10,36,0.265,0.28600000000000003,0.471,0.7559999999999999,162,97,-0.174,1.01,0.28300000000000003,-0.457,1.6,24,8,8.0,0,55,23,19,17,8,4,0,49,6,6,-0.327,-5.1,0,4,4,10,NYM,0
187.0,0,26,4,5,4,4.5,7,7,34,0.192,0.353,0.192,0.545,149,84,0.07,1.8,0.662,-0.591,-0.4,27,5,9.0,1,45,12,28,10,10,4,0,49,0,0,0.431,2.0,1,7,4,13,DET,1
199.0,0,35,6,14,6,6.75,2,4,37,0.4,0.4320000000000001,0.7140000000000001,1.147,179,89,0.268,1.75,0.6629999999999999,-0.395,1.6,27,7,9.0,1,56,11,22,13,18,7,0,64,6,1,0.233,1.0,1,1,4,14,DET,1
180.0,1,32,3,5,3,3.0,4,8,36,0.156,0.25,0.281,0.531,144,81,-0.15,1.12,0.495,-0.645,-2.0,27,11,9.0,1,44,20,17,12,12,5,0,57,0,0,-0.348,-0.0,1,2,4,15,TOR,0
186.0,1,30,5,6,5,5.0,6,6,36,0.2,0.333,0.5329999999999999,0.867,159,74,-0.105,1.32,0.953,-1.058,0.0,27,13,9.0,0,36,13,25,13,11,6,0,45,5,4,-0.392,-1.0,1,3,4,16,TOR,0
177.0,1,31,4,9,3,4.5,4,6,35,0.29,0.371,0.387,0.759,141,86,0.121,0.99,0.509,-0.388,-0.4,27,7,9.0,0,54,9,23,7,18,10,0,58,1,0,0.379,4.0,1,4,4,17,TOR,1
180.0,0,35,4,8,4,4.0,3,9,38,0.229,0.289,0.429,0.718,143,87,-0.13,0.79,0.565,-0.693,-1.0,27,7,9.0,3,57,12,18,6,20,7,0,23,1,0,-0.37,-2.0,1,5,4,18,TOR,0
196.0,1,36,6,9,6,6.0,3,9,40,0.25,0.325,0.611,0.936,151,98,0.279,1.71,0.8590000000000001,-0.579,1.1,27,7,9.0,3,60,18,20,6,21,7,0,42,0,0,0.223,-0.1,0,7,4,20,BAL,1
170.0,1,46,16,19,16,16.0,0,5,46,0.413,0.413,1.043,1.457,142,109,0.401,0.15,0.528,-0.128,11.1,27,14,9.0,3,78,12,19,13,28,14,0,45,0,0,0.098,-2.1,0,7,4,20,BAL,1
188.0,0,35,4,9,4,2.0,3,5,40,0.257,0.325,0.343,0.6679999999999999,152,86,0.038,2.23,0.573,-0.537,-0.9,27,6,9.0,0,54,17,15,9,22,12,0,60,2,0,0.462,1.9,0,1,4,21,BAL,1
205.0,1,37,9,12,9,8.0,5,5,42,0.324,0.405,0.568,0.972,166,95,0.355,0.8,0.769,-0.415,4.1,27,9,9.0,2,64,13,18,15,17,8,0,47,1,0,0.145,-0.1,0,2,4,22,HOU,1
184.0,1,33,4,6,4,4.0,1,9,34,0.182,0.206,0.333,0.539,152,85,0.0,1.29,0.5870000000000001,-0.5870000000000001,-0.9,24,9,8.0,1,47,14,24,14,10,3,0,38,5,1,-0.5,-5.6,0,3,4,23,HOU,0
148.0,1,31,1,4,1,1.0,1,10,32,0.129,0.156,0.258,0.414,131,78,-0.27,0.47,0.14,-0.411,-3.9,24,16,8.0,3,47,15,16,5,16,9,0,34,0,0,-0.23,-2.6,0,4,4,24,HOU,0
187.0,1,35,6,10,5,5.62,1,5,36,0.28600000000000003,0.306,0.7140000000000001,1.02,163,94,0.25,0.56,0.452,-0.202,1.6,27,8,9.0,0,60,13,21,15,15,4,0,60,3,0,0.25,4.0,1,6,4,26,BAL,1
204.0,0,34,9,10,9,9.0,3,5,39,0.294,0.359,0.765,1.124,146,111,0.262,1.01,0.778,-0.516,4.6,27,3,9.0,0,68,18,25,4,26,11,0,58,0,0,0.239,3.0,1,7,4,27,BAL,1
162.0,0,29,4,6,4,4.5,5,12,35,0.207,0.343,0.483,0.826,131,87,0.136,0.71,0.482,-0.345,-0.4,27,15,9.0,1,39,23,25,4,13,3,0,73,0,0,0.363,4.0,1,1,4,28,BAL,1
151.0,1,26,1,3,1,1.12,2,7,29,0.115,0.179,0.308,0.486,117,78,-0.281,1.44,0.242,-0.522,-3.4,27,4,9.0,0,44,15,18,10,9,3,0,75,0,0,0.78,5.0,1,2,4,29,HOU,1
198.0,1,29,0,3,0,0.0,5,12,34,0.103,0.235,0.138,0.373,200,86,-0.307,0.57,0.11,-0.417,-5.0,27,7,9.0,3,48,18,20,6,11,2,0,30,3,3,-0.191,-6.0,1,3,4,30,HOU,0
148.0,1,30,6,7,6,6.75,1,4,33,0.233,0.273,0.433,0.706,120,82,0.14,0.63,0.374,-0.233,1.6,27,5,9.0,0,52,10,20,14,13,3,0,79,0,0,0.359,3.0,1,4,5,1,HOU,1
152.0,0,33,8,10,8,9.0,3,8,37,0.303,0.35100000000000003,0.636,0.988,123,83,0.34600000000000003,0.53,0.594,-0.248,3.6,27,5,9.0,1,52,15,16,11,15,8,0,60,0,0,0.154,3.0,1,5,5,2,HOU,1
188.0,1,30,3,4,3,2.0,4,8,35,0.133,0.229,0.233,0.462,145,99,-0.271,0.77,0.399,-0.6709999999999999,-1.9,24,9,8.0,2,56,20,23,11,12,5,0,42,0,0,-0.228,-1.7,0,6,5,3,NYY,0
186.0,0,39,7,12,6,6.0,2,5,42,0.308,0.35700000000000004,0.564,0.921,153,83,0.17800000000000002,0.87,0.585,-0.409,2.1,27,11,9.0,1,50,12,21,11,23,9,0,72,1,0,0.322,1.9,0,7,5,4,NYY,1
173.0,0,28,1,4,1,1.12,4,10,33,0.14300000000000002,0.273,0.179,0.451,147,84,-0.313,0.76,0.321,-0.634,-3.3,21,1,7.0,1,44,16,24,4,14,7,0,46,0,0,-0.17,-1.1,0,1,5,5,NYY,0
172.0,1,36,8,12,8,7.0,3,5,41,0.333,0.39,0.6940000000000001,1.085,125,98,0.267,0.43,0.48,-0.21,3.2,27,8,9.0,0,65,10,23,16,16,6,0,80,0,0,0.232,4.8,0,2,5,6,TOR,1
150.0,1,34,3,8,3,3.0,3,7,37,0.235,0.297,0.353,0.65,119,82,-0.031,1.04,0.537,-0.5660000000000001,-1.8,27,6,9.0,0,45,22,15,14,13,5,0,74,0,0,0.531,4.8,0,3,5,7,TOR,1
186.0,1,44,9,18,9,9.0,3,12,48,0.409,0.438,0.705,1.142,128,125,0.35600000000000004,0.28,0.585,-0.228,4.2,27,9,9.0,1,69,20,36,8,25,10,0,74,0,0,0.145,3.8,0,4,5,8,TOR,1
156.0,1,30,6,7,6,6.75,7,5,38,0.233,0.395,0.467,0.861,119,84,0.199,0.48,0.493,-0.294,1.6,27,3,9.0,0,53,10,21,10,15,6,0,80,0,0,0.302,5.0,1,6,5,10,DET,1
