duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
164.0,0,31,2,5,2,2.0,3,12,34,0.161,0.235,0.258,0.493,139,93,-0.227,1.38,0.31,-0.537,-3.1,27,5,9.0,0,49,22,23,8,11,6,0,71,0.0,0.0,0.725,5.1,0,5,3,28,WSN,1
230.0,0,40,11,14,10,11.0,5,11,46,0.35,0.422,0.5,0.922,181,116,0.428,0.93,0.99,-0.5579999999999999,5.9,27,9,9.0,1,59,29,28,15,15,12,0,49,4.0,0.0,0.07200000000000001,-2.9,0,7,3,30,WSN,1
195.0,0,39,5,13,4,5.0,2,8,41,0.333,0.366,0.385,0.75,165,93,-0.052000000000000005,0.87,0.979,-1.032,-0.1,25,8,8.1,2,51,23,19,10,21,11,0,45,3.0,0.0,-0.447,-1.2,0,1,3,31,WSN,0
190.0,1,36,7,10,6,7.0,2,16,40,0.278,0.35,0.5,0.85,135,100,0.338,1.33,1.369,-1.03,2.4,27,10,9.0,1,47,35,18,7,13,4,0,51,2.0,0.0,0.162,1.6,0,2,4,1,MIA,1
203.0,1,38,6,9,6,6.0,5,7,44,0.237,0.341,0.263,0.604,145,102,0.222,1.65,0.556,-0.335,1.4,27,9,9.0,1,64,17,21,18,13,6,0,44,3.0,1.0,0.278,-0.4,0,3,4,2,MIA,1
187.0,1,38,6,10,6,4.0,3,10,41,0.263,0.317,0.474,0.7909999999999999,164,104,0.142,0.72,0.489,-0.349,1.4,27,3,9.0,0,57,21,26,8,20,9,0,84,3.0,2.0,0.359,0.6,0,4,4,3,MIA,1
199.0,0,32,0,4,0,0.0,2,14,34,0.125,0.17600000000000002,0.125,0.301,167,93,-0.5579999999999999,0.63,0.272,-0.833,-4.4,27,7,9.0,1,48,22,23,11,7,2,0,66,1.0,1.0,0.059,0.4,1,5,4,4,WSN,0
193.0,0,32,6,11,6,6.75,2,10,35,0.344,0.4,0.875,1.275,179,80,0.768,1.42,1.405,-0.638,2.1,27,11,9.0,2,42,15,24,6,16,9,0,67,2.0,1.0,-0.267,-0.6,1,7,4,6,WSN,1
222.0,0,36,9,11,9,9.0,2,11,42,0.306,0.405,0.556,0.96,198,110,-0.133,0.5,0.265,-0.398,4.6,27,9,9.0,1,52,28,30,7,18,10,0,23,3.0,1.0,-0.3670000000000001,-7.6,1,1,4,7,WSN,0
248.0,1,38,8,11,8,8.0,7,8,45,0.289,0.4,0.684,1.084,186,126,-0.022,0.48,0.6829999999999999,-0.7040000000000001,3.6,27,10,9.0,6,74,26,26,12,18,6,0,24,0.0,0.0,-0.477,-9.6,1,3,4,9,MIN,0
