duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
186.0,0,29,7,9,6,7.88,8,8,39,0.31,0.462,0.552,1.013,135,92,0.262,0.52,0.475,-0.214,2.7,27,9,9.0,0,49,8,35,9,13,4,0,56,1.0,0.0,0.24,2.9,1,5,3,28,BAL,1
204.0,0,35,3,10,3,3.0,6,9,41,0.28600000000000003,0.39,0.4,0.79,140,103,-0.43,1.03,0.647,-1.077,-1.9,27,9,9.0,0,58,21,24,14,12,5,0,59,1.0,0.0,-0.069,-0.1,1,7,3,30,BAL,0
228.0,0,37,5,9,5,5.0,8,14,46,0.243,0.391,0.35100000000000003,0.743,181,140,-0.141,0.64,0.996,-1.136,0.1,27,10,9.0,3,68,33,39,12,11,3,0,38,1.0,1.0,-0.36,-2.1,1,1,3,31,BAL,0
163.0,1,29,3,5,2,2.25,4,8,33,0.172,0.273,0.414,0.687,137,81,0.006999999999999999,1.34,0.435,-0.428,-1.3,27,4,9.0,0,42,13,26,12,9,3,0,65,0.0,0.0,0.494,3.9,1,2,4,1,DET,1
161.0,1,31,1,6,1,1.0,1,8,34,0.19399999999999998,0.235,0.226,0.461,123,87,-0.521,1.3,0.272,-0.792,-3.9,27,10,9.0,0,45,12,30,8,16,3,0,61,1.0,0.0,0.021,1.9,1,3,4,2,DET,0
157.0,0,31,1,5,1,1.0,4,18,35,0.161,0.257,0.19399999999999998,0.451,128,85,-0.7,1.16,0.395,-1.095,-3.9,27,13,9.0,1,32,30,24,3,10,6,0,57,0.0,0.0,0.19899999999999998,2.9,1,4,4,3,DET,0
207.0,0,37,8,12,8,8.0,3,7,41,0.324,0.39,0.6759999999999999,1.0659999999999998,164,106,0.295,1.17,1.035,-0.741,3.1,27,10,9.0,1,59,20,27,15,15,6,0,43,1.0,0.0,0.207,0.9,0,5,4,4,BAL,1
222.0,1,35,6,11,6,6.0,3,7,39,0.314,0.385,0.629,1.013,183,114,0.491,1.77,1.237,-0.747,1.1,27,6,9.0,1,65,21,28,14,14,5,0,48,5.0,3.0,0.008,0.9,0,7,4,6,BAL,1
185.0,0,40,15,15,15,15.0,9,3,50,0.375,0.5,1.0,1.5,148,108,0.243,0.37,0.531,-0.28800000000000003,10.1,27,14,9.0,0,70,13,25,12,25,6,0,61,2.0,2.0,0.256,1.9,0,1,4,7,BAL,1
179.0,1,35,3,8,3,3.0,3,8,38,0.22899999999999998,0.289,0.34299999999999997,0.632,124,95,-0.276,1.51,0.573,-0.847,-2.0,24,11,8.0,1,60,12,23,9,18,9,0,63,1.0,0.0,-0.225,0.4,0,2,4,8,HOU,0
195.0,1,31,3,5,3,3.0,3,9,34,0.161,0.235,0.29,0.526,163,84,-0.162,1.43,0.643,-0.805,-2.0,24,4,8.0,1,51,16,17,10,12,5,0,46,4.0,1.0,-0.33799999999999997,-1.6,0,3,4,9,HOU,0
210.0,1,35,6,10,6,6.0,3,13,40,0.28600000000000003,0.325,0.514,0.8390000000000001,172,112,-0.105,0.62,0.794,-0.9,1.0,24,7,8.0,3,61,26,25,7,17,11,0,28,4.0,1.0,-0.39399999999999996,-3.6,0,4,4,10,HOU,0
163.0,1,24,6,7,6,6.0,4,7,30,0.292,0.4,0.45799999999999996,0.858,137,77,0.292,1.03,0.8759999999999999,-0.586,2.8,19,3,6.1,4,46,12,19,5,13,8,0,23,1.0,1.0,-0.6709999999999999,-5.5,1,6,4,12,CHW,0
148.0,0,29,4,7,4,2.25,1,7,32,0.24100000000000002,0.258,0.345,0.603,105,85,-0.022000000000000002,0.8,0.488,-0.509,-0.3,27,9,9.0,0,51,16,18,12,12,8,0,68,0.0,0.0,0.521,4.9,1,7,4,13,CHW,1
201.0,0,31,2,4,2,2.0,2,7,33,0.129,0.182,0.161,0.34299999999999997,173,99,-0.27899999999999997,0.77,0.335,-0.615,-2.9,27,8,9.0,1,61,10,28,9,15,9,0,31,3.0,1.0,-0.222,-0.1,1,1,4,14,CHW,0
143.0,1,34,8,11,8,9.0,2,7,38,0.324,0.37799999999999995,0.6759999999999999,1.055,124,87,0.20199999999999999,0.6,0.489,-0.28800000000000003,3.7,27,8,9.0,0,51,16,20,13,15,7,0,89,0.0,0.0,0.298,4.9,1,3,4,16,BOS,1
176.0,1,30,5,5,5,4.5,3,10,33,0.16699999999999998,0.242,0.33299999999999996,0.5760000000000001,122,90,0.342,0.9,1.055,-0.7120000000000001,0.7,27,8,9.0,2,45,17,28,10,10,4,0,52,1.0,0.0,0.158,1.9,1,4,4,17,BOS,1
186.0,1,30,1,4,1,1.0,3,10,34,0.133,0.20600000000000002,0.133,0.33899999999999997,170,90,-0.359,0.55,0.247,-0.606,-3.9,27,7,9.0,2,48,13,29,9,12,5,0,57,2.0,1.0,-0.142,-1.1,1,5,4,18,KCR,0
171.0,1,28,6,8,4,5.62,5,3,35,0.28600000000000003,0.4,0.5710000000000001,0.971,151,77,0.264,1.05,0.609,-0.34299999999999997,1.7,27,10,9.0,0,44,7,26,15,11,5,0,60,0.0,0.0,0.235,2.9,1,6,4,19,KCR,1
180.0,0,38,9,14,9,10.12,4,7,42,0.368,0.429,0.763,1.192,132,102,0.258,0.53,0.495,-0.237,4.7,27,11,9.0,2,60,14,28,8,23,9,0,69,0.0,0.0,0.24100000000000002,2.9,1,7,4,20,KCR,1
209.0,0,39,7,12,6,5.79,3,9,44,0.308,0.37200000000000005,0.462,0.8340000000000001,184,104,0.551,1.4,1.22,-0.6679999999999999,2.8,30,6,10.0,2,58,14,32,18,13,4,0,77,5.0,3.0,-0.051,-0.6,1,1,4,21,KCR,1
275.0,1,46,4,5,4,1.93,5,14,53,0.109,0.18899999999999997,0.217,0.406,195,132,-0.379,2.01,1.171,-1.547,-3.6,42,16,14.0,1,71,28,33,15,19,8,0,66,0.0,0.0,0.877,4.6,0,2,4,22,LAA,1
192.0,1,41,7,14,7,7.0,5,10,46,0.341,0.413,0.634,1.047,140,114,0.168,1.21,0.62,-0.452,2.1,27,12,9.0,1,72,16,26,14,17,11,0,68,1.0,0.0,0.331,-0.1,0,3,4,23,LAA,1
209.0,1,33,6,7,5,5.0,4,13,38,0.212,0.289,0.242,0.532,148,94,0.259,1.12,1.089,-0.83,1.1,27,8,9.0,3,52,22,20,11,10,5,0,40,0.0,0.0,0.242,-0.1,0,4,4,24,LAA,1
229.0,1,35,5,9,4,5.0,7,8,43,0.257,0.395,0.34299999999999997,0.738,157,106,-0.017,0.87,0.6809999999999999,-0.6970000000000001,0.1,24,8,8.0,2,58,17,31,10,17,8,0,34,4.0,4.0,-0.484,-6.6,0,5,4,25,LAA,0
206.0,1,38,7,15,7,7.0,1,7,41,0.395,0.41,0.579,0.9890000000000001,181,105,0.217,1.24,0.6920000000000001,-0.474,2.5,27,4,9.0,0,65,14,26,16,17,10,0,53,4.0,0.0,0.281,1.5,0,6,4,26,SFG,1
155.0,0,31,6,8,6,6.0,5,8,38,0.258,0.37799999999999995,0.452,0.83,128,81,0.222,0.55,0.595,-0.373,1.5,27,7,9.0,2,45,10,26,14,10,5,0,69,0.0,0.0,0.278,0.5,0,7,4,27,SFG,1
196.0,0,40,11,14,10,9.0,5,11,46,0.35,0.435,0.5,0.935,145,118,0.337,0.35,0.5920000000000001,-0.254,6.5,27,8,9.0,1,66,12,40,10,19,10,0,49,0.0,0.0,0.161,-0.5,0,1,4,28,SFG,1
153.0,1,30,1,5,1,1.0,1,9,31,0.16699999999999998,0.19399999999999998,0.233,0.42700000000000005,122,78,-0.565,0.84,0.299,-0.8640000000000001,-3.9,24,8,8.0,1,37,16,25,10,11,6,0,53,2.0,0.0,0.065,1.4,0,3,4,30,ARI,0
192.0,0,32,2,7,2,2.0,5,3,37,0.21899999999999997,0.324,0.375,0.6990000000000001,130,89,-0.507,0.63,0.6809999999999999,-1.185,-2.9,24,6,8.0,1,51,12,26,16,13,4,0,45,0.0,0.0,0.005,1.4,0,4,5,1,ARI,0
188.0,1,29,6,8,5,3.38,2,9,34,0.276,0.364,0.483,0.846,164,94,0.23,1.01,0.58,-0.35200000000000004,1.7,27,10,9.0,1,52,16,26,7,14,8,0,51,0.0,0.0,0.272,1.9,1,6,5,3,MIN,1
186.0,0,32,3,7,2,3.0,4,9,36,0.21899999999999997,0.306,0.344,0.649,135,98,-0.322,0.59,0.34299999999999997,-0.6659999999999999,-1.9,27,8,9.0,3,56,16,26,11,12,5,0,41,5.0,1.0,-0.18,-2.1,1,7,5,4,MIN,0
173.0,0,26,4,6,3,3.86,6,11,32,0.231,0.375,0.34600000000000003,0.721,137,86,0.17,0.96,0.6,-0.431,1.1,24,3,8.0,0,43,21,23,4,11,6,0,66,4.0,0.0,0.315,3.3,1,1,5,5,MIN,1
156.0,1,31,7,9,7,6.75,1,5,32,0.29,0.313,0.71,1.022,161,72,0.298,0.67,0.42,-0.122,2.7,27,7,9.0,2,38,12,22,15,11,2,0,47,3.0,0.0,0.201,1.9,1,2,5,6,SEA,1
195.0,1,33,5,9,4,5.19,3,6,37,0.273,0.35100000000000003,0.39399999999999996,0.745,148,90,0.508,1.04,1.636,-1.129,0.4,27,9,9.0,1,53,14,24,11,16,5,0,57,1.0,0.0,-0.008,0.9,1,3,5,7,SEA,1
187.0,1,30,1,5,1,1.0,1,4,32,0.16699999999999998,0.188,0.2,0.38799999999999996,179,81,-0.284,0.47,0.09300000000000001,-0.377,-3.9,27,5,9.0,3,52,9,20,12,15,6,0,35,0.0,0.0,-0.21600000000000003,-5.1,1,4,5,8,SEA,0
174.0,1,33,3,9,3,3.38,1,4,34,0.273,0.294,0.33299999999999996,0.627,153,87,-0.139,1.05,0.43799999999999994,-0.5770000000000001,-1.3,27,9,9.0,1,57,7,23,14,15,7,0,69,1.0,0.0,0.639,3.9,1,5,5,9,SEA,1
185.0,1,34,4,7,3,3.0,2,12,37,0.20600000000000002,0.27,0.235,0.506,145,93,0.067,1.79,0.858,-0.792,-0.9,27,8,9.0,2,43,24,26,15,7,3,0,48,0.0,0.0,0.434,1.9,0,6,5,10,TBR,1
174.0,1,29,2,5,2,2.0,1,6,32,0.172,0.25,0.345,0.595,147,87,-0.262,0.89,0.552,-0.815,-2.9,24,5,8.0,3,54,15,19,10,13,3,0,51,0.0,0.0,-0.237,-2.7,0,7,5,11,TBR,0
175.0,0,34,7,9,6,7.0,5,17,41,0.265,0.35,0.441,0.7909999999999999,104,116,0.044000000000000004,1.26,0.672,-0.631,2.1,27,7,9.0,1,60,32,24,9,10,6,0,70,0.0,0.0,0.457,3.9,0,1,5,12,TBR,1
