duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
204.0,1,31,9,7,9,9.0,6,10,41,0.226,0.375,0.452,0.8270000000000001,128,96,0.54,1.03,0.947,-0.407,4.3,27,11,9.0,3,48,20,28,8,15,4,0,47,0.0,0.0,-0.041,-2.3,0,4,3,20,SEA,0
267.0,1,43,5,9,5,3.75,5,9,51,0.209,0.314,0.442,0.7559999999999999,211,116,-0.115,1.98,1.197,-1.3130000000000002,-1.3,36,12,12.0,0,64,18,34,7,28,7,0,52,4.0,3.0,0.615,2.3,0,5,3,21,SEA,0
138.0,0,30,4,7,4,4.5,1,4,32,0.233,0.25,0.5329999999999999,0.7829999999999999,118,74,0.116,0.86,0.426,-0.311,-0.2,27,8,9.0,0,43,11,20,5,22,7,0,69,0.0,0.0,0.386,4.7,1,5,3,28,LAA,1
172.0,1,32,2,7,2,2.0,4,5,36,0.219,0.306,0.344,0.649,136,91,-0.187,1.26,0.693,-0.879,-2.7,27,10,9.0,0,51,16,24,13,14,2,0,69,6.0,3.0,-0.313,-1.3,1,6,3,29,LAA,0
162.0,1,31,4,7,4,4.5,2,6,34,0.226,0.294,0.32299999999999995,0.617,146,71,0.133,1.12,0.422,-0.28800000000000003,-0.2,27,9,9.0,0,37,13,21,12,13,7,0,68,1.0,0.0,0.3670000000000001,2.7,1,7,3,30,LAA,1
160.0,0,31,2,7,2,2.25,3,6,34,0.226,0.294,0.355,0.649,113,88,-0.139,1.47,0.429,-0.569,-2.2,27,13,9.0,1,52,12,24,10,15,7,0,68,1.0,0.0,0.64,3.7,1,1,3,31,LAA,1
162.0,1,34,7,9,7,6.75,2,11,36,0.265,0.306,0.647,0.953,136,85,0.1,0.64,0.391,-0.293,2.8,27,8,9.0,0,47,20,18,9,14,3,0,73,0.0,0.0,0.402,4.7,1,2,4,1,BOS,1
162.0,1,26,1,3,1,1.12,3,4,30,0.115,0.233,0.231,0.464,123,79,-0.264,1.55,0.214,-0.477,-3.2,27,8,9.0,0,44,11,24,12,10,3,0,65,0.0,0.0,0.763,4.7,1,3,4,2,BOS,1
201.0,1,32,3,5,3,3.0,5,7,39,0.156,0.308,0.25,0.5579999999999999,168,86,-0.242,1.59,0.65,-0.892,-1.7,27,8,9.0,1,47,13,26,16,9,4,0,55,6.0,3.0,-0.257,-1.3,1,4,4,3,BOS,0
196.0,0,36,7,13,7,7.88,4,5,40,0.361,0.425,0.528,0.953,160,93,0.4270000000000001,1.08,0.8590000000000001,-0.4320000000000001,2.8,27,10,9.0,1,59,11,23,10,21,8,0,39,1.0,0.0,0.073,1.7,1,5,4,4,BOS,1
183.0,1,33,2,7,2,2.0,3,7,36,0.212,0.278,0.242,0.52,150,87,-0.518,0.92,0.493,-1.011,-2.9,24,10,8.0,1,46,13,29,13,13,4,0,47,0.0,0.0,0.017,1.4,0,6,4,5,HOU,0
167.0,1,32,0,6,0,0.0,4,7,36,0.188,0.278,0.219,0.4970000000000001,144,86,-0.337,0.63,0.166,-0.503,-4.9,24,6,8.0,3,44,20,22,13,12,5,0,30,0.0,0.0,-0.162,-1.6,0,7,4,6,HOU,0
219.0,0,37,8,11,8,8.0,2,5,40,0.297,0.35,0.622,0.972,170,94,0.297,1.85,1.139,-0.8440000000000001,3.1,26,9,8.2,2,53,11,30,12,20,9,0,15,4.0,1.0,-0.7959999999999999,-4.9,0,1,4,7,HOU,0
187.0,1,37,4,11,3,3.0,2,4,39,0.297,0.333,0.459,0.7929999999999999,163,85,-0.142,0.49,0.755,-0.895,-0.9,24,5,8.0,2,54,6,25,18,15,10,0,22,2.0,2.0,-0.359,-7.7,0,2,4,8,BAL,0
173.0,1,40,13,14,12,9.0,3,9,45,0.35,0.4,0.55,0.95,113,113,0.31,0.5,0.5589999999999999,-0.249,8.1,27,12,9.0,0,61,24,29,16,16,6,0,55,1.0,0.0,0.19,2.9,0,3,4,9,BAL,1
155.0,1,39,10,13,10,10.0,2,4,42,0.333,0.381,0.795,1.176,129,98,0.315,0.46,0.573,-0.258,5.1,27,11,9.0,2,62,12,24,9,26,13,0,56,0.0,0.0,0.185,1.9,0,4,4,10,BAL,1
170.0,0,37,8,11,8,7.0,1,12,40,0.297,0.325,0.757,1.082,141,97,0.295,1.14,0.772,-0.478,3.1,27,7,9.0,1,53,18,26,8,18,7,0,54,5.0,4.0,0.204,-0.1,0,5,4,11,BAL,1
196.0,1,36,8,11,8,8.0,2,9,38,0.306,0.342,0.528,0.87,155,103,0.3,1.19,1.039,-0.738,2.5,27,6,9.0,2,54,17,32,11,16,8,0,34,2.0,0.0,0.202,-0.5,0,6,4,12,TEX,1
185.0,0,35,7,10,7,7.0,3,10,39,0.28600000000000003,0.359,0.514,0.873,143,106,0.133,1.19,0.8,-0.6679999999999999,1.5,24,13,8.0,1,55,19,32,9,16,8,0,59,1.0,1.0,-0.634,-3.1,0,1,4,14,TEX,0
183.0,1,28,1,4,1,1.0,4,9,34,0.14300000000000002,0.265,0.14300000000000002,0.408,187,82,-0.175,0.39,0.062,-0.239,-3.7,27,1,9.0,3,39,16,27,9,11,2,0,20,3.0,3.0,-0.326,-4.3,1,3,4,16,HOU,0
149.0,1,27,2,4,2,2.25,2,1,30,0.14800000000000002,0.233,0.333,0.5670000000000001,131,71,-0.101,1.8,0.419,-0.52,-2.2,27,8,9.0,0,44,5,22,13,13,4,0,67,1.0,0.0,0.6,3.7,1,4,4,17,HOU,1
156.0,1,33,1,6,1,1.0,2,8,35,0.182,0.229,0.242,0.471,138,77,-0.254,0.64,0.233,-0.488,-3.7,27,8,9.0,1,35,16,26,14,11,4,0,38,0.0,0.0,-0.247,-0.3,1,6,4,19,TOR,0
185.0,0,31,1,6,1,1.0,2,7,34,0.194,0.235,0.226,0.461,165,86,-0.201,0.49,0.075,-0.277,-3.7,27,3,9.0,3,47,13,28,11,14,4,0,22,2.0,1.0,-0.299,-5.3,1,7,4,20,TOR,0
199.0,0,30,4,7,3,4.0,5,6,37,0.233,0.35100000000000003,0.267,0.618,168,85,-0.384,0.94,0.879,-1.265,-0.7,27,9,9.0,1,52,12,21,11,14,6,0,43,3.0,0.0,-0.116,-0.3,1,1,4,21,TOR,0
168.0,1,29,6,7,5,5.62,3,5,34,0.241,0.294,0.414,0.708,157,79,0.103,0.99,0.381,-0.28,1.8,27,7,9.0,0,45,8,26,10,16,10,0,66,2.0,1.0,0.398,3.7,1,2,4,22,TEX,1
197.0,1,38,11,14,10,11.25,6,7,45,0.368,0.467,0.579,1.046,159,104,0.463,0.63,0.695,-0.234,6.8,27,14,9.0,1,59,14,31,10,21,9,0,43,2.0,0.0,0.038,-0.3,1,3,4,23,TEX,1
202.0,0,35,6,11,6,6.23,6,7,41,0.314,0.415,0.514,0.929,158,102,0.426,1.45,1.402,-0.975,1.5,27,10,9.0,3,61,13,28,5,23,11,0,50,0.0,0.0,0.073,-0.3,1,4,4,24,TEX,1
170.0,1,32,2,5,2,2.0,2,10,34,0.156,0.206,0.281,0.487,136,87,-0.321,1.12,0.596,-0.919,-2.8,26,3,8.2,2,48,19,20,9,13,5,0,62,0.0,0.0,-0.18,0.7,0,6,4,26,TOR,0
170.0,0,31,1,4,0,0.0,5,7,36,0.129,0.25,0.194,0.444,146,85,-0.206,0.48,0.197,-0.404,-3.8,24,7,8.0,0,51,11,23,8,16,6,0,19,2.0,1.0,-0.293,-2.7,0,7,4,27,TOR,0
