duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
184.0,0,31,10,7,10,11.25,6,9,37,0.226,0.35100000000000003,0.516,0.867,156,87,0.269,0.68,0.6729999999999999,-0.402,5.7,27,13,9.0,1,43,22,22,13,9,0,0,67,0.0,0.0,0.23,0.9,1,5,3,28,ATL,1
207.0,0,31,8,9,8,9.0,5,9,36,0.29,0.389,0.71,1.099,159,93,0.462,0.97,0.955,-0.493,3.7,27,9,9.0,2,45,15,33,7,15,6,0,35,1.0,0.0,0.037000000000000005,-1.1,1,7,3,30,ATL,1
197.0,1,27,5,5,5,5.62,9,8,39,0.185,0.41,0.444,0.855,141,88,0.141,1.09,0.637,-0.4970000000000001,0.7,27,9,9.0,0,45,18,25,10,10,7,0,62,0.0,0.0,0.36,3.9,1,1,3,31,ATL,1
210.0,1,41,8,14,7,7.0,4,12,45,0.341,0.4,0.61,1.01,146,116,0.17,0.85,0.764,-0.594,2.9,27,5,9.0,1,68,19,29,11,18,5,0,69,0.0,0.0,0.33,3.1,0,3,4,2,WSN,1
233.0,0,37,8,10,8,8.0,7,8,44,0.27,0.386,0.35100000000000003,0.738,171,104,0.419,1.17,1.455,-1.036,2.9,24,11,8.0,3,62,13,29,7,22,11,0,25,1.0,0.0,-0.92,-6.4,0,4,4,3,WSN,0
211.0,1,33,10,11,9,9.0,9,7,44,0.333,0.477,0.424,0.902,136,118,0.422,0.81,0.69,-0.267,5.7,27,9,9.0,2,64,25,29,11,16,11,0,38,1.0,0.0,0.078,0.9,1,6,4,5,MIN,1
170.0,0,32,2,7,2,2.0,3,6,36,0.219,0.278,0.375,0.653,118,89,-0.4270000000000001,0.84,0.644,-1.073,-2.9,27,12,9.0,3,51,17,21,14,13,4,0,53,0.0,0.0,-0.07200000000000001,-1.1,1,7,4,6,MIN,0
167.0,0,28,2,4,2,2.25,4,7,32,0.14300000000000002,0.25,0.321,0.5710000000000001,134,86,-0.112,1.18,0.507,-0.62,-2.3,27,9,9.0,1,45,11,30,9,12,3,0,66,1.0,0.0,0.613,3.9,1,1,4,7,MIN,1
152.0,1,33,4,10,4,4.5,2,7,35,0.303,0.343,0.5760000000000001,0.919,129,73,0.069,1.31,0.654,-0.584,-0.3,27,12,9.0,2,37,15,21,13,13,5,0,53,0.0,0.0,0.431,1.9,1,2,4,8,WSN,1
231.0,1,39,6,9,6,5.4,5,9,44,0.231,0.318,0.436,0.754,180,99,0.069,1.25,0.701,-0.635,0.6,30,15,10.0,4,55,16,28,16,14,5,0,43,0.0,0.0,-0.5670000000000001,-4.6,1,3,4,9,WSN,0
215.0,1,28,1,3,1,1.0,7,10,36,0.107,0.306,0.107,0.413,217,95,-0.171,0.39,0.112,-0.28300000000000003,-3.9,27,11,9.0,0,43,10,42,10,8,4,0,22,5.0,3.0,-0.329,-10.1,1,4,4,10,WSN,0
166.0,1,40,9,14,9,9.0,3,8,44,0.35,0.409,0.5,0.909,133,99,0.305,0.44,0.6609999999999999,-0.35700000000000004,4.4,27,9,9.0,0,48,18,33,14,18,6,0,70,0.0,0.0,0.196,3.6,0,6,4,12,MIA,1
181.0,1,33,3,6,3,3.0,4,11,37,0.182,0.27,0.333,0.604,149,104,-0.197,0.31,0.08199999999999999,-0.28,-1.6,24,7,8.0,3,49,24,31,9,13,8,0,22,0.0,0.0,-0.303,-5.9,0,7,4,13,MIA,0
278.0,0,53,3,12,3,1.93,5,13,58,0.226,0.293,0.415,0.708,193,143,-0.672,1.57,1.243,-1.917,-4.1,42,10,14.0,1,76,15,52,15,25,12,0,65,0.0,0.0,1.173,6.1,0,1,4,14,MIA,1
269.0,1,42,6,12,6,4.91,8,16,50,0.28600000000000003,0.4,0.381,0.7809999999999999,171,128,-0.257,1.54,1.582,-1.838,0.1,33,11,11.0,1,63,22,43,10,16,7,0,31,0.0,0.0,-0.244,-1.1,1,2,4,15,NYM,0
187.0,1,39,14,13,14,10.12,3,5,44,0.333,0.409,0.7440000000000001,1.153,159,108,0.438,0.25,0.453,-0.017,9.7,27,12,9.0,2,69,12,27,11,23,8,0,40,0.0,0.0,0.064,1.9,1,3,4,16,NYM,1
172.0,0,28,3,5,3,3.38,3,6,32,0.179,0.25,0.393,0.643,125,83,-0.019,1.79,0.364,-0.381,-1.3,27,12,9.0,1,50,10,23,12,11,7,0,63,3.0,1.0,0.519,2.9,1,4,4,17,NYM,1
183.0,1,32,2,5,2,2.0,2,12,35,0.156,0.229,0.25,0.479,136,100,-0.35,0.91,0.301,-0.652,-3.7,24,14,8.0,2,45,23,32,11,9,5,0,47,1.0,1.0,-0.151,-0.9,0,5,4,18,COL,0
266.0,1,51,3,17,3,2.25,6,11,58,0.333,0.397,0.392,0.789,185,140,-0.584,1.72,1.3769999999999998,-1.96,-4.6,35,10,11.2,2,79,29,32,21,20,15,0,54,1.0,0.0,0.084,3.5,0,6,4,19,COL,0
205.0,1,39,8,14,8,8.0,1,6,41,0.359,0.375,0.564,0.939,157,98,0.3,1.19,0.9,-0.599,2.3,27,9,9.0,2,58,19,21,18,16,8,0,47,1.0,0.0,0.201,0.7,0,7,4,20,COL,1
