duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
174.0,0,31,3,5,3,3.0,7,11,39,0.161,0.316,0.258,0.574,115,98,-0.201,0.89,0.755,-0.955,-1.9,24,6,8.0,2,56,16,26,10,11,4,0,48,2.0,2.0,-0.298,-0.6,0,5,3,28,CIN,0
195.0,0,36,5,10,5,3.0,7,5,44,0.278,0.409,0.333,0.742,139,102,0.084,0.78,0.608,-0.524,0.1,27,10,9.0,0,60,17,25,14,17,11,0,71,2.0,0.0,0.416,4.9,0,1,3,31,CIN,1
290.0,0,35,5,6,5,4.09,8,9,47,0.171,0.348,0.314,0.662,238,107,-0.118,2.04,0.843,-0.962,-0.8,33,8,11.0,1,60,21,26,13,15,8,0,68,9.0,2.0,-0.382,-0.2,1,2,4,1,STL,0
210.0,1,38,4,8,4,3.6,7,7,45,0.211,0.333,0.421,0.754,158,116,-0.278,1.21,1.216,-1.497,-1.2,30,11,10.0,2,68,16,32,18,13,7,0,72,2.0,1.0,-0.219,0.2,1,4,4,3,STL,0
160.0,1,32,2,10,2,2.25,0,5,32,0.312,0.313,0.344,0.6559999999999999,143,76,-0.152,1.39,0.45,-0.602,-2.2,27,11,9.0,0,44,12,20,16,11,5,0,60,0.0,0.0,0.6509999999999999,4.7,1,5,4,4,CIN,1
145.0,1,29,2,5,2,2.25,0,8,30,0.172,0.172,0.241,0.414,111,66,-0.153,1.09,0.484,-0.635,-2.2,27,14,9.0,0,35,11,20,10,12,6,0,78,0.0,0.0,0.6509999999999999,4.7,1,6,4,5,CIN,1
191.0,0,38,6,12,6,5.79,3,8,42,0.316,0.366,0.5,0.866,134,100,0.395,1.21,1.386,-0.991,1.5,30,13,10.0,2,69,12,19,14,17,9,0,47,0.0,0.0,0.102,0.2,1,7,4,6,CIN,1
174.0,0,34,7,12,7,7.88,3,9,38,0.353,0.421,0.706,1.127,142,78,0.431,0.85,0.841,-0.412,2.8,27,9,9.0,3,47,14,17,6,19,8,0,55,0.0,0.0,0.068,-0.3,1,1,4,7,CIN,1
192.0,0,32,0,7,0,0.0,3,12,36,0.219,0.306,0.219,0.524,173,99,-0.138,0.37,0.098,-0.237,-4.9,24,8,8.0,1,50,15,34,10,10,8,0,38,0.0,0.0,-0.363,-5.6,0,2,4,8,CHC,0
190.0,1,35,5,9,4,4.0,2,7,38,0.257,0.316,0.429,0.7440000000000001,154,90,0.172,1.05,0.512,-0.337,0.1,27,5,9.0,1,58,18,14,14,14,10,0,71,2.0,0.0,0.326,2.9,0,4,4,10,CHC,1
158.0,1,32,0,5,0,0.0,1,14,33,0.156,0.182,0.188,0.369,120,84,-0.619,1.12,0.238,-0.858,-4.9,24,7,8.0,0,38,19,27,9,9,3,0,65,1.0,1.0,0.12,2.4,0,5,4,11,CHC,0
208.0,1,39,6,10,6,4.5,2,14,42,0.256,0.293,0.487,0.78,156,105,0.329,1.14,1.589,-1.259,0.4,30,5,10.0,2,55,23,27,13,13,4,0,57,1.0,0.0,0.172,2.6,0,6,4,12,WSN,1
142.0,0,34,2,8,2,2.0,2,3,37,0.235,0.278,0.441,0.7190000000000001,116,79,-0.376,1.2,0.687,-1.061,-3.1,24,8,8.0,2,50,7,22,12,20,11,0,72,0.0,0.0,-0.124,1.5,0,7,4,13,WSN,0
167.0,0,33,4,8,4,4.0,3,8,36,0.242,0.306,0.364,0.669,143,85,0.003,2.23,0.915,-0.914,-1.1,27,10,9.0,0,45,16,24,16,9,4,0,49,0.0,0.0,0.4970000000000001,2.1,0,1,4,14,WSN,1
183.0,1,37,5,8,5,4.5,1,11,39,0.21600000000000005,0.237,0.378,0.615,162,100,0.215,1.7,0.977,-0.7609999999999999,-0.6,30,9,10.0,0,57,21,22,16,11,4,0,62,0.0,0.0,0.284,2.6,0,3,4,16,DET,1
201.0,1,35,3,6,2,1.8,5,9,42,0.171,0.28600000000000003,0.2,0.486,143,106,-0.1,1.59,1.032,-1.133,-2.6,30,11,10.0,0,64,15,27,19,8,2,0,56,0.0,0.0,0.604,3.6,0,4,4,17,DET,1
168.0,1,30,4,6,4,4.5,2,9,32,0.2,0.25,0.233,0.483,150,79,0.198,0.72,0.35600000000000004,-0.157,-0.2,27,7,9.0,0,46,15,19,10,11,7,0,69,4.0,1.0,0.301,3.7,1,6,4,19,SFG,1
92.0,0,17,3,4,3,5.4,1,7,20,0.235,0.278,0.588,0.866,79,50,0.128,1.12,0.449,-0.32,0.4,15,6,5.0,0,20,13,17,7,5,1,0,57,,,0.149,1.6,1,7,4,20,SFG,1
167.0,0,31,2,5,2,2.0,3,7,34,0.161,0.235,0.32299999999999995,0.5579999999999999,146,85,-0.597,1.06,0.556,-1.152,-2.7,27,9,9.0,1,48,14,23,13,11,3,0,43,0.0,0.0,0.097,1.7,1,1,4,21,SFG,0
