duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
138.0,0,27,2,6,2,2.25,1,9,28,0.222,0.25,0.37,0.62,108,71,-0.08900000000000001,1.0,0.318,-0.407,-2.1,27,10,9.0,0,40,16,17,6,12,4,0,66,2,0,0.589,4.6,1,5,3,28,SFG,1
187.0,1,28,4,8,4,4.5,4,9,34,0.28600000000000003,0.382,0.464,0.847,149,93,0.156,0.87,0.406,-0.252,-0.1,27,11,9.0,1,50,18,25,7,13,7,0,67,1,0,0.34700000000000003,3.6,1,6,3,29,SFG,1
190.0,1,35,2,8,2,2.0,0,9,35,0.229,0.229,0.314,0.5429999999999999,152,92,-0.588,1.15,0.753,-1.342,-2.6,27,11,9.0,0,50,21,21,14,12,6,0,62,3,2,0.09,1.6,1,7,3,30,SFG,0
167.0,0,32,3,8,3,1.12,5,4,37,0.25,0.35100000000000003,0.344,0.695,129,75,0.012,1.05,0.775,-0.765,-1.1,27,8,9.0,0,51,9,15,12,16,7,0,65,0,0,0.489,3.6,1,1,3,31,SFG,1
184.0,1,31,3,6,3,3.0,2,5,34,0.194,0.235,0.32299999999999995,0.5579999999999999,161,80,-0.161,0.43,0.084,-0.245,-1.6,27,7,9.0,1,48,8,24,12,15,7,0,21,1,0,-0.341,-5.4,1,2,4,1,ARI,0
201.0,1,38,5,11,5,5.0,1,13,39,0.289,0.308,0.526,0.8340000000000001,150,105,-0.069,0.73,0.574,-0.6409999999999999,0.4,27,13,9.0,5,51,20,34,10,15,8,0,34,0,0,-0.433,-3.4,1,3,4,2,ARI,0
179.0,0,28,4,5,4,4.5,6,7,34,0.179,0.324,0.321,0.645,138,76,0.028,0.89,0.5539999999999999,-0.527,-0.1,27,5,9.0,0,45,11,20,8,13,8,0,64,0,0,0.473,3.6,1,4,4,3,ARI,1
174.0,0,35,5,9,5,5.0,6,10,42,0.257,0.35700000000000004,0.457,0.8140000000000001,121,100,0.312,1.02,1.1740000000000002,-0.861,0.3,27,10,9.0,2,58,22,20,9,17,7,0,61,0,0,0.191,1.7,0,6,4,5,STL,1
217.0,0,35,6,9,6,4.0,10,8,45,0.257,0.422,0.6,1.022,198,109,0.416,1.38,1.33,-0.912,1.3,27,9,9.0,1,62,15,32,11,16,6,0,57,2,0,0.08199999999999999,0.7,0,7,4,6,STL,1
188.0,0,32,1,6,1,1.0,2,12,34,0.188,0.235,0.313,0.5479999999999999,150,92,-0.45,0.98,0.467,-0.917,-3.7,24,7,8.0,0,47,19,26,7,13,6,0,53,2,1,-0.051,0.2,0,1,4,7,STL,0
175.0,1,32,6,7,6,6.0,2,4,37,0.219,0.306,0.531,0.8370000000000001,141,86,0.225,1.69,0.8340000000000001,-0.609,1.5,27,9,9.0,1,52,11,23,15,14,4,0,49,0,0,0.276,-0.5,0,2,4,8,SFG,1
