duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
204.0,1,31,9,7,9,9.0,6,10,41,0.226,0.375,0.452,0.8270000000000001,128,96,0.54,1.03,0.947,-0.407,4.3,27,11,9.0,3,48,20,28,8,15,4,0,47,0.0,0.0,-0.041,-2.3,0,4,3,20,OAK,1
267.0,1,43,5,9,5,3.75,5,9,51,0.209,0.314,0.442,0.7559999999999999,211,116,-0.115,1.98,1.197,-1.3130000000000002,-1.3,36,12,12.0,0,64,18,34,7,28,7,0,52,4.0,3.0,0.615,2.3,0,5,3,21,OAK,1
214.0,0,36,12,12,11,12.38,4,9,43,0.333,0.419,0.861,1.28,142,111,0.51,0.7,0.6709999999999999,-0.161,7.8,27,7,9.0,0,63,21,27,8,20,6,0,39,1.0,1.0,-0.01,0.7,1,5,3,28,BOS,1
200.0,1,34,6,8,6,6.0,4,10,40,0.235,0.3,0.5589999999999999,0.8590000000000001,149,96,0.051,1.33,0.488,-0.4370000000000001,1.3,27,8,9.0,4,46,14,36,7,19,11,0,59,2.0,0.0,-0.552,-2.3,1,6,3,29,BOS,0
190.0,1,34,6,10,6,5.62,4,10,38,0.294,0.368,0.441,0.81,145,99,0.314,1.09,0.7609999999999999,-0.447,1.8,27,9,9.0,0,50,23,26,11,13,7,0,55,2.0,1.0,0.187,-0.3,1,7,3,30,BOS,1
219.0,0,37,10,12,10,5.62,7,11,45,0.324,0.422,0.568,0.99,166,110,0.586,1.18,0.952,-0.368,5.8,27,8,9.0,2,61,20,29,6,21,7,0,32,5.0,1.0,-0.086,-3.3,1,1,3,31,BOS,1
200.0,1,33,6,10,6,6.75,6,7,40,0.303,0.425,0.424,0.8490000000000001,138,89,0.227,1.02,0.7829999999999999,-0.556,1.9,27,9,9.0,0,52,10,27,11,15,7,0,50,2.0,0.0,0.275,1.7,1,2,4,1,LAA,1
136.0,1,29,2,5,2,2.25,0,6,29,0.172,0.172,0.379,0.552,109,65,-0.069,1.43,0.613,-0.68,-2.2,27,11,9.0,0,39,14,12,11,12,5,0,73,2.0,0.0,0.568,3.7,1,3,4,2,LAA,1
216.0,0,35,8,9,8,8.0,5,9,41,0.257,0.341,0.629,0.97,165,91,0.294,1.17,1.038,-0.745,3.1,24,11,8.0,1,47,15,29,6,21,8,0,36,6.0,2.0,-0.7929999999999999,-5.7,0,6,4,5,CHW,0
211.0,0,38,9,14,9,9.0,6,11,45,0.368,0.467,0.684,1.151,152,116,0.311,0.53,0.672,-0.36,4.1,27,5,9.0,2,63,20,33,11,16,10,0,53,2.0,0.0,0.188,2.9,0,7,4,6,CHW,1
229.0,0,39,12,12,12,12.0,4,9,44,0.308,0.3720000000000001,0.564,0.936,155,126,0.481,0.38,0.7340000000000001,-0.254,7.1,27,7,9.0,1,71,19,36,15,15,10,0,57,0.0,0.0,0.021,-0.1,0,1,4,7,CHW,1
197.0,1,40,13,15,13,13.0,4,10,46,0.375,0.444,0.775,1.219,137,116,0.626,0.72,1.131,-0.506,8.0,27,9,9.0,0,72,15,29,12,19,9,0,40,0.0,0.0,-0.126,0.0,0,2,4,8,KCR,1
197.0,1,41,6,15,6,6.0,1,11,43,0.366,0.3720000000000001,0.537,0.909,137,114,0.223,1.16,0.789,-0.5670000000000001,1.0,27,12,9.0,0,64,21,29,11,20,12,0,53,2.0,1.0,0.278,2.0,0,3,4,9,KCR,1
197.0,1,35,6,11,6,6.0,3,8,41,0.314,0.366,0.429,0.794,129,106,0.371,1.93,1.171,-0.804,1.0,27,13,9.0,2,61,12,33,14,15,10,0,52,2.0,0.0,0.131,0.0,0,4,4,10,KCR,1
207.0,0,40,7,12,7,6.3,2,9,43,0.3,0.326,0.65,0.976,177,107,0.3670000000000001,0.89,1.5490000000000002,-1.181,1.4,30,6,10.0,3,54,21,32,14,18,11,0,43,0.0,0.0,0.134,-0.4,0,5,4,11,KCR,1
