duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
138.0,0,30,0,5,0,0.0,1,5,31,0.16699999999999998,0.194,0.16699999999999998,0.36,102,67,-0.59,0.66,0.131,-0.72,-4.6,24,7,8.0,1,41,10,16,8,17,6,0,67,0.0,0.0,0.08800000000000001,2.1,0,5,3,28,SDP,0
187.0,1,33,1,6,1,1.0,3,12,37,0.182,0.27,0.364,0.634,142,95,-0.34600000000000003,0.5,0.325,-0.67,-3.6,24,8,8.0,1,44,21,30,11,10,6,0,45,2.0,0.0,-0.154,0.1,0,6,3,29,SDP,0
190.0,1,34,3,9,3,3.0,2,9,39,0.265,0.359,0.382,0.741,134,96,-0.091,1.84,0.6940000000000001,-0.782,-1.6,27,10,9.0,0,53,14,29,12,13,7,0,53,3.0,2.0,0.59,2.6,0,7,3,30,SDP,1
167.0,0,27,1,2,1,1.0,2,10,29,0.07400000000000001,0.138,0.111,0.249,124,86,-0.489,1.4,0.263,-0.752,-3.6,24,9,8.0,0,53,12,21,7,10,3,0,57,3.0,1.0,-0.011,1.1,0,1,3,31,SDP,0
179.0,1,36,4,9,4,4.0,0,11,37,0.25,0.27,0.444,0.715,136,97,0.18600000000000005,1.06,0.8690000000000001,-0.6829999999999999,-0.6,27,12,9.0,2,51,22,24,11,14,7,0,52,0.0,0.0,0.314,2.6,0,2,4,1,LAD,1
170.0,1,34,5,9,5,4.0,2,8,36,0.265,0.306,0.382,0.688,134,83,-0.248,0.67,0.696,-0.943,0.4,24,8,8.0,1,55,10,18,17,9,4,0,54,0.0,0.0,-0.252,-1.9,0,3,4,2,LAD,0
179.0,1,32,3,6,3,3.0,1,5,34,0.188,0.235,0.375,0.61,163,83,-0.207,1.22,0.461,-0.6679999999999999,-1.6,24,7,8.0,1,48,12,23,14,13,3,0,56,2.0,0.0,-0.293,-0.9,0,4,4,3,LAD,0
186.0,0,36,2,8,2,2.0,2,8,39,0.222,0.282,0.306,0.588,156,94,-0.292,0.35,0.693,-0.984,-2.5,27,8,9.0,2,49,18,27,13,15,8,0,43,3.0,1.0,-0.209,-0.5,1,6,4,5,TBR,0
171.0,0,30,6,8,6,6.75,3,4,35,0.267,0.324,0.4,0.7240000000000001,146,86,0.426,1.23,0.7809999999999999,-0.35700000000000004,2.0,27,10,9.0,0,52,15,19,11,17,4,0,43,2.0,0.0,0.077,0.5,1,7,4,6,TBR,1
186.0,0,30,0,5,0,0.0,2,12,32,0.16699999999999998,0.219,0.16699999999999998,0.385,153,89,-0.541,0.86,0.256,-0.797,-4.5,27,11,9.0,1,61,22,23,10,12,5,0,44,1.0,0.0,0.041,1.5,1,1,4,7,TBR,0
175.0,1,33,5,5,5,5.0,4,13,38,0.152,0.263,0.273,0.536,129,91,-0.276,0.93,0.945,-1.22,0.5,27,14,9.0,3,53,15,23,12,8,4,0,46,2.0,2.0,-0.224,-1.5,1,2,4,8,SDP,0
159.0,1,29,7,7,7,7.88,3,9,34,0.241,0.303,0.345,0.648,147,85,0.337,0.31,0.453,-0.117,3.0,27,9,9.0,1,40,22,23,11,11,6,0,70,0.0,0.0,0.162,2.5,1,3,4,9,SDP,1
