duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
156.0,0,32,4,5,4,4.0,2,11,34,0.156,0.206,0.438,0.643,127,92,-0.328,0.71,0.552,-0.8809999999999999,-0.9,24,13,8.0,3,42,26,24,6,15,3,0,39,0.0,0.0,-0.173,-0.7,0,5,3,28,MIL,0
221.0,1,40,9,14,8,9.0,7,10,49,0.35,0.458,0.65,1.108,151,121,0.502,0.93,1.152,-0.65,4.1,27,10,9.0,2,69,21,31,12,19,9,0,36,1.0,0.0,-0.001,-0.1,0,6,3,29,MIL,1
187.0,1,33,2,7,2,2.0,1,11,35,0.212,0.235,0.273,0.508,147,97,-0.39,0.68,0.44,-0.8290000000000001,-2.9,24,9,8.0,3,54,23,20,7,16,8,0,39,2.0,0.0,-0.109,0.3,0,7,3,30,MIL,0
174.0,0,34,4,7,4,4.0,2,15,36,0.206,0.25,0.5,0.75,149,94,0.04,1.58,0.603,-0.563,-0.9,24,9,8.0,1,44,23,27,8,11,6,0,63,1.0,1.0,-0.541,-1.3,0,1,3,31,MIL,0
290.0,0,40,6,8,5,3.27,8,17,51,0.2,0.373,0.325,0.698,191,142,0.384,1.1,2.064,-1.681,0.2,33,15,11.0,1,69,39,36,10,13,6,0,37,4.0,0.0,0.118,0.8,0,2,4,1,PIT,1
210.0,1,37,5,7,4,4.5,3,8,40,0.189,0.25,0.4320000000000001,0.682,189,100,0.22,1.73,1.083,-0.861,-0.2,30,16,10.0,1,55,20,25,13,16,4,0,41,3.0,1.0,0.28,1.2,0,4,4,3,PIT,1
174.0,0,31,3,4,3,3.0,2,7,33,0.129,0.182,0.355,0.537,170,74,-0.192,1.23,0.486,-0.677,-1.7,27,8,9.0,2,44,11,19,12,12,3,0,59,0.0,0.0,-0.31,-0.3,1,6,4,5,SDP,0
217.0,0,34,4,9,4,3.0,6,10,42,0.265,0.366,0.412,0.778,189,124,-0.085,1.21,0.855,-0.939,-0.7,27,8,9.0,3,70,20,34,12,14,6,0,58,2.0,0.0,-0.417,-1.3,1,7,4,6,SDP,0
188.0,0,32,4,10,4,3.38,3,6,36,0.312,0.361,0.438,0.799,149,93,0.05,1.17,0.69,-0.6409999999999999,-0.2,27,6,9.0,0,54,14,25,8,19,11,0,67,2.0,0.0,0.45,3.7,1,1,4,7,SDP,1
161.0,1,28,4,5,3,4.5,2,4,30,0.179,0.233,0.321,0.555,132,70,0.118,1.52,0.6890000000000001,-0.5710000000000001,-0.2,27,12,9.0,0,41,12,17,12,12,8,0,52,0.0,0.0,0.381,1.7,1,2,4,8,LAD,1
197.0,1,31,4,6,4,4.5,4,12,36,0.194,0.306,0.419,0.725,176,97,0.142,1.09,0.45,-0.307,-0.2,27,8,9.0,0,48,21,28,6,13,7,0,52,5.0,0.0,0.35700000000000004,4.7,1,3,4,9,LAD,1
172.0,1,32,7,10,7,7.88,1,6,34,0.312,0.333,0.594,0.927,148,84,0.205,0.78,0.523,-0.319,2.8,27,4,9.0,2,41,17,26,12,15,9,0,70,0.0,0.0,0.297,2.7,1,4,4,10,LAD,1
192.0,0,33,11,10,7,10.12,4,10,41,0.303,0.4,0.364,0.764,164,108,0.851,0.7,1.476,-0.622,6.8,27,8,9.0,3,56,20,32,10,15,4,0,19,1.0,0.0,-0.35100000000000003,-2.3,1,5,4,11,LAD,1
188.0,1,34,2,9,2,2.0,3,9,39,0.265,0.359,0.471,0.83,121,108,-0.452,0.96,0.6409999999999999,-1.091,-2.9,24,8,8.0,2,71,10,27,8,17,9,0,60,2.0,2.0,-0.049,-0.6,0,7,4,13,CIN,0
199.0,0,37,9,11,9,9.0,6,8,43,0.297,0.395,0.703,1.098,133,102,0.5710000000000001,0.92,1.043,-0.473,4.1,27,14,9.0,2,59,16,27,14,15,6,0,41,2.0,0.0,-0.071,-0.1,0,1,4,14,CIN,1
231.0,1,35,7,8,6,7.0,6,10,43,0.229,0.35700000000000004,0.514,0.871,175,97,0.18600000000000005,0.71,1.042,-0.853,2.1,24,8,8.0,4,60,14,23,9,17,5,0,21,4.0,0.0,-0.6859999999999999,-5.7,0,2,4,15,MIL,0
193.0,1,36,4,11,4,4.0,3,13,39,0.306,0.359,0.417,0.7759999999999999,155,100,-0.23,0.5,0.209,-0.439,-0.9,24,5,8.0,3,49,17,34,8,15,8,0,23,4.0,2.0,-0.272,-3.7,0,3,4,16,MIL,0
