duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
158.0,0,31,1,4,1,1.0,1,12,34,0.129,0.206,0.258,0.464,145,90,-0.28800000000000003,0.54,0.324,-0.611,-3.9,27,9,9.0,3,46,22,22,10,9,5,0,41,0,0,-0.213,-0.1,1,5,3,28,HOU,0
158.0,1,31,4,6,4,1.12,1,13,32,0.194,0.219,0.29,0.509,130,93,0.106,1.32,0.541,-0.4370000000000001,-0.4,27,12,9.0,0,49,24,20,5,13,5,0,59,1,0,0.394,2.9,1,6,3,29,HOU,1
160.0,1,30,3,7,3,3.38,1,13,32,0.233,0.258,0.333,0.591,132,82,-0.05,1.33,0.584,-0.634,-1.4,27,10,9.0,1,44,18,20,12,6,4,0,54,1,0,0.55,3.9,1,7,3,30,HOU,1
132.0,0,32,3,8,3,3.38,0,8,32,0.25,0.25,0.406,0.6559999999999999,120,78,0.021,1.01,0.508,-0.487,-1.4,27,10,9.0,1,45,17,16,10,14,8,0,75,2,0,0.481,3.9,1,1,3,31,HOU,1
174.0,1,32,7,9,7,7.88,4,9,37,0.281,0.35100000000000003,0.5,0.851,133,84,0.213,0.83,0.499,-0.285,2.6,27,7,9.0,0,40,20,24,14,10,6,0,54,4,1,0.287,3.9,1,2,4,1,COL,1
170.0,1,33,4,8,3,3.38,6,13,40,0.242,0.375,0.303,0.6779999999999999,127,97,0.134,0.63,0.386,-0.254,-0.4,27,10,9.0,0,47,23,27,10,10,5,0,85,0,0,0.368,4.9,1,3,4,2,COL,1
199.0,0,39,0,6,0,0.0,7,11,46,0.154,0.28300000000000003,0.154,0.436,151,96,-1.082,1.29,0.835,-1.917,-6.0,33,10,11.0,1,41,26,29,14,14,4,0,68,0,0,0.5820000000000001,5.0,1,4,4,3,COL,0
186.0,0,38,5,11,5,5.0,1,8,40,0.289,0.325,0.5529999999999999,0.878,134,106,0.208,1.28,0.44,-0.232,0.5,27,8,9.0,0,59,22,25,10,20,7,0,71,4,0,0.29100000000000004,2.5,0,6,4,5,SFG,1
171.0,0,35,4,9,4,4.0,2,5,38,0.257,0.289,0.28600000000000003,0.575,137,92,-0.076,0.84,0.693,-0.77,-0.5,24,7,8.0,1,57,10,25,12,19,10,0,58,0,0,-0.425,-2.0,0,7,4,6,SFG,0
186.0,0,36,3,10,2,3.0,3,10,39,0.278,0.333,0.417,0.75,130,106,-0.042,1.09,0.523,-0.564,-1.5,27,8,9.0,0,57,16,33,15,11,7,0,67,3,0,0.561,4.7,0,1,4,7,SFG,1
205.0,0,37,5,11,5,5.0,8,14,46,0.297,0.413,0.35100000000000003,0.764,143,106,0.16699999999999998,0.92,0.613,-0.447,0.1,27,5,9.0,1,51,28,27,14,10,5,0,67,0,0,0.334,3.9,0,2,4,8,CHW,1
236.0,0,38,10,13,9,10.0,8,7,47,0.342,0.447,0.632,1.078,193,110,0.389,0.67,0.589,-0.203,5.1,27,11,9.0,1,55,25,31,15,17,5,0,57,5,3,0.113,-0.1,0,3,4,9,CHW,1
180.0,0,41,9,14,9,9.0,6,10,47,0.341,0.426,0.659,1.084,133,102,0.311,0.46,0.545,-0.234,4.1,27,10,9.0,0,54,13,35,14,17,6,0,78,0,0,0.189,3.9,0,4,4,10,CHW,1
