duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
187.0,0,32,4,6,4,4.0,2,6,34,0.188,0.235,0.406,0.642,177,80,-0.068,0.56,0.251,-0.319,-1.5,27,12,9.0,3,48,11,23,9,17,8,0,31,10.0,4.0,-0.433,-6.5,1,5,3,28,CHC,0
227.0,1,32,8,10,8,6.75,12,14,44,0.312,0.5,0.563,1.063,160,102,0.593,0.85,1.734,-1.138,3.1,27,10,9.0,1,50,16,36,10,8,3,0,33,0.0,0.0,-0.094,-0.5,1,7,3,30,CHC,1
226.0,0,34,11,11,10,11.88,6,7,41,0.324,0.415,0.6759999999999999,1.091,174,101,1.058,1.38,1.76,-0.7020000000000001,5.9,27,8,9.0,2,59,10,32,13,15,5,0,26,6.0,1.0,-0.5579999999999999,-4.5,1,1,3,31,CHC,1
159.0,1,28,1,2,1,1.0,0,7,28,0.071,0.071,0.179,0.25,143,73,-0.81,1.01,0.17800000000000002,-0.989,-4.5,27,10,9.0,1,43,12,18,9,12,3,0,47,0.0,0.0,0.308,3.5,1,2,4,1,HOU,0
203.0,1,32,6,9,6,6.75,4,9,37,0.281,0.378,0.5,0.878,161,89,0.306,1.5,1.06,-0.754,1.1,27,12,9.0,0,52,17,20,13,10,5,0,38,3.0,0.0,0.195,1.5,1,3,4,2,HOU,1
159.0,1,29,4,5,4,4.5,4,13,33,0.172,0.273,0.31,0.583,120,95,0.023,0.93,0.366,-0.342,-0.9,27,6,9.0,0,43,24,28,7,9,5,0,72,0.0,0.0,0.477,5.5,1,4,4,3,HOU,1
229.0,1,39,11,15,11,11.0,4,10,45,0.385,0.467,0.615,1.082,187,121,0.413,0.59,0.643,-0.229,6.1,27,11,9.0,2,61,27,33,10,19,10,0,44,1.0,0.0,0.08800000000000001,0.9,0,5,4,4,LAA,1
172.0,1,32,1,6,1,1.0,3,12,35,0.188,0.257,0.313,0.57,120,97,-0.556,0.96,0.467,-1.025,-3.9,24,5,8.0,2,45,23,29,8,12,5,0,63,0.0,0.0,0.056,1.4,0,6,4,5,LAA,0
202.0,0,31,1,6,1,1.0,1,12,34,0.194,0.242,0.29,0.5329999999999999,172,99,-0.355,0.92,0.302,-0.657,-3.9,24,9,8.0,2,46,20,33,10,10,5,0,33,1.0,0.0,-0.14400000000000002,-0.6,0,7,4,6,LAA,0
210.0,0,29,2,6,2,2.0,5,7,36,0.207,0.361,0.345,0.706,169,93,-0.197,0.84,0.618,-0.818,-2.9,24,5,8.0,2,46,14,33,9,13,5,0,30,2.0,0.0,-0.3,-2.6,0,1,4,7,LAA,0
168.0,1,35,4,8,3,3.0,1,11,37,0.229,0.25,0.314,0.564,127,86,0.067,1.42,0.458,-0.391,-0.9,25,8,8.1,3,45,11,30,14,11,8,0,62,0.0,0.0,-0.568,-0.4,0,3,4,9,ARI,0
215.0,1,35,5,8,5,5.0,4,15,41,0.229,0.308,0.343,0.6509999999999999,159,113,0.049,1.45,0.935,-0.884,0.1,27,5,9.0,0,47,22,43,11,10,6,0,67,3.0,0.0,0.449,2.9,0,4,4,10,ARI,1
196.0,1,36,6,10,6,6.0,1,12,37,0.278,0.297,0.528,0.825,172,96,-0.203,1.04,0.6990000000000001,-0.899,0.5,27,10,9.0,2,51,19,26,10,14,5,0,46,5.0,4.0,-0.299,-2.5,1,6,4,12,OAK,0
185.0,0,33,8,8,7,7.88,3,4,38,0.242,0.342,0.485,0.8270000000000001,168,90,0.634,0.88,1.331,-0.6990000000000001,3.1,27,10,9.0,2,51,14,25,15,14,8,0,20,0.0,0.0,-0.132,-1.5,1,1,4,14,OAK,1
206.0,1,38,12,14,11,12.38,7,6,46,0.368,0.478,0.684,1.162,170,114,0.526,0.66,0.963,-0.438,7.1,27,9,9.0,2,69,15,30,16,16,9,0,32,4.0,0.0,-0.024,-1.5,1,2,4,15,LAA,1
151.0,1,31,5,9,5,5.62,3,5,34,0.29,0.353,0.5479999999999999,0.901,103,85,0.105,0.79,0.414,-0.31,0.1,27,6,9.0,0,51,14,21,9,17,6,0,86,,,0.396,5.5,1,3,4,16,LAA,1
199.0,1,29,5,6,4,4.5,3,8,33,0.207,0.281,0.31,0.5920000000000001,169,82,0.208,1.5,0.6679999999999999,-0.46,0.1,27,8,9.0,1,46,14,24,10,12,6,0,46,2.0,0.0,0.29100000000000004,1.5,1,4,4,17,LAA,1
196.0,1,30,2,4,2,2.0,4,9,34,0.133,0.235,0.3670000000000001,0.602,190,85,-0.244,0.41,0.11,-0.353,-3.5,27,8,9.0,2,40,18,27,4,17,8,0,40,3.0,1.0,-0.259,-1.5,1,6,4,19,HOU,0
171.0,1,34,9,10,8,9.0,4,12,38,0.294,0.368,0.529,0.898,124,107,0.363,0.52,0.522,-0.161,4.1,27,12,9.0,2,54,19,34,8,14,8,0,43,2.0,0.0,0.138,1.5,1,7,4,20,HOU,1
196.0,0,31,11,10,11,11.25,4,6,39,0.32299999999999995,0.395,0.677,1.072,169,87,0.391,1.12,0.525,-0.134,6.1,27,9,9.0,5,43,18,25,9,18,6,0,45,4.0,1.0,0.108,-4.5,1,1,4,21,HOU,1
168.0,1,32,1,6,1,1.0,5,13,38,0.188,0.316,0.25,0.5660000000000001,125,97,-0.396,0.53,0.37,-0.767,-3.7,24,10,8.0,1,43,16,38,7,12,7,0,49,0.0,0.0,-0.103,-1.8,0,2,4,22,OAK,0
197.0,1,39,5,14,5,5.0,2,9,42,0.359,0.381,0.5379999999999999,0.919,165,103,-0.037000000000000005,0.48,0.535,-0.575,0.3,24,8,8.0,1,58,22,23,16,15,10,0,11,4.0,0.0,-0.463,-6.8,0,3,4,23,OAK,0
202.0,0,32,5,7,4,5.0,3,11,36,0.219,0.28600000000000003,0.563,0.848,165,96,-0.07200000000000001,1.42,0.906,-0.978,0.3,26,4,8.2,2,57,19,20,9,13,4,0,38,0.0,0.0,-0.4270000000000001,-1.5,0,4,4,24,OAK,0
205.0,1,35,2,9,2,0.0,2,12,37,0.257,0.297,0.28600000000000003,0.583,208,102,-0.14300000000000002,0.34,0.078,-0.221,-2.7,24,8,8.0,1,52,15,35,11,12,9,0,23,8.0,3.0,-0.359,-9.8,0,5,4,25,SEA,0
246.0,1,37,4,6,4,2.45,9,11,46,0.162,0.326,0.35100000000000003,0.677,189,115,-0.33,1.23,1.239,-1.57,-1.7,31,7,10.1,1,62,20,33,13,13,7,0,44,0.0,0.0,-0.168,-0.9,0,6,4,26,SEA,0
191.0,1,49,15,20,15,11.0,5,7,55,0.408,0.473,0.735,1.207,140,132,0.462,0.2,0.621,-0.159,10.3,27,6,9.0,1,81,17,34,19,23,11,0,79,0.0,0.0,0.038,3.7,0,7,4,27,SEA,1
190.0,0,46,14,17,13,8.0,2,13,49,0.37,0.388,0.652,1.04,144,115,0.36,0.48,0.633,-0.274,9.3,27,6,9.0,0,67,14,34,13,21,11,0,69,0.0,0.0,0.141,3.7,0,1,4,28,SEA,1
254.0,1,39,4,7,4,2.45,7,13,46,0.179,0.304,0.256,0.561,191,124,-0.455,1.52,0.632,-1.087,-2.7,33,10,11.0,2,66,21,39,13,13,5,0,64,2.0,0.0,-0.044,0.7,1,3,4,30,PIT,0
190.0,0,35,5,7,5,4.0,3,8,38,0.2,0.263,0.5429999999999999,0.8059999999999999,152,96,-0.198,1.0,0.888,-1.087,-0.5,27,11,9.0,0,56,17,23,12,15,5,0,37,3.0,0.0,-0.302,-1.5,1,4,5,1,PIT,0
240.0,1,38,0,4,0,0.0,5,12,43,0.105,0.209,0.132,0.341,202,110,-1.314,1.79,0.483,-1.7990000000000002,-7.3,36,14,12.0,0,71,18,21,12,14,5,0,75,0.0,0.0,0.8140000000000001,6.3,1,6,5,3,TOR,0
179.0,1,31,8,7,8,7.88,7,7,38,0.226,0.368,0.387,0.7559999999999999,138,94,0.326,0.98,0.607,-0.28,3.1,27,11,9.0,0,48,16,30,13,11,6,0,34,0.0,0.0,0.175,0.5,1,7,5,4,TOR,1
170.0,0,35,10,12,10,11.25,2,4,37,0.343,0.378,0.6,0.978,132,90,0.34600000000000003,0.38,0.544,-0.197,5.1,27,13,9.0,1,54,9,27,17,14,8,0,57,0.0,0.0,0.153,3.5,1,1,5,5,TOR,1
170.0,1,30,4,5,4,4.0,7,12,39,0.16699999999999998,0.342,0.3670000000000001,0.7090000000000001,120,86,-0.272,0.97,0.914,-1.183,-0.7,24,8,8.0,1,38,19,29,9,10,5,0,33,0.0,0.0,-0.229,-0.8,0,3,5,7,PIT,0
198.0,0,35,9,9,9,9.0,8,9,43,0.257,0.395,0.5710000000000001,0.967,142,115,0.674,0.92,1.543,-0.872,4.3,27,7,9.0,2,71,17,27,8,18,5,0,51,0.0,0.0,-0.173,-1.3,0,4,5,8,PIT,1
178.0,1,28,2,3,2,2.0,4,10,32,0.107,0.219,0.214,0.433,164,86,-0.417,1.22,0.589,-1.006,-2.9,24,6,8.0,1,43,18,27,10,8,6,0,43,5.0,1.0,-0.083,0.4,0,5,5,9,HOU,0
149.0,1,28,0,2,0,0.0,2,10,31,0.071,0.161,0.071,0.233,129,82,-0.562,0.68,0.14400000000000002,-0.706,-4.9,24,9,8.0,3,40,25,17,7,11,3,0,60,0.0,0.0,0.062,1.4,0,6,5,10,HOU,0
195.0,1,35,4,9,4,4.0,1,18,36,0.257,0.278,0.457,0.735,166,102,-0.18600000000000005,0.79,0.454,-0.639,-0.9,24,6,8.0,2,58,26,18,8,9,3,0,53,5.0,5.0,-0.314,-6.6,0,7,5,11,HOU,0
188.0,0,37,5,9,5,5.0,4,14,41,0.243,0.317,0.459,0.777,161,102,-0.159,0.44,0.111,-0.269,0.1,24,6,8.0,4,47,20,35,7,16,9,0,21,2.0,2.0,-0.341,-10.6,0,1,5,12,HOU,0
204.0,1,37,5,10,5,5.0,2,12,39,0.27,0.308,0.486,0.794,163,113,-0.14400000000000002,0.38,0.26,-0.403,-0.0,24,11,8.0,0,76,10,27,10,15,10,0,8,3.0,1.0,-0.35700000000000004,-6.5,0,3,5,14,KCR,0
204.0,1,37,6,12,6,6.0,2,10,42,0.324,0.405,0.6759999999999999,1.08,135,114,0.161,1.28,0.615,-0.454,1.0,27,11,9.0,0,68,20,26,7,20,10,0,48,0.0,0.0,0.34,4.0,0,4,5,15,KCR,1
194.0,0,47,16,21,14,15.0,8,6,56,0.447,0.518,0.809,1.3259999999999998,117,132,0.35,0.48,0.851,-0.502,11.0,27,11,9.0,0,79,26,27,12,30,14,0,65,0.0,0.0,0.15,4.0,0,5,5,16,KCR,1
179.0,1,33,7,11,7,7.88,1,13,35,0.333,0.371,0.5760000000000001,0.947,145,97,0.28600000000000003,0.56,0.462,-0.17600000000000002,2.1,27,12,9.0,1,52,21,26,5,15,7,0,55,1.0,0.0,0.214,2.5,1,6,5,17,STL,1
194.0,0,32,2,6,2,2.0,2,6,35,0.188,0.257,0.219,0.476,174,85,-0.289,0.68,0.27,-0.5589999999999999,-3.5,27,10,9.0,1,49,14,22,14,12,6,0,44,3.0,2.0,-0.211,-2.5,1,7,5,18,STL,0
221.0,0,34,5,9,5,4.66,4,8,39,0.265,0.333,0.5,0.833,185,94,0.514,1.32,1.5830000000000002,-1.069,-0.6,30,12,10.0,1,49,10,35,11,16,7,0,48,0.0,0.0,-0.015,2.1,1,1,5,19,STL,1
173.0,1,38,10,15,10,11.25,1,7,39,0.395,0.41,0.921,1.331,162,94,0.321,0.44,0.476,-0.157,5.1,27,5,9.0,2,62,10,22,14,17,9,0,62,0.0,0.0,0.179,-3.5,1,2,5,20,SEA,1
176.0,1,31,5,8,5,5.62,5,9,37,0.258,0.35100000000000003,0.516,0.867,145,100,0.048,1.19,0.5489999999999999,-0.499,0.1,27,4,9.0,1,56,19,25,11,12,7,0,69,0.0,0.0,0.45,2.5,1,3,5,21,SEA,1
147.0,0,28,2,8,2,1.12,1,4,30,0.28600000000000003,0.333,0.429,0.762,146,66,-0.198,1.66,0.438,-0.635,-2.9,27,7,9.0,0,36,9,21,12,12,7,0,53,1.0,0.0,0.6970000000000001,4.5,1,4,5,22,SEA,1
193.0,1,35,4,7,4,3.0,4,11,40,0.2,0.3,0.371,0.6709999999999999,132,108,0.067,1.43,0.959,-0.894,-0.9,27,10,9.0,2,54,20,34,9,15,9,0,50,0.0,0.0,0.435,1.9,0,6,5,24,LAA,1
191.0,1,32,2,5,2,2.0,4,7,37,0.156,0.27,0.188,0.458,157,90,0.008,1.3,1.114,-1.105,-2.9,26,8,8.2,1,60,16,18,7,18,6,0,61,0.0,0.0,-0.509,1.7,0,7,5,25,LAA,0
207.0,0,37,6,7,6,5.0,4,17,41,0.189,0.268,0.4320000000000001,0.701,140,117,0.03,1.18,1.083,-1.053,1.1,24,9,8.0,1,54,29,34,8,12,5,0,54,3.0,3.0,-0.53,-2.6,0,1,5,26,LAA,0
