duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
145.0,0,32,0,2,0,0.0,1,7,33,0.062,0.091,0.063,0.153,137,71,-0.8109999999999999,1.27,0.101,-0.912,-5.4,30,11,10.0,1,43,12,16,9,16,5,0,76,0.0,0.0,0.31,3.4,1,5,3,28,DET,0
148.0,1,31,6,7,5,5.62,3,12,34,0.226,0.294,0.29,0.584,114,83,0.168,0.68,0.556,-0.389,1.7,27,11,9.0,0,44,18,21,11,8,2,0,78,0.0,0.0,0.332,4.8,1,6,3,29,DET,1
180.0,0,28,3,6,3,3.38,4,6,35,0.214,0.353,0.393,0.746,164,81,0.049,0.99,0.35200000000000004,-0.305,-1.3,27,7,9.0,0,52,11,18,8,15,6,0,64,4.0,0.0,0.452,4.8,1,7,3,30,DET,1
197.0,0,39,3,8,3,2.45,1,10,41,0.205,0.244,0.333,0.5770000000000001,180,94,-0.515,1.66,0.921,-1.436,-2.9,33,8,11.0,0,49,19,26,12,17,10,0,71,4.0,2.0,0.015,1.9,1,1,3,31,DET,0
166.0,1,31,5,6,5,5.0,2,10,34,0.194,0.235,0.484,0.7190000000000001,156,80,-0.233,0.41,0.37,-0.603,0.2,27,6,9.0,2,47,14,19,4,18,6,0,33,0.0,0.0,-0.268,-1.2,1,2,4,1,BAL,0
165.0,1,31,1,6,1,1.0,4,4,35,0.194,0.28600000000000003,0.29,0.5760000000000001,152,83,-0.644,0.85,0.4270000000000001,-1.069,-3.8,27,9,9.0,0,48,12,23,14,13,3,0,47,1.0,0.0,0.145,2.8,1,3,4,2,BAL,0
162.0,0,31,5,10,4,4.5,2,5,33,0.32299999999999995,0.364,0.613,0.977,142,81,-0.006999999999999999,0.88,0.411,-0.42,0.7,27,11,9.0,1,46,20,15,7,19,10,0,80,0.0,0.0,0.509,1.8,1,4,4,3,BAL,1
186.0,1,30,1,3,1,1.0,8,13,40,0.1,0.325,0.133,0.458,133,103,-0.483,0.76,0.5,-0.982,-4.1,24,6,8.0,0,44,24,35,8,9,5,0,57,3.0,0.0,-0.017,0.6,0,5,4,4,CLE,0
162.0,1,30,2,3,2,2.0,3,14,33,0.1,0.182,0.233,0.415,131,90,-0.465,1.27,0.458,-0.923,-3.1,25,9,8.1,2,40,25,25,7,9,3,0,60,1.0,0.0,-0.034,1.8,0,6,4,5,CLE,0
200.0,0,37,2,10,2,2.0,1,14,39,0.27,0.308,0.459,0.767,162,106,-0.205,0.7,0.363,-0.565,-3.1,24,5,8.0,0,53,17,36,7,16,8,0,36,4.0,1.0,-0.297,-2.4,0,7,4,6,CLE,0
