duration,time_of_day,at_bats,runs,hits,rbi,earned_runs,bases_on_balls,strikeouts,plate_appearances,batting_average,on_base_percentage,slugging_percentage,on_base_plus,pitches,strikes,win_probability_for_offensive_player,average_leverage_index,win_probability_added,win_probability_subtracted,base_out_runs_added,putouts,assists,innings_pitched,home_runs,strikes_by_contact,strikes_swinging,strikes_looking,grounded_balls,fly_balls,line_drives,unknown_bat_type,game_score,inherited_runners,inherited_score,win_probability_by_pitcher,base_out_runs_saved,home,weekday,month,day,opponent,won
164.0,0,31,0,5,0,0.0,1,14,33,0.161,0.212,0.194,0.406,135,89,-0.726,0.73,0.411,-1.136,-5.1,27,9,9.0,1,40,26,23,5,12,8,0,76,3.0,1.0,0.226,3.1,1,5,3,28,NYM,0
230.0,0,36,8,9,8,4.0,3,11,42,0.25,0.333,0.444,0.778,188,117,-0.069,0.9,0.654,-0.723,2.9,27,8,9.0,0,63,21,33,14,12,5,0,48,4.0,3.0,-0.429,-5.9,1,7,3,30,NYM,0
195.0,0,36,6,11,6,6.48,1,11,38,0.306,0.342,0.556,0.898,152,101,0.447,1.38,1.031,-0.584,1.2,27,8,9.0,0,53,20,28,11,14,6,0,52,4.0,3.0,0.052000000000000005,0.1,1,1,3,31,NYM,1
210.0,1,33,2,7,2,2.0,1,14,34,0.212,0.235,0.303,0.5379999999999999,179,96,-0.331,0.8,0.289,-0.62,-3.1,27,5,9.0,2,49,18,29,6,13,6,0,55,2.0,2.0,-0.171,-2.9,1,3,4,2,PHI,0
233.0,0,35,9,12,8,9.0,7,8,42,0.343,0.452,0.6859999999999999,1.138,173,96,0.921,1.48,1.579,-0.6579999999999999,6.4,27,4,9.0,0,51,20,25,15,12,4,0,37,4.0,3.0,-0.42,-2.9,1,4,4,3,PHI,1
199.0,0,30,4,5,4,4.0,4,11,37,0.16699999999999998,0.278,0.3,0.578,146,101,-0.058,1.18,0.35600000000000004,-0.414,-0.4,27,6,9.0,0,51,21,29,8,13,3,0,76,3.0,0.0,0.5589999999999999,4.4,0,5,4,4,NYM,1
193.0,0,32,5,7,4,4.0,6,11,39,0.219,0.342,0.438,0.78,130,112,0.267,1.08,1.181,-0.913,0.6,24,9,8.0,5,63,20,29,13,9,3,0,56,2.0,0.0,-0.768,-2.1,0,7,4,6,NYM,0
222.0,0,32,12,8,11,12.0,12,9,46,0.25,0.457,0.375,0.8320000000000001,173,103,0.369,0.44,0.584,-0.215,7.6,27,7,9.0,2,59,14,30,11,13,6,0,48,4.0,2.0,0.133,-4.6,0,1,4,7,NYM,1
152.0,1,33,3,7,3,3.0,0,5,33,0.212,0.212,0.455,0.667,116,83,-0.4320000000000001,0.85,0.545,-0.978,-1.9,24,11,8.0,3,46,12,25,11,17,6,0,47,3.0,0.0,-0.07,0.3,0,2,4,8,PHI,0
231.0,1,42,10,14,10,8.1,3,7,46,0.333,0.37,0.69,1.06,160,121,0.5670000000000001,0.86,1.4369999999999998,-0.871,4.6,30,11,10.0,2,73,14,34,17,19,9,0,25,1.0,0.0,-0.067,-0.6,0,3,4,9,PHI,1
